t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,0,0.000000,0.000000,0.000000,0.000000,events/second
1684699980,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700010,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700040,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700070,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700100,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700130,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700160,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700190,1,0.004110,0.015991,0.003306,0.001108,events/second
1684700220,1,0.003659,0.009699,0.002991,0.001072,events/second
1684700250,1,0.003297,0.005883,0.002706,0.001037,events/second
1684700280,1,0.003000,0.003568,0.002449,0.001003,events/second
1684700310,1,0.002752,0.002164,0.002216,0.000970,events/second
1684700340,1,0.002542,0.001313,0.002005,0.000938,events/second
1684700370,3,0.007085,0.025790,0.008104,0.003087,events/second
1684700400,3,0.006616,0.015643,0.007333,0.002985,events/second
1684700430,3,0.006206,0.009488,0.006635,0.002888,events/second
1684700460,3,0.005843,0.005755,0.006004,0.002793,events/second
1684700490,3,0.005520,0.003490,0.005432,0.002701,events/second
1684700520,4,0.006975,0.013575,0.008008,0.003696,events/second
1684700550,4,0.006628,0.008234,0.007246,0.003575,events/second
1684700580,4,0.006314,0.004994,0.006556,0.003458,events/second
1684700610,5,0.007536,0.013571,0.008974,0.004422,events/second
1684700640,5,0.007210,0.008231,0.008120,0.004277,events/second
1684700670,5,0.006911,0.004992,0.007347,0.004137,events/second
1684700700,6,0.007962,0.017741,0.009899,0.005103,events/second
1684700730,6,0.007657,0.010760,0.008957,0.004936,events/second
1684700760,6,0.007375,0.006526,0.008105,0.004774,events/second
1684700790,6,0.007112,0.003958,0.007333,0.004618,events/second
1684700820,6,0.006868,0.002401,0.006636,0.004466,events/second
1684700850,6,0.006640,0.001456,0.006004,0.004320,events/second
1684700880,6,0.006426,0.000883,0.005433,0.004178,events/second
1684700910,6,0.006226,0.000536,0.004916,0.004041,events/second
1684700940,6,0.006038,0.000325,0.004448,0.003909,events/second
1684700970,6,0.005861,0.000197,0.004025,0.003781,events/second
1684701000,6,0.005694,0.000120,0.003642,0.003657,events/second
1684701030,6,0.005536,0.000073,0.003295,0.003537,events/second
1684701060,6,0.005387,0.000044,0.002982,0.003421,events/second
1684701091,6,0.005246,0.000027,0.002698,0.003309,events/second
1684701121,6,0.005111,0.000016,0.002441,0.003200,events/second
1684701151,6,0.004984,0.000010,0.002209,0.003095,events/second
1684701181,6,0.004863,0.000006,0.001999,0.002994,events/second
1684701211,6,0.004747,0.000004,0.001808,0.002896,events/second
1684701241,6,0.004637,0.000002,0.001636,0.002801,events/second
1684701271,6,0.004532,0.000001,0.001481,0.002709,events/second
1684701301,6,0.004432,0.000001,0.001340,0.002620,events/second
1684701331,6,0.004335,0.000000,0.001212,0.002534,events/second
1684701361,6,0.004243,0.000000,0.001097,0.002451,events/second
1684701391,6,0.004155,0.000000,0.000992,0.002371,events/second
1684701421,6,0.004070,0.000000,0.000898,0.002293,events/second
1684701451,6,0.003989,0.000000,0.000813,0.002218,events/second
1684701481,6,0.003911,0.000000,0.000735,0.002145,events/second
1684701511,6,0.003836,0.000000,0.000665,0.002075,events/second
1684701541,6,0.003764,0.000000,0.000602,0.002007,events/second
1684701571,6,0.003694,0.000000,0.000545,0.001941,events/second
1684701601,6,0.003627,0.000000,0.000493,0.001877,events/second
1684701631,6,0.003563,0.000000,0.000446,0.001816,events/second
1684701661,6,0.003500,0.000000,0.000404,0.001756,events/second
1684701691,6,0.003440,0.000000,0.000365,0.001699,events/second
1684701721,6,0.003382,0.000000,0.000330,0.001643,events/second
1684701751,6,0.003326,0.000000,0.000299,0.001589,events/second
1684701781,6,0.003271,0.000000,0.000270,0.001537,events/second
1684701870,1,0.039819,0.013536,0.003197,0.001096,events/second
1684701900,1,0.018050,0.008210,0.002893,0.001060,events/second
1684701930,1,0.011708,0.004980,0.002618,0.001025,events/second
1684701960,1,0.008663,0.003020,0.002369,0.000992,events/second
1684701990,1,0.006875,0.001832,0.002143,0.000959,events/second
1684702020,1,0.005699,0.001111,0.001939,0.000928,events/second
1684702050,1,0.004867,0.000674,0.001755,0.000897,events/second
1684702080,1,0.004246,0.000409,0.001588,0.000868,events/second
1684702110,1,0.003766,0.000248,0.001437,0.000839,events/second
1684702140,1,0.003384,0.000150,0.001300,0.000812,events/second
1684702170,2,0.006144,0.016082,0.004482,0.001893,events/second
1684702200,2,0.005625,0.009754,0.004055,0.001831,events/second
1684703010,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703040,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703100,1,0.042021,0.000000,0.000000,0.000000,events/second
1684703130,1,0.018494,0.010542,0.003041,0.001078,events/second
1684703160,3,0.035677,0.006394,0.002752,0.001042,events/second
1684703190,3,0.026291,0.024962,0.008573,0.003164,events/second
1684703220,3,0.020816,0.015140,0.007757,0.003060,events/second
1684703250,3,0.017228,0.009183,0.007019,0.002959,events/second
1684703280,3,0.014695,0.005570,0.006351,0.002862,events/second
1684703310,3,0.012811,0.003378,0.005747,0.002769,events/second
1684703400,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703430,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703460,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703490,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703520,1,0.007842,0.012454,0.003144,0.001090,events/second
1684709640,0,0.000000,0.000000,0.000000,0.000000,events/second
1684709670,1,0.019174,0.013536,0.003197,0.001096,events/second
1684709700,1,0.012169,0.008210,0.002893,0.001060,events/second
1684709730,1,0.008913,0.004980,0.002618,0.001025,events/second
1684709760,1,0.007032,0.003020,0.002369,0.000992,events/second
1684709790,1,0.005806,0.001832,0.002143,0.000959,events/second
