t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1684699950,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1684699980,8,148,64.750000,28,40.013391,57.000000,86.000000,148.000000,148.000000,148.000000,148.000000
1684700010,10,148,52.900000,4,43.242083,41.000000,74.000000,148.000000,148.000000,148.000000,148.000000
1684700040,14,148,38.571429,2,42.980701,31.000000,66.500000,148.000000,148.000000,148.000000,148.000000
1684700070,16,148,34.125000,2,41.816863,17.500000,61.500000,148.000000,148.000000,148.000000,148.000000
1684700100,20,148,27.950000,2,39.258221,4.000000,44.500000,145.200000,148.000000,148.000000,148.000000
1684700130,22,148,25.772727,2,38.001168,4.000000,37.500000,139.600000,148.000000,148.000000,148.000000
1684700160,27,575,42.851852,2,111.986505,4.000000,34.000000,404.200000,575.000000,575.000000,575.000000
1684700190,33,575,39.575758,2,101.943008,4.000000,38.500000,276.100000,575.000000,575.000000,575.000000
1684700220,37,575,35.648649,2,96.791648,4.000000,34.000000,190.700000,575.000000,575.000000,575.000000
1684700250,39,575,33.923077,2,94.509644,4.000000,34.000000,148.000000,575.000000,575.000000,575.000000
1684700280,43,575,31.023256,2,90.362626,4.000000,28.000000,136.800000,575.000000,575.000000,575.000000
1684700310,45,575,29.733333,1,88.492270,4.000000,23.000000,131.200000,575.000000,575.000000,575.000000
1684700340,49,575,27.510204,1,85.059568,3.000000,13.000000,120.000000,575.000000,575.000000,575.000000
1684700370,57,575,26.403509,1,80.564938,3.000000,7.500000,138.100000,506.680000,575.000000,575.000000
1684700400,61,575,24.852459,1,78.057636,3.000000,7.000000,132.500000,472.520000,575.000000,575.000000
1684700430,63,575,24.111111,1,76.899203,3.000000,7.000000,128.000000,455.440000,575.000000,575.000000
1684700460,67,575,22.746269,1,74.732116,3.000000,5.000000,119.000000,421.280000,575.000000,575.000000
1684700490,71,575,21.549296,1,72.733130,3.000000,5.000000,110.000000,387.120000,575.000000,575.000000
1684700520,76,575,20.289474,1,70.430072,3.000000,4.750000,98.750000,344.420000,575.000000,575.000000
1684700550,82,575,18.975610,1,67.935513,2.500000,4.250000,90.200000,293.180000,575.000000,575.000000
1684700580,87,575,19.666667,1,66.523412,3.000000,5.000000,87.200000,250.480000,575.000000,575.000000
1684700610,95,575,18.157895,1,63.826780,2.000000,4.000000,82.400000,182.160000,575.000000,575.000000
1684700640,97,575,17.814433,1,63.203265,2.000000,4.000000,81.200000,165.080000,575.000000,575.000000
1684700670,101,575,17.178218,1,62.006354,2.000000,4.000000,79.800000,147.560000,566.460000,575.000000
1684700700,106,575,17.028302,1,60.761275,2.000000,4.000000,79.300000,146.460000,545.110000,575.000000
1684700730,110,575,16.454545,1,59.709793,2.000000,4.000000,78.900000,145.580000,528.030000,575.000000
1684700760,112,575,16.357143,1,59.189093,2.000000,4.000000,78.700000,145.140000,519.490000,575.000000
1684700790,116,575,15.844828,1,58.214387,2.000000,4.000000,78.300000,144.260000,502.410000,575.000000
1684700820,118,575,15.610169,1,57.742581,2.000000,4.000000,78.100000,143.820000,493.870000,575.000000
1684700850,122,575,15.155738,1,56.834401,2.000000,4.000000,76.650000,142.940000,476.790000,575.000000
1684700880,124,575,14.951613,1,56.393198,2.000000,4.000000,75.750000,142.500000,468.250000,575.000000
1684700910,128,575,14.546875,1,55.544528,2.000000,4.000000,73.950000,141.620000,451.170000,575.000000
1684700940,128,575,14.546875,1,55.544528,2.000000,4.000000,73.950000,141.620000,451.170000,575.000000
1684700970,128,575,14.546875,1,55.544528,2.000000,4.000000,73.950000,141.620000,451.170000,575.000000
1684701000,128,575,14.546875,1,55.544528,2.000000,4.000000,73.950000,141.620000,451.170000,575.000000
1684701030,128,575,14.546875,1,55.544528,2.000000,4.000000,73.950000,141.620000,451.170000,575.000000
1684701060,128,575,14.546875,1,55.544528,2.000000,4.000000,73.950000,141.620000,451.170000,575.000000
