t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,0,0.000000,0.000000,0.000000,0.000000,events/second
1684699980,8,0.240942,0.099452,0.025112,0.008712,events/second
1684700010,10,0.158165,0.086311,0.029064,0.010612,events/second
1684700040,14,0.150152,0.105054,0.038989,0.014635,events/second
1684700070,16,0.129807,0.089709,0.041620,0.016341,events/second
1684700100,20,0.130487,0.107115,0.050350,0.020177,events/second
1684700130,22,0.120025,0.090958,0.051901,0.021701,events/second
1684700160,27,0.126579,0.107873,0.059652,0.025360,events/second
1684700190,33,0.135624,0.163470,0.076473,0.032212,events/second
1684700220,37,0.135367,0.153132,0.081941,0.035533,events/second
1684700250,39,0.128566,0.119952,0.080538,0.036560,events/second
1684700280,43,0.128991,0.127653,0.085670,0.039745,events/second
1684700310,45,0.123839,0.104498,0.083913,0.040633,events/second
1684700340,49,0.124557,0.118280,0.088724,0.043685,events/second
1684700370,57,0.134622,0.172713,0.105492,0.050977,events/second
1684700400,61,0.134535,0.159654,0.108249,0.053689,events/second
1684700430,63,0.130320,0.123908,0.104343,0.054120,events/second
1684700460,67,0.130492,0.130052,0.107210,0.056729,events/second
1684700490,71,0.130646,0.103788,0.103296,0.057049,events/second
1684700520,76,0.132526,0.147834,0.115329,0.062789,events/second
1684700550,82,0.135878,0.130565,0.113949,0.064018,events/second
1684700580,87,0.137333,0.168491,0.125180,0.069554,events/second
1684700610,95,0.143178,0.183723,0.134970,0.074865,events/second
1684700640,97,0.139867,0.161943,0.134711,0.076770,events/second
1684700670,101,0.139593,0.123131,0.128181,0.076433,events/second
1684700700,106,0.140668,0.169329,0.138321,0.081592,events/second
1684700730,110,0.140384,0.127611,0.131447,0.081096,events/second
1684700760,112,0.137661,0.127909,0.131523,0.082797,events/second
1684700790,116,0.137503,0.102489,0.125296,0.082262,events/second
1684700820,118,0.135069,0.112672,0.125957,0.083924,events/second
1684700850,122,0.135010,0.093247,0.120260,0.083352,events/second
1684700880,124,0.132812,0.107066,0.121401,0.084979,events/second
1684700910,128,0.132826,0.089847,0.116137,0.084372,events/second
1684700940,128,0.128814,0.075579,0.111168,0.083761,events/second
