t,value
1684699950,73728
1684699980,73728
1684700010,73728
1684700040,73728
1684700070,73728
1684700100,73728
1684700130,73728
1684700160,73728
1684700190,73728
1684700220,73728
1684700250,73728
1684700280,73728
1684700310,73728
1684700340,73728
1684700370,73728
1684700400,73728
1684700430,73728
1684700460,73728
1684700490,73728
1684700520,73728
1684700550,156362
1684700580,156362
1684700610,156362
1684700640,156362
1684700670,156362
1684700700,156362
1684700730,156362
1684700760,156362
1684700790,156362
1684700820,156362
1684700850,156362
1684700880,156362
1684700910,156362
1684700940,156362
1684700970,156362
1684701000,156362
1684701030,156362
1684701060,156362
1684701091,156362
1684701121,156362
1684701151,156362
1684701181,156362
1684701211,156362
1684701241,156362
1684701271,156362
1684701301,156362
1684701331,156362
1684701361,156362
1684701391,156362
1684701421,156362
1684701451,156362
1684701481,156362
1684701511,156362
1684701541,156362
1684701571,156362
1684701601,156362
1684701631,156362
1684701661,156362
1684701691,156362
1684701721,156362
1684701751,869066
1684701781,869066
1684701870,869066
1684701900,869066
1684701930,869066
1684701960,869066
1684701990,869066
1684702020,869066
1684702050,869066
1684702080,869066
1684702110,869066
1684702140,869066
1684702170,869066
1684702200,869066
1684703010,869066
1684703040,869066
1684703100,869066
1684703130,869066
1684703160,869066
1684703190,869066
1684703220,869066
1684703250,869066
1684703280,869066
1684703310,869066
1684703400,869066
1684703430,869066
1684703460,869066
1684703490,869066
1684703520,869066
1684709640,869066
1684709670,869066
1684709700,869066
1684709730,869066
1684709760,869066
1684709790,869066
1684709820,869066
1684709850,869066
1684709880,869066
1684709910,869066
1684709940,869066
1684709970,869066
1684710000,869066
1684710030,869066
1684710060,869066
1684710091,869066
1684710121,869066
1684710151,869066
1684710181,869066
1684710211,869066
1684710241,869066
1684710271,869066
1684710301,869066
1684710331,869066
1684710361,869066
1684710391,869066
1684710421,869066
1684710451,869066
1684710481,869066
1684710511,869066
1684710541,869066
1684710571,869066
1684710601,869066
1684710631,869066
1684710661,869066
1684710691,869066
1684710721,869066
1684710751,869066
1684710781,869066
1684710811,869066
1684710841,869066
1684710871,869066
1684710901,869066
1684710931,869066
1684710961,869066
1684710991,869066
1684711021,869066
1684711051,869066
1684711081,869066
1684711111,869066
1684711141,869066
1684711171,869066
1684711201,869066
1684711231,869066
1684711261,869066
1684711291,869066
1684711321,869066
1684711351,869066
1684711381,869066
1684711411,869066
1684711441,869066
1684711471,869066
1684711501,869066
1684711531,869066
1684711561,869066
1684711591,869066
1684711621,869066
1684711651,869066
1684711681,869066
1684711711,869066
1684711741,869066
1684711771,869066
1684711801,869066
1684711831,869066
1684711861,869066
1684711891,869066
1684711921,869066
1684711951,869066
1684711981,869066
1684712011,869066
1684712041,869066
1684712071,869066
1684712101,869066
1684712131,869066
1684712161,869066
1684712191,869066
1684712221,869066
1684712251,869066
1684712281,869066
1684712311,869066
1684712341,869066
1684712371,869066
1684712401,869066
1684712431,869066
1684712461,869066
1684712491,869066
1684712521,869066
1684712551,869066
1684712581,869066
1684712611,869066
1684712641,869066
1684712671,869066
1684712701,869066
1684712731,869066
1684712761,869066
1684712791,869066
1684712821,869066
1684712852,869066
1684712882,869066
1684712912,869066
1684712942,869066
1684712972,869066
1684713002,869066
1684713032,869066
1684713062,869066
1684713092,869066
1684713122,869066
1684713152,869066
1684713182,869066
1684713212,869066
1684713242,869066
1684713272,869066
1684713302,869066
1684713332,869066
1684713362,869066
1684713392,869066
1684713422,869066
1684713452,869066
1684713482,869066
1684713512,869066
1684713542,869066
1684713572,869066
1684713602,869066
1684713632,869066
1684713662,869066
1684713692,869066
1684713722,869066
1684713752,869066
1684713782,869066
1684713812,869066
1684713842,869066
1684713872,869066
1684713902,869066
1684713932,869066
1684713962,869066
1684713992,869066
1684714022,869066
1684714052,869066
1684714082,869066
1684714112,869066
1684714142,869066
1684714172,869066
1684714202,869066
1684714232,869066
1684714262,869066
1684714292,869066
1684714322,869066
1684714352,869066
1684714382,869066
1684714412,869066
1684714442,869066
1684714472,869066
1684714502,869066
1684714532,869066
1684714562,869066
1684714592,869066
1684714622,869066
1684714652,869066
1684714682,869066
1684714712,869066
1684714742,869066
1684714772,869066
1684714802,869066
1684714832,869066
1684714862,869066
1684714892,869066
1684714922,869066
1684714952,869066
1684714982,869066
1684715012,869066
1684715042,869066
1684715072,869066
1684715102,869066
1684715132,869066
1684715162,869066
1684715192,869066
1684715222,869066
1684715252,869066
1684715282,869066
1684715312,869066
1684715342,869066
1684715372,869066
1684715402,869066
1684715432,869066
1684715462,869066
1684715492,869066
1684715522,869066
1684715552,869066
1684715582,869066
1684715612,869066
1684715642,869066
1684715672,869066
1684715702,869066
1684715732,869066
1684715762,869066
1684715792,869066
1684715823,869066
1684715853,869066
1684715883,869066
1684715913,869066
1684715943,869066
1684715973,869066
1684716003,869066
1684716033,869066
1684716063,869066
1684716093,869066
1684716123,869066
1684716153,869066
1684716183,869066
1684716213,869066
1684716243,869066
1684716273,869066
1684716303,869066
1684716333,869066
1684716363,869066
1684716393,869066
1684716423,869066
1684716453,869066
1684716483,869066
1684716513,869066
1684716543,869066
1684716573,869066
1684716603,869066
1684716633,869066
1684716663,869066
1684716693,869066
1684716723,869066
1684716753,869066
1684716783,869066
1684716813,869066
1684716843,869066
1684716873,869066
1684716903,869066
1684716933,869066
1684716963,869066
1684716993,869066
1684717023,869066
1684717053,869066
1684717083,869066
1684717113,869066
1684717143,869066
1684717173,869066
1684717203,869066
1684717233,869066
1684717263,869066
1684717293,869066
1684717323,869066
1684717353,869066
1684717383,869066
1684717413,869066
1684717443,869066
1684717473,869066
1684717503,869066
1684717533,869066
1684717563,869066
1684717593,869066
1684717623,869066
1684717653,869066
1684717683,869066
1684717713,869066
1684717743,869066
1684717773,869066
1684717803,869066
1684717833,869066
1684717863,869066
1684717893,869066
1684717923,869066
1684717953,869066
1684717983,869066
1684718013,869066
1684718043,869066
1684718073,869066
1684718103,869066
1684718133,869066
1684718163,869066
1684718193,869066
1684718223,869066
1684718253,869066
1684718283,869066
1684718313,869066
1684718343,869066
1684718373,869066
1684718403,869066
1684718433,869066
1684718463,869066
1684718493,869066
1684718524,869066
1684718554,869066
1684718584,869066
1684718614,869066
1684718644,869066
1684718674,869066
1684718704,869066
1684718734,869066
1684718764,869066
1684718794,869066
1684718824,869066
1684718854,869066
1684718884,869066
1684718914,869066
1684718944,869066
1684718974,869066
1684719004,869066
1684719034,869066
1684719064,869066
1684719094,869066
1684719124,869066
1684719154,869066
1684719184,869066
1684719214,869066
1684719244,869066
1684719274,869066
1684719304,869066
1684719334,869066
1684719364,869066
1684719394,869066
1684719424,869066
1684719454,869066
1684719484,869066
1684719514,869066
