t,value
1684699950,73856
1684699980,73856
1684700010,73856
1684700040,73856
1684700070,73856
1684700100,73856
1684700130,73856
1684700160,73856
1684700190,73856
1684700220,73856
1684700250,73856
1684700280,73856
1684700310,73856
1684700340,73856
1684700370,73856
1684700400,73856
1684700430,73856
1684700460,73856
1684700490,73856
1684700520,73856
1684700550,159952
1684700580,159952
1684700610,159952
1684700640,159952
1684700670,159952
1684700700,159952
1684700730,159952
1684700760,159952
1684700790,159952
1684700820,159952
1684700850,159952
1684700880,159952
1684700910,159952
1684700940,159952
1684700970,159952
1684701000,159952
1684701030,159952
1684701060,159952
1684701091,159952
1684701121,159952
1684701151,159952
1684701181,159952
1684701211,159952
1684701241,159952
1684701271,159952
1684701301,159952
1684701331,159952
1684701361,159952
1684701391,159952
1684701421,159952
1684701451,159952
1684701481,159952
1684701511,159952
1684701541,159952
1684701571,159952
1684701601,159952
1684701631,159952
1684701661,159952
1684701691,159952
1684701721,159952
1684701751,872888
1684701781,872888
1684701870,873120
1684701900,873120
1684701930,873120
1684701960,873120
1684701990,873120
1684702020,873120
1684702050,873120
1684702080,873120
1684702110,873120
1684702140,873120
1684702170,873120
1684702200,873120
1684703010,873352
1684703040,873352
1684703100,873584
1684703130,873584
1684703160,873584
1684703190,873584
1684703220,873584
1684703250,873584
1684703280,873584
1684703310,873584
1684703400,873816
1684703430,873816
1684703460,873816
1684703490,873816
1684703520,873816
1684709640,874048
1684709670,874048
1684709700,874048
1684709730,874048
1684709760,874048
1684709790,874048
1684709820,874048
1684709850,874048
1684709880,874048
1684709910,874048
1684709940,874048
1684709970,874048
1684710000,874048
1684710030,874048
1684710060,874048
1684710091,874048
1684710121,874048
1684710151,874048
1684710181,874048
1684710211,874048
1684710241,874048
1684710271,874048
1684710301,874048
1684710331,874048
1684710361,874048
1684710391,874048
1684710421,874048
1684710451,874048
1684710481,874048
1684710511,874048
1684710541,874048
1684710571,874048
1684710601,874048
1684710631,874048
1684710661,874048
1684710691,874048
1684710721,874048
1684710751,874048
1684710781,874048
1684710811,874048
1684710841,874048
1684710871,874048
1684710901,874048
1684710931,874048
1684710961,874048
1684710991,874048
1684711021,874048
1684711051,874048
1684711081,874048
1684711111,874048
1684711141,874048
1684711171,874048
1684711201,874048
1684711231,874048
1684711261,874048
1684711291,874048
1684711321,874048
1684711351,874048
1684711381,874048
1684711411,874048
1684711441,874048
1684711471,874048
1684711501,874048
1684711531,874048
1684711561,874048
1684711591,874048
1684711621,874048
1684711651,874048
1684711681,874048
1684711711,874048
1684711741,874048
1684711771,874048
1684711801,874048
1684711831,874048
1684711861,874048
1684711891,874048
1684711921,874048
1684711951,874048
1684711981,874048
1684712011,874048
1684712041,874048
1684712071,874048
1684712101,874048
1684712131,874048
1684712161,874048
1684712191,874048
1684712221,874048
1684712251,874048
1684712281,874048
1684712311,874048
1684712341,874048
1684712371,874048
1684712401,874048
1684712431,874048
1684712461,874048
1684712491,874048
1684712521,874048
1684712551,874048
1684712581,874048
1684712611,874048
1684712641,874048
1684712671,874048
1684712701,874048
1684712731,874048
1684712761,874048
1684712791,874048
1684712821,874048
1684712852,874048
1684712882,874048
1684712912,874048
1684712942,874048
1684712972,874048
1684713002,874048
1684713032,874048
1684713062,874048
1684713092,874048
1684713122,874048
1684713152,874048
1684713182,874048
1684713212,874048
1684713242,874048
1684713272,874048
1684713302,874048
1684713332,874048
1684713362,874048
1684713392,874048
1684713422,874048
1684713452,874048
1684713482,874048
1684713512,874048
1684713542,874048
1684713572,874048
1684713602,874048
1684713632,874048
1684713662,874048
1684713692,874048
1684713722,874048
1684713752,874048
1684713782,874048
1684713812,874048
1684713842,874048
1684713872,874048
1684713902,874048
1684713932,874048
1684713962,874048
1684713992,874048
1684714022,874048
1684714052,874048
1684714082,874048
1684714112,874048
1684714142,874048
1684714172,874048
1684714202,874048
1684714232,874048
1684714262,874048
1684714292,874048
1684714322,874048
1684714352,874048
1684714382,874048
1684714412,874048
1684714442,874048
1684714472,874048
1684714502,874048
1684714532,874048
1684714562,874048
1684714592,874048
1684714622,874048
1684714652,874048
1684714682,874048
1684714712,874048
1684714742,874048
1684714772,874048
1684714802,874048
1684714832,874048
1684714862,874048
1684714892,874048
1684714922,874048
1684714952,874048
1684714982,874048
1684715012,874048
1684715042,874048
1684715072,874048
1684715102,874048
1684715132,874048
1684715162,874048
1684715192,874048
1684715222,874048
1684715252,874048
1684715282,874048
1684715312,874048
1684715342,874048
1684715372,874048
1684715402,874048
1684715432,874048
1684715462,874048
1684715492,874048
1684715522,874048
1684715552,874048
1684715582,874048
1684715612,874048
1684715642,874048
1684715672,874048
1684715702,874048
1684715732,874048
1684715762,874048
1684715792,874048
1684715823,874048
1684715853,874048
1684715883,874048
1684715913,874048
1684715943,874048
1684715973,874048
1684716003,874048
1684716033,874048
1684716063,874048
1684716093,874048
1684716123,874048
1684716153,874048
1684716183,874048
1684716213,874048
1684716243,874048
1684716273,874048
1684716303,874048
1684716333,874048
1684716363,874048
1684716393,874048
1684716423,874048
1684716453,874048
1684716483,874048
1684716513,874048
1684716543,874048
1684716573,874048
1684716603,874048
1684716633,874048
1684716663,874048
1684716693,874048
1684716723,874048
1684716753,874048
1684716783,874048
1684716813,874048
1684716843,874048
1684716873,874048
1684716903,874048
1684716933,874048
1684716963,874048
1684716993,874048
1684717023,874048
1684717053,874048
1684717083,874048
1684717113,874048
1684717143,874048
1684717173,874048
1684717203,874048
1684717233,874048
1684717263,874048
1684717293,874048
1684717323,874048
1684717353,874048
1684717383,874048
1684717413,874048
1684717443,874048
1684717473,874048
1684717503,874048
1684717533,874048
1684717563,874048
1684717593,874048
1684717623,874048
1684717653,874048
1684717683,874048
1684717713,874048
1684717743,874048
1684717773,874048
1684717803,874048
1684717833,874048
1684717863,874048
1684717893,874048
1684717923,874048
1684717953,874048
1684717983,874048
1684718013,874048
1684718043,874048
1684718073,874048
1684718103,874048
1684718133,874048
1684718163,874048
1684718193,874048
1684718223,874048
1684718253,874048
1684718283,874048
1684718313,874048
1684718343,874048
1684718373,874048
1684718403,874048
1684718433,874048
1684718463,874048
1684718493,874048
1684718524,874048
1684718554,874048
1684718584,874048
1684718614,874048
1684718644,874048
1684718674,874048
1684718704,874048
1684718734,874048
1684718764,874048
