t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,2,0.681243,0.000000,0.000000,0.000000,events/second
1684699980,4,0.120839,0.000000,0.000000,0.000000,events/second
1684700010,6,0.095051,0.000000,0.000000,0.000000,events/second
1684700040,10,0.107368,0.000000,0.000000,0.000000,events/second
1684700070,12,0.097435,0.000000,0.000000,0.000000,events/second
1684700100,16,0.104459,0.000000,0.000000,0.000000,events/second
1684700130,18,0.098256,0.000000,0.000000,0.000000,events/second
1684700160,23,0.107878,0.000000,0.000000,0.000000,events/second
1684700190,29,0.119234,0.000000,0.000000,0.000000,events/second
1684700220,33,0.120777,0.000000,0.000000,0.000000,events/second
1684700250,35,0.115418,0.000000,0.000000,0.000000,events/second
1684700280,39,0.117027,0.000000,0.000000,0.000000,events/second
1684700310,41,0.112862,0.000000,0.000000,0.000000,events/second
1684700340,45,0.114418,0.000000,0.000000,0.000000,events/second
1684700370,53,0.125204,0.000000,0.000000,0.000000,events/second
1684700400,57,0.125741,0.000000,0.000000,0.000000,events/second
1684700430,59,0.122071,0.000000,0.000000,0.000000,events/second
1684700460,63,0.122726,0.000000,0.000000,0.000000,events/second
1684700490,67,0.123308,0.000000,0.000000,0.000000,events/second
1684700520,72,0.125573,0.000000,0.000000,0.000000,events/second
1684700550,78,0.129271,0.000000,0.000000,0.000000,events/second
1684700580,83,0.131040,0.000000,0.000000,0.000000,events/second
1684700610,91,0.137171,0.000000,0.000000,0.000000,events/second
1684700640,93,0.134119,0.000000,0.000000,0.000000,events/second
1684700670,97,0.134084,0.000000,0.000000,0.000000,events/second
1684700700,102,0.135378,0.000000,0.000000,0.000000,events/second
1684700730,106,0.135296,0.000000,0.000000,0.000000,events/second
1684700760,108,0.132761,0.000000,0.000000,0.000000,events/second
1684700790,112,0.132778,0.000000,0.000000,0.000000,events/second
1684700820,114,0.130506,0.000000,0.000000,0.000000,events/second
1684700850,118,0.130598,0.000000,0.000000,0.000000,events/second
1684700880,120,0.128542,0.000000,0.000000,0.000000,events/second
1684700910,124,0.128689,0.000000,0.000000,0.000000,events/second
1684700940,124,0.124801,0.000000,0.000000,0.000000,events/second
1684700970,124,0.121140,0.000000,0.000000,0.000000,events/second
1684701000,124,0.117688,0.000000,0.000000,0.000000,events/second
1684701030,124,0.114428,0.000000,0.000000,0.000000,events/second
1684701060,124,0.111343,0.000000,0.000000,0.000000,events/second
1684701091,124,0.108417,0.000000,0.000000,0.000000,events/second
1684701121,124,0.105644,0.000000,0.000000,0.000000,events/second
1684701151,124,0.103010,0.000000,0.000000,0.000000,events/second
1684701181,124,0.100505,0.000000,0.000000,0.000000,events/second
1684701211,124,0.098117,0.000000,0.000000,0.000000,events/second
1684701241,124,0.095841,0.000000,0.000000,0.000000,events/second
1684701271,124,0.093668,0.000000,0.000000,0.000000,events/second
1684701301,124,0.091591,0.000000,0.000000,0.000000,events/second
1684701331,124,0.089605,0.000000,0.000000,0.000000,events/second
1684701361,124,0.087701,0.000000,0.000000,0.000000,events/second
1684701391,124,0.085877,0.000000,0.000000,0.000000,events/second
1684701421,124,0.084129,0.000000,0.000000,0.000000,events/second
1684701451,124,0.082450,0.000000,0.000000,0.000000,events/second
1684701481,124,0.080837,0.000000,0.000000,0.000000,events/second
1684701511,124,0.079284,0.000000,0.000000,0.000000,events/second
1684701541,124,0.077791,0.000000,0.000000,0.000000,events/second
1684701571,124,0.076354,0.000000,0.000000,0.000000,events/second
1684701601,124,0.074968,0.000000,0.000000,0.000000,events/second
1684701631,124,0.073632,0.000000,0.000000,0.000000,events/second
1684701661,124,0.072343,0.000000,0.000000,0.000000,events/second
1684701691,124,0.071098,0.000000,0.000000,0.000000,events/second
1684701721,124,0.069894,0.000000,0.000000,0.000000,events/second
1684701751,124,0.068731,0.000000,0.000000,0.000000,events/second
1684701781,124,0.067607,0.000000,0.000000,0.000000,events/second
1684701870,3,0.121186,0.000000,0.000000,0.000000,events/second
1684701900,7,0.127215,0.000000,0.000000,0.000000,events/second
1684701930,9,0.105836,0.000000,0.000000,0.000000,events/second
1684701960,9,0.078225,0.000000,0.000000,0.000000,events/second
1684701990,9,0.062039,0.000000,0.000000,0.000000,events/second
1684702020,9,0.051402,0.000000,0.000000,0.000000,events/second
1684702050,9,0.043881,0.000000,0.000000,0.000000,events/second
1684702080,9,0.038279,0.000000,0.000000,0.000000,events/second
1684702110,9,0.033945,0.000000,0.000000,0.000000,events/second
1684702140,9,0.030493,0.000000,0.000000,0.000000,events/second
1684702170,14,0.043056,0.000000,0.000000,0.000000,events/second
1684702200,18,0.050680,0.000000,0.000000,0.000000,events/second
1684703010,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703040,2,0.044158,0.000000,0.000000,0.000000,events/second
