t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,3,1.016810,0.000000,0.000000,0.000000,events/second
1684699980,3,0.090629,0.000000,0.000000,0.000000,events/second
1684700010,3,0.047526,0.000000,0.000000,0.000000,events/second
1684700040,3,0.032211,0.000000,0.000000,0.000000,events/second
1684700070,3,0.024359,0.000000,0.000000,0.000000,events/second
1684700100,3,0.019586,0.000000,0.000000,0.000000,events/second
1684700130,3,0.016376,0.000000,0.000000,0.000000,events/second
1684700160,3,0.014071,0.000000,0.000000,0.000000,events/second
1684700190,3,0.012335,0.000000,0.000000,0.000000,events/second
1684700220,3,0.010980,0.000000,0.000000,0.000000,events/second
1684700250,3,0.009893,0.000000,0.000000,0.000000,events/second
1684700280,3,0.009002,0.000000,0.000000,0.000000,events/second
1684700310,3,0.008258,0.000000,0.000000,0.000000,events/second
1684700340,3,0.007628,0.000000,0.000000,0.000000,events/second
1684700370,3,0.007087,0.000000,0.000000,0.000000,events/second
1684700400,3,0.006618,0.000000,0.000000,0.000000,events/second
1684700430,3,0.006207,0.000000,0.000000,0.000000,events/second
1684700460,3,0.005844,0.000000,0.000000,0.000000,events/second
1684700490,3,0.005521,0.000000,0.000000,0.000000,events/second
1684700520,3,0.005232,0.000000,0.000000,0.000000,events/second
1684700550,3,0.004972,0.000000,0.000000,0.000000,events/second
1684700580,3,0.004736,0.000000,0.000000,0.000000,events/second
1684700610,3,0.004522,0.000000,0.000000,0.000000,events/second
1684700640,3,0.004326,0.000000,0.000000,0.000000,events/second
1684700670,3,0.004147,0.000000,0.000000,0.000000,events/second
1684700700,3,0.003982,0.000000,0.000000,0.000000,events/second
1684700730,3,0.003829,0.000000,0.000000,0.000000,events/second
1684700760,3,0.003688,0.000000,0.000000,0.000000,events/second
1684700790,3,0.003557,0.000000,0.000000,0.000000,events/second
1684700820,3,0.003434,0.000000,0.000000,0.000000,events/second
1684700850,3,0.003320,0.000000,0.000000,0.000000,events/second
1684700880,3,0.003214,0.000000,0.000000,0.000000,events/second
1684700910,3,0.003113,0.000000,0.000000,0.000000,events/second
1684700940,3,0.003019,0.000000,0.000000,0.000000,events/second
1684700970,3,0.002931,0.000000,0.000000,0.000000,events/second
1684701000,3,0.002847,0.000000,0.000000,0.000000,events/second
1684701030,3,0.002768,0.000000,0.000000,0.000000,events/second
1684701060,3,0.002694,0.000000,0.000000,0.000000,events/second
1684701091,3,0.002623,0.000000,0.000000,0.000000,events/second
1684701121,3,0.002556,0.000000,0.000000,0.000000,events/second
1684701151,3,0.002492,0.000000,0.000000,0.000000,events/second
1684701181,3,0.002432,0.000000,0.000000,0.000000,events/second
1684701211,3,0.002374,0.000000,0.000000,0.000000,events/second
1684701241,3,0.002319,0.000000,0.000000,0.000000,events/second
1684701271,3,0.002266,0.000000,0.000000,0.000000,events/second
1684701301,3,0.002216,0.000000,0.000000,0.000000,events/second
1684701331,3,0.002168,0.000000,0.000000,0.000000,events/second
1684701361,3,0.002122,0.000000,0.000000,0.000000,events/second
1684701391,3,0.002078,0.000000,0.000000,0.000000,events/second
1684701421,3,0.002035,0.000000,0.000000,0.000000,events/second
1684701451,3,0.001995,0.000000,0.000000,0.000000,events/second
1684701481,3,0.001956,0.000000,0.000000,0.000000,events/second
1684701511,3,0.001918,0.000000,0.000000,0.000000,events/second
1684701541,3,0.001882,0.000000,0.000000,0.000000,events/second
1684701571,3,0.001847,0.000000,0.000000,0.000000,events/second
1684701601,3,0.001814,0.000000,0.000000,0.000000,events/second
1684701631,3,0.001781,0.000000,0.000000,0.000000,events/second
1684701661,3,0.001750,0.000000,0.000000,0.000000,events/second
1684701691,3,0.001720,0.000000,0.000000,0.000000,events/second
1684701721,3,0.001691,0.000000,0.000000,0.000000,events/second
1684701751,3,0.001663,0.000000,0.000000,0.000000,events/second
1684701781,3,0.001636,0.000000,0.000000,0.000000,events/second
1684701870,3,0.121066,0.000000,0.000000,0.000000,events/second
1684701900,3,0.054521,0.000000,0.000000,0.000000,events/second
1684701930,3,0.035279,0.000000,0.000000,0.000000,events/second
1684701960,3,0.026075,0.000000,0.000000,0.000000,events/second
1684701990,3,0.020680,0.000000,0.000000,0.000000,events/second
1684702020,3,0.017134,0.000000,0.000000,0.000000,events/second
1684702050,3,0.014627,0.000000,0.000000,0.000000,events/second
1684702080,3,0.012760,0.000000,0.000000,0.000000,events/second
1684702110,3,0.011315,0.000000,0.000000,0.000000,events/second
1684702140,3,0.010164,0.000000,0.000000,0.000000,events/second
1684702170,3,0.009226,0.000000,0.000000,0.000000,events/second
1684702200,3,0.008447,0.000000,0.000000,0.000000,events/second
1684703010,3,0.200667,0.000000,0.000000,0.000000,events/second
1684703040,3,0.066238,0.000000,0.000000,0.000000,events/second
1684703100,3,0.127540,0.000000,0.000000,0.000000,events/second
1684703130,3,0.055830,0.000000,0.000000,0.000000,events/second
1684703160,3,0.035821,0.000000,0.000000,0.000000,events/second
1684703190,3,0.026369,0.000000,0.000000,0.000000,events/second
1684703220,3,0.020865,0.000000,0.000000,0.000000,events/second
1684703250,3,0.017261,0.000000,0.000000,0.000000,events/second
1684703280,3,0.014719,0.000000,0.000000,0.000000,events/second
1684703310,3,0.012830,0.000000,0.000000,0.000000,events/second
1684703400,3,0.443604,0.000000,0.000000,0.000000,events/second
1684703430,3,0.080948,0.000000,0.000000,0.000000,events/second
1684703460,3,0.044694,0.000000,0.000000,0.000000,events/second
1684703490,3,0.030883,0.000000,0.000000,0.000000,events/second
1684703520,3,0.023593,0.000000,0.000000,0.000000,events/second
1684709640,3,0.139151,0.000000,0.000000,0.000000,events/second
1684709670,3,0.057855,0.000000,0.000000,0.000000,events/second
1684709700,3,0.036640,0.000000,0.000000,0.000000,events/second
1684709730,3,0.026812,0.000000,0.000000,0.000000,events/second
1684709760,3,0.021139,0.000000,0.000000,0.000000,events/second
1684709790,3,0.017448,0.000000,0.000000,0.000000,events/second
1684709820,3,0.014856,0.000000,0.000000,0.000000,events/second
1684709850,3,0.012933,0.000000,0.000000,0.000000,events/second
1684709880,3,0.011451,0.000000,0.000000,0.000000,events/second
1684709910,3,0.010274,0.000000,0.000000,0.000000,events/second
1684709940,3,0.009316,0.000000,0.000000,0.000000,events/second
1684709970,3,0.008522,0.000000,0.000000,0.000000,events/second
