t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,1,0.338155,0.000000,0.000000,0.000000,events/second
1684699980,1,0.030209,0.000000,0.000000,0.000000,events/second
1684700010,1,0.015842,0.000000,0.000000,0.000000,events/second
1684700040,1,0.010737,0.000000,0.000000,0.000000,events/second
1684700070,1,0.008120,0.000000,0.000000,0.000000,events/second
1684700100,1,0.006529,0.000000,0.000000,0.000000,events/second
1684700130,1,0.005459,0.000000,0.000000,0.000000,events/second
1684700160,1,0.004690,0.000000,0.000000,0.000000,events/second
1684700190,1,0.004112,0.000000,0.000000,0.000000,events/second
1684700220,1,0.003660,0.000000,0.000000,0.000000,events/second
1684700250,1,0.003298,0.000000,0.000000,0.000000,events/second
1684700280,1,0.003001,0.000000,0.000000,0.000000,events/second
1684700310,1,0.002753,0.000000,0.000000,0.000000,events/second
1684700340,1,0.002543,0.000000,0.000000,0.000000,events/second
1684700370,1,0.002362,0.000000,0.000000,0.000000,events/second
1684700400,1,0.002206,0.000000,0.000000,0.000000,events/second
1684700430,1,0.002069,0.000000,0.000000,0.000000,events/second
1684700460,1,0.001948,0.000000,0.000000,0.000000,events/second
1684700490,1,0.001840,0.000000,0.000000,0.000000,events/second
1684700520,1,0.001744,0.000000,0.000000,0.000000,events/second
1684700550,1,0.001657,0.000000,0.000000,0.000000,events/second
1684700580,1,0.001579,0.000000,0.000000,0.000000,events/second
1684700610,1,0.001507,0.000000,0.000000,0.000000,events/second
1684700640,1,0.001442,0.000000,0.000000,0.000000,events/second
1684700670,1,0.001382,0.000000,0.000000,0.000000,events/second
1684700700,1,0.001327,0.000000,0.000000,0.000000,events/second
1684700730,1,0.001276,0.000000,0.000000,0.000000,events/second
1684700760,1,0.001229,0.000000,0.000000,0.000000,events/second
1684700790,1,0.001186,0.000000,0.000000,0.000000,events/second
1684700820,1,0.001145,0.000000,0.000000,0.000000,events/second
1684700850,1,0.001107,0.000000,0.000000,0.000000,events/second
1684700880,1,0.001071,0.000000,0.000000,0.000000,events/second
1684700910,1,0.001038,0.000000,0.000000,0.000000,events/second
1684700940,1,0.001006,0.000000,0.000000,0.000000,events/second
1684700970,1,0.000977,0.000000,0.000000,0.000000,events/second
1684701000,1,0.000949,0.000000,0.000000,0.000000,events/second
1684701030,1,0.000923,0.000000,0.000000,0.000000,events/second
1684701060,1,0.000898,0.000000,0.000000,0.000000,events/second
1684701091,1,0.000874,0.000000,0.000000,0.000000,events/second
1684701121,1,0.000852,0.000000,0.000000,0.000000,events/second
1684701151,1,0.000831,0.000000,0.000000,0.000000,events/second
1684701181,1,0.000811,0.000000,0.000000,0.000000,events/second
1684701211,1,0.000791,0.000000,0.000000,0.000000,events/second
1684701241,1,0.000773,0.000000,0.000000,0.000000,events/second
1684701271,1,0.000755,0.000000,0.000000,0.000000,events/second
1684701301,1,0.000739,0.000000,0.000000,0.000000,events/second
1684701331,1,0.000723,0.000000,0.000000,0.000000,events/second
1684701361,1,0.000707,0.000000,0.000000,0.000000,events/second
1684701391,1,0.000693,0.000000,0.000000,0.000000,events/second
1684701421,1,0.000678,0.000000,0.000000,0.000000,events/second
1684701451,1,0.000665,0.000000,0.000000,0.000000,events/second
1684701481,1,0.000652,0.000000,0.000000,0.000000,events/second
1684701511,1,0.000639,0.000000,0.000000,0.000000,events/second
1684701541,1,0.000627,0.000000,0.000000,0.000000,events/second
1684701571,1,0.000616,0.000000,0.000000,0.000000,events/second
1684701601,1,0.000605,0.000000,0.000000,0.000000,events/second
1684701631,1,0.000594,0.000000,0.000000,0.000000,events/second
1684701661,1,0.000583,0.000000,0.000000,0.000000,events/second
1684701691,1,0.000573,0.000000,0.000000,0.000000,events/second
1684701721,1,0.000564,0.000000,0.000000,0.000000,events/second
