t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,0,0.000000,0.000000,0.000000,0.000000,events/second
1684699980,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700010,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700040,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700070,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700100,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700130,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700160,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700190,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700220,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700250,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700280,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700310,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700340,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700370,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700400,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700430,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700460,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700490,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700520,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700550,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700580,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700610,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700640,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700670,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700700,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700730,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700760,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700790,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700820,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700850,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700880,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700910,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700940,0,0.000000,0.000000,0.000000,0.000000,events/second
1684700970,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701000,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701030,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701060,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701091,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701121,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701151,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701181,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701211,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701241,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701271,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701301,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701331,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701361,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701391,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701421,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701451,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701481,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701511,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701541,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701571,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701601,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701631,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701661,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701691,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701721,440,0.247733,0.000000,0.000000,0.000000,events/second
1684701751,440,0.243615,0.000000,0.000000,0.000000,events/second
1684701781,440,0.239633,0.000000,0.000000,0.000000,events/second
1684701870,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701900,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701930,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701960,0,0.000000,0.000000,0.000000,0.000000,events/second
1684701990,0,0.000000,0.000000,0.000000,0.000000,events/second
1684702020,0,0.000000,0.000000,0.000000,0.000000,events/second
1684702050,0,0.000000,0.000000,0.000000,0.000000,events/second
1684702080,0,0.000000,0.000000,0.000000,0.000000,events/second
1684702110,0,0.000000,0.000000,0.000000,0.000000,events/second
1684702140,0,0.000000,0.000000,0.000000,0.000000,events/second
1684702170,0,0.000000,0.000000,0.000000,0.000000,events/second
1684702200,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703010,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703040,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703100,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703130,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703160,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703190,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703220,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703250,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703280,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703310,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703400,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703430,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703460,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703490,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703520,0,0.000000,0.000000,0.000000,0.000000,events/second
1684709640,0,0.000000,0.000000,0.000000,0.000000,events/second
1684709670,0,0.000000,0.000000,0.000000,0.000000,events/second
1684709700,0,0.000000,0.000000,0.000000,0.000000,events/second
1684709730,0,0.000000,0.000000,0.000000,0.000000,events/second
1684709760,0,0.000000,0.000000,0.000000,0.000000,events/second
1684709790,0,0.000000,0.000000,0.000000,0.000000,events/second
