t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,0,0.000000,0.000000,0.000000,0.000000,events/second
1684699980,1,0.027928,0.014713,0.003251,0.001102,events/second
1684700010,1,0.015191,0.008924,0.002942,0.001066,events/second
1684700040,1,0.010434,0.005412,0.002662,0.001031,events/second
1684700070,1,0.007945,0.003283,0.002408,0.000997,events/second
1684700100,1,0.006415,0.001991,0.002179,0.000964,events/second
1684700130,1,0.005379,0.001208,0.001972,0.000933,events/second
1684700160,1,0.004632,0.000732,0.001784,0.000902,events/second
1684700190,1,0.004066,0.000444,0.001614,0.000873,events/second
1684700220,1,0.003624,0.000269,0.001461,0.000844,events/second
1684700250,1,0.003269,0.000163,0.001322,0.000816,events/second
1684700280,1,0.002977,0.000099,0.001196,0.000790,events/second
1684700310,1,0.002732,0.000060,0.001082,0.000764,events/second
1684700340,1,0.002525,0.000036,0.000979,0.000739,events/second
1684700370,1,0.002347,0.000022,0.000886,0.000714,events/second
1684700400,1,0.002193,0.000013,0.000802,0.000691,events/second
1684700430,1,0.002057,0.000008,0.000725,0.000668,events/second
1684700460,1,0.001938,0.000005,0.000656,0.000646,events/second
1684700490,2,0.003663,0.011461,0.003686,0.001709,events/second
1684700520,2,0.003472,0.006952,0.003336,0.001653,events/second
1684700550,2,0.003300,0.004216,0.003018,0.001599,events/second
1684700580,2,0.003144,0.002557,0.002731,0.001546,events/second
1684700610,2,0.003003,0.001551,0.002471,0.001496,events/second
1684700640,2,0.002873,0.000941,0.002236,0.001447,events/second
1684700670,2,0.002754,0.000571,0.002023,0.001399,events/second
1684700700,2,0.002645,0.000346,0.001831,0.001353,events/second
1684700730,2,0.002544,0.000210,0.001656,0.001309,events/second
1684700760,2,0.002450,0.000127,0.001499,0.001266,events/second
1684700790,2,0.002363,0.000077,0.001356,0.001224,events/second
1684700820,2,0.002283,0.000047,0.001227,0.001184,events/second
1684700850,2,0.002207,0.000028,0.001110,0.001146,events/second
1684700880,2,0.002136,0.000017,0.001005,0.001108,events/second
1684700910,2,0.002070,0.000010,0.000909,0.001072,events/second
1684700940,2,0.002007,0.000006,0.000823,0.001037,events/second
1684700970,2,0.001949,0.000004,0.000744,0.001003,events/second
1684701000,2,0.001893,0.000002,0.000673,0.000970,events/second
1684701030,2,0.001841,0.000001,0.000609,0.000938,events/second
1684701060,2,0.001792,0.000001,0.000551,0.000907,events/second
1684701091,2,0.001745,0.000001,0.000499,0.000877,events/second
1684701121,2,0.001700,0.000000,0.000451,0.000849,events/second
1684701151,2,0.001658,0.000000,0.000408,0.000821,events/second
1684701181,2,0.001617,0.000000,0.000370,0.000794,events/second
1684701211,2,0.001579,0.000000,0.000334,0.000768,events/second
1684701241,2,0.001543,0.000000,0.000303,0.000743,events/second
1684701271,2,0.001508,0.000000,0.000274,0.000718,events/second
1684701301,2,0.001474,0.000000,0.000248,0.000695,events/second
1684701331,2,0.001442,0.000000,0.000224,0.000672,events/second
1684701361,2,0.001412,0.000000,0.000203,0.000650,events/second
1684701391,2,0.001383,0.000000,0.000184,0.000629,events/second
1684701421,2,0.001354,0.000000,0.000166,0.000608,events/second
1684701451,2,0.001327,0.000000,0.000150,0.000588,events/second
1684701481,2,0.001302,0.000000,0.000136,0.000569,events/second
1684701511,2,0.001277,0.000000,0.000123,0.000550,events/second
1684701541,2,0.001253,0.000000,0.000111,0.000532,events/second
1684701571,2,0.001229,0.000000,0.000101,0.000515,events/second
1684701601,2,0.001207,0.000000,0.000091,0.000498,events/second
1684701631,2,0.001186,0.000000,0.000082,0.000482,events/second
1684701661,2,0.001165,0.000000,0.000075,0.000466,events/second
1684701691,2,0.001145,0.000000,0.000068,0.000450,events/second
1684701721,2,0.001126,0.000000,0.000061,0.000436,events/second
1684701751,2,0.001107,0.000000,0.000055,0.000421,events/second
1684701781,2,0.001089,0.000000,0.000050,0.000408,events/second
1684701870,1,0.037137,0.013536,0.003197,0.001096,events/second
1684701900,1,0.017505,0.008210,0.002893,0.001060,events/second
1684701930,1,0.011476,0.004980,0.002618,0.001025,events/second
1684701960,1,0.008536,0.003020,0.002369,0.000992,events/second
1684701990,1,0.006795,0.001832,0.002143,0.000959,events/second
1684702020,1,0.005644,0.001111,0.001939,0.000928,events/second
1684702050,1,0.004826,0.000674,0.001755,0.000897,events/second
1684702080,1,0.004216,0.000409,0.001588,0.000868,events/second
1684702110,1,0.003742,0.000248,0.001437,0.000839,events/second
1684702140,1,0.003364,0.000150,0.001300,0.000812,events/second
1684702170,2,0.006111,0.013627,0.004374,0.001881,events/second
1684702200,2,0.005598,0.008265,0.003957,0.001819,events/second
1684703010,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703040,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703100,1,0.039329,0.013536,0.003197,0.001096,events/second
1684703130,1,0.017990,0.008210,0.002893,0.001060,events/second
1684703160,1,0.011682,0.004980,0.002618,0.001025,events/second
1684703190,1,0.008649,0.003020,0.002369,0.000992,events/second
1684703220,1,0.006867,0.001832,0.002143,0.000959,events/second
1684703250,1,0.005693,0.001111,0.001939,0.000928,events/second
1684703280,1,0.004862,0.000674,0.001755,0.000897,events/second
1684703310,1,0.004243,0.000409,0.001588,0.000868,events/second
1684703400,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703430,1,0.025801,0.015991,0.003306,0.001108,events/second
1684703460,1,0.014531,0.009699,0.002991,0.001072,events/second
1684703490,1,0.010117,0.005883,0.002706,0.001037,events/second
1684703520,1,0.007761,0.003568,0.002449,0.001003,events/second
1684709640,2,0.084651,0.027072,0.006395,0.002192,events/second
1684709670,2,0.037127,0.016420,0.005786,0.002120,events/second
1684709700,2,0.023840,0.009959,0.005236,0.002050,events/second
1684709730,2,0.017558,0.006041,0.004737,0.001983,events/second
1684709760,2,0.013896,0.003664,0.004286,0.001918,events/second
1684709790,2,0.011498,0.002222,0.003879,0.001855,events/second
1684709820,2,0.009806,0.001348,0.003509,0.001794,events/second
1684709850,2,0.008548,0.000818,0.003175,0.001735,events/second
1684709880,2,0.007576,0.000496,0.002873,0.001679,events/second
1684709910,2,0.006802,0.000301,0.002600,0.001624,events/second
1684709940,2,0.006172,0.000182,0.002352,0.001570,events/second
1684709970,2,0.005649,0.000111,0.002129,0.001519,events/second
1684710000,2,0.005208,0.000067,0.001926,0.001469,events/second
1684710030,2,0.004830,0.000041,0.001743,0.001421,events/second
1684710060,2,0.004504,0.000025,0.001577,0.001374,events/second
1684710091,2,0.004219,0.000015,0.001427,0.001329,events/second
1684710121,2,0.003967,0.000009,0.001291,0.001286,events/second
1684710151,2,0.003745,0.000006,0.001168,0.001244,events/second
1684710181,2,0.003545,0.000003,0.001057,0.001203,events/second
1684710211,2,0.003366,0.000002,0.000956,0.001163,events/second
1684710241,2,0.003204,0.000001,0.000865,0.001125,events/second
1684710271,2,0.003057,0.000001,0.000783,0.001088,events/second
