t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1684699950,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1684699980,24,2173,503.041667,5,727.968554,78.000000,845.750000,2167.250000,2173.000000,2173.000000,2173.000000
1684700010,37,2173,330.945946,4,628.357468,19.000000,419.000000,2152.300000,2173.000000,2173.000000,2173.000000
1684700040,63,2173,197.857143,2,504.885930,8.000000,41.000000,1904.000000,2166.560000,2173.000000,2173.000000
1684700070,76,2173,165.447368,2,464.648179,7.000000,34.000000,1536.750000,2160.580000,2173.000000,2173.000000
1684700100,102,2173,132.519608,2,404.998465,7.000000,41.000000,952.000000,2142.020000,2172.310000,2173.000000
1684700130,115,2173,120.304348,2,382.899629,7.000000,41.000000,952.000000,2107.440000,2169.320000,2173.000000
1684700160,141,2173,100.460993,2,348.107260,6.000000,31.000000,524.900000,2038.280000,2163.340000,2173.000000
1684700190,167,2173,87.041916,2,321.291677,6.000000,30.000000,471.200000,1813.600000,2157.360000,2173.000000
1684700220,193,2173,76.093264,2,300.047204,5.000000,22.000000,419.000000,1519.800000,2151.380000,2173.000000
1684700250,206,2173,71.655340,2,290.887695,5.000000,21.000000,326.600000,1382.000000,2140.690000,2173.000000
1684700280,232,2173,64.228448,1,274.835211,5.000000,19.000000,134.200000,1122.000000,2106.110000,2173.000000
1684700310,245,2173,61.159184,1,267.734399,5.000000,18.500000,120.000000,992.000000,2088.820000,2173.000000
1684700340,271,2173,55.885609,1,255.042273,5.000000,17.000000,110.000000,952.000000,2054.240000,2173.000000
1684700370,310,2173,49.516129,1,239.005961,4.000000,11.250000,103.350000,858.500000,1954.850000,2173.000000
1684700400,336,2173,46.095238,1,229.854016,4.000000,10.750000,96.050000,637.500000,1807.950000,2173.000000
1684700430,349,2173,44.538682,1,225.660733,4.000000,10.000000,89.500000,527.000000,1734.500000,2173.000000
1684700460,375,2173,41.709333,1,217.925607,4.000000,10.000000,84.000000,516.080000,1587.600000,2173.000000
1684700490,410,2173,38.500000,1,208.660804,4.000000,9.000000,82.450000,486.860000,1397.000000,2173.000000
1684700520,436,2173,36.479358,1,202.492190,4.000000,8.000000,78.600000,441.620000,1267.000000,2173.000000
1684700550,462,2173,34.651515,1,196.844538,4.000000,8.000000,71.950000,419.000000,1137.000000,2173.000000
1684700580,475,2173,33.797895,1,194.194325,4.000000,8.000000,67.400000,419.000000,1072.000000,2173.000000
1684700610,514,2173,31.616732,1,186.828833,3.000000,8.000000,58.000000,339.800000,952.000000,2173.000000
1684700640,527,2173,30.931689,1,184.557376,3.000000,7.000000,57.600000,271.160000,952.000000,2173.000000
1684700670,553,2173,29.622061,1,180.256691,3.000000,7.000000,54.200000,152.440000,952.000000,2173.000000
1684700700,579,2173,28.442142,1,176.241856,3.000000,7.000000,51.000000,135.800000,952.000000,2173.000000
1684700730,605,2173,27.408264,1,172.480857,3.000000,7.000000,47.700000,121.800000,926.500000,2173.000000
1684700760,618,2173,27.365696,1,170.827870,3.000000,7.000000,51.100000,150.580000,871.250000,2173.000000
1684700790,644,2173,26.444099,1,167.402408,3.000000,7.000000,47.750000,145.900000,760.750000,2173.000000
1684700820,657,2173,25.995434,1,165.766609,3.000000,7.000000,47.100000,141.480000,705.500000,2173.000000
1684700850,683,2173,25.159590,1,162.632899,3.000000,7.000000,45.000000,130.040000,595.000000,2173.000000
1684700880,696,2173,24.777299,1,161.130299,3.000000,7.000000,41.750000,124.320000,539.750000,2173.000000
1684700910,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684700940,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684700970,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701000,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
