t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,0,0.000000,0.000000,0.000000,0.000000,events/second
1684699980,24,0.670257,0.338976,0.077296,0.026361,events/second
1684700010,37,0.562068,0.365588,0.110716,0.039651,events/second
1684700040,63,0.657335,0.550049,0.181982,0.066685,events/second
1684700070,76,0.603833,0.494527,0.205439,0.078653,events/second
1684700100,102,0.654368,0.628254,0.267691,0.104409,events/second
1684700130,115,0.618615,0.542956,0.283095,0.115153,events/second
1684700160,141,0.653052,0.657629,0.337957,0.139712,events/second
1684700190,167,0.679077,0.751040,0.388836,0.163610,events/second
1684700220,193,0.699441,0.783838,0.433635,0.186581,events/second
1684700250,206,0.673315,0.636326,0.433145,0.194618,events/second
1684700280,232,0.690559,0.714260,0.473728,0.216572,events/second
1684700310,245,0.669437,0.595121,0.469525,0.223639,events/second
1684700340,271,0.684348,0.689268,0.506646,0.244641,events/second
1684700370,310,0.727679,0.904889,0.581078,0.279120,events/second
1684700400,336,0.736818,0.877152,0.607584,0.298304,events/second
1684700430,349,0.718065,0.693920,0.590643,0.302691,events/second
1684700460,375,0.726682,0.745938,0.616079,0.321084,events/second
1684700490,410,0.750837,0.880575,0.661851,0.346587,events/second
1684700520,436,0.756844,0.881376,0.686826,0.365725,events/second
1684700550,462,0.762267,0.861431,0.698135,0.380023,events/second
1684700580,475,0.746740,0.721892,0.679455,0.383977,events/second
1684700610,514,0.771644,0.901745,0.731004,0.411687,events/second
1684700640,527,0.757056,0.755112,0.709576,0.414646,events/second
1684700670,553,0.761569,0.618904,0.682878,0.415213,events/second
1684700700,579,0.765723,0.891702,0.741801,0.444241,events/second
1684700730,605,0.769555,0.702745,0.712087,0.443843,events/second
1684700760,618,0.757169,0.750375,0.725916,0.457603,events/second
1684700790,644,0.761033,0.628484,0.697662,0.456761,events/second
1684700820,657,0.749805,0.698962,0.713073,0.470121,events/second
1684700850,683,0.753663,0.585842,0.686093,0.468875,events/second
1684700880,696,0.743388,0.683640,0.702605,0.481838,events/second
1684700910,722,0.747206,0.588008,0.679714,0.481285,events/second
1684700940,722,0.724692,0.483149,0.651528,0.478439,events/second
1684700970,722,0.703491,0.293044,0.589527,0.462754,events/second
1684701000,722,0.683494,0.177740,0.533426,0.447583,events/second
1684701030,722,0.664608,0.107805,0.482664,0.432909,events/second
1684701060,722,0.646733,0.065387,0.436732,0.418717,events/second
1684701091,722,0.629779,0.039659,0.395172,0.404990,events/second
1684701121,722,0.613704,0.024055,0.357566,0.391713,events/second
1684701151,722,0.598440,0.014590,0.323539,0.378871,events/second
1684701181,722,0.583916,0.008849,0.292750,0.366450,events/second
1684701211,722,0.570074,0.005367,0.264891,0.354436,events/second
1684701241,722,0.556878,0.003255,0.239684,0.342816,events/second
1684701271,722,0.544279,0.001975,0.216875,0.331577,events/second
1684701301,722,0.532234,0.001198,0.196236,0.320707,events/second
1684701331,722,0.520713,0.000726,0.177562,0.310193,events/second
1684701361,722,0.509674,0.000441,0.160665,0.300024,events/second
1684701391,722,0.499092,0.000267,0.145375,0.290188,events/second
1684701421,722,0.488951,0.000162,0.131541,0.280674,events/second
1684701451,722,0.479208,0.000098,0.119023,0.271473,events/second
1684701481,722,0.469849,0.000060,0.107697,0.262573,events/second
1684701511,722,0.460842,0.000036,0.097448,0.253965,events/second
1684701541,722,0.452178,0.000022,0.088175,0.245639,events/second
1684701571,722,0.443836,0.000013,0.079784,0.237586,events/second
1684701601,722,0.435794,0.000008,0.072191,0.229797,events/second
1684701631,722,0.428039,0.000005,0.065321,0.222263,events/second
1684701661,722,0.420557,0.000003,0.059105,0.214976,events/second
1684701691,722,0.413331,0.000002,0.053481,0.207929,events/second
1684701721,722,0.406347,0.000001,0.048391,0.201112,events/second
1684701751,722,0.399595,0.000001,0.043786,0.194519,events/second
1684701781,722,0.393065,0.000000,0.039619,0.188142,events/second
1684701870,25,0.928160,0.350544,0.080474,0.027456,events/second
1684701900,51,0.892754,0.385059,0.116736,0.041800,events/second
1684701930,64,0.734468,0.551317,0.184388,0.067686,events/second
1684701960,64,0.546294,0.334391,0.166841,0.065467,events/second
1684701990,64,0.434870,0.202818,0.150964,0.063321,events/second
1684702020,64,0.361190,0.123015,0.136598,0.061245,events/second
1684702050,64,0.308880,0.074613,0.123599,0.059237,events/second
1684702080,64,0.269796,0.045255,0.111837,0.057295,events/second
1684702110,64,0.239491,0.027448,0.101194,0.055417,events/second
1684702140,64,0.215308,0.016648,0.091564,0.053600,events/second
1684702170,95,0.290291,0.280821,0.146797,0.073758,events/second
1684702200,115,0.321885,0.536284,0.229097,0.104978,events/second
1684703010,4,0.231859,0.058850,0.013004,0.004408,events/second
1684703040,9,0.189342,0.115650,0.028295,0.009803,events/second
1684703100,35,1.376071,0.333479,0.077116,0.026342,events/second
1684703130,63,1.133343,0.696152,0.192492,0.067980,events/second
1684703160,102,1.191542,1.008528,0.301424,0.108775,events/second
1684703190,128,1.107048,0.964010,0.355703,0.133677,events/second
