t,value
1684699950,57
1684699980,57
1684700010,57
1684700040,57
1684700070,57
1684700100,57
1684700130,57
1684700160,57
1684700190,57
1684700220,57
1684700250,57
1684700280,57
1684700310,57
1684700340,57
1684700370,57
1684700400,57
1684700430,57
1684700460,57
1684700490,57
1684700520,57
1684700550,57
1684700580,57
1684700610,57
1684700640,57
1684700670,57
1684700700,57
1684700730,57
1684700760,57
1684700790,57
1684700820,57
1684700850,57
1684700880,57
1684700910,57
1684700940,57
1684700970,57
1684701000,57
1684701030,57
1684701060,57
1684701091,57
1684701121,57
1684701151,57
1684701181,57
1684701211,57
1684701241,57
1684701271,57
1684701301,57
1684701331,57
1684701361,57
1684701391,57
1684701421,57
1684701451,57
1684701481,57
1684701511,57
1684701541,57
1684701571,57
1684701601,57
1684701631,57
1684701661,57
1684701691,57
1684701721,57
1684701751,57
1684701781,57
1684701870,57
1684701900,57
1684701930,57
1684701960,57
1684701990,57
1684702020,57
1684702050,57
1684702080,57
1684702110,57
1684702140,57
1684702170,57
1684702200,57
1684703010,57
1684703040,57
1684703100,57
1684703130,57
1684703160,57
1684703190,57
1684703220,57
1684703250,57
1684703280,57
1684703310,57
1684703400,57
1684703430,57
1684703460,57
1684703490,57
1684703520,57
1684709640,57
1684709670,57
1684709700,57
1684709730,57
1684709760,57
1684709790,57
1684709820,57
1684709850,57
1684709880,57
1684709910,57
1684709940,57
1684709970,57
1684710000,57
1684710030,57
1684710060,57
1684710091,57
1684710121,57
1684710151,57
1684710181,57
1684710211,57
1684710241,57
1684710271,57
1684710301,57
1684710331,57
1684710361,57
1684710391,57
1684710421,57
1684710451,57
1684710481,57
1684710511,57
1684710541,57
1684710571,57
1684710601,57
1684710631,57
1684710661,57
1684710691,57
1684710721,57
1684710751,57
1684710781,57
1684710811,57
1684710841,57
1684710871,57
1684710901,57
1684710931,57
1684710961,57
1684710991,57
1684711021,57
1684711051,57
1684711081,57
1684711111,57
1684711141,57
1684711171,57
1684711201,57
1684711231,57
1684711261,57
1684711291,57
1684711321,57
1684711351,57
1684711381,57
1684711411,57
1684711441,57
1684711471,57
1684711501,57
1684711531,57
1684711561,57
1684711591,57
1684711621,57
1684711651,57
1684711681,57
1684711711,57
1684711741,57
1684711771,57
1684711801,57
1684711831,57
1684711861,57
1684711891,57
1684711921,57
1684711951,57
1684711981,57
1684712011,57
1684712041,57
1684712071,57
1684712101,57
1684712131,57
1684712161,57
1684712191,57
1684712221,57
1684712251,57
1684712281,57
1684712311,57
1684712341,57
1684712371,57
1684712401,57
1684712431,57
1684712461,57
1684712491,57
1684712521,57
1684712551,57
1684712581,57
1684712611,57
1684712641,57
1684712671,57
1684712701,57
1684712731,57
1684712761,57
1684712791,57
1684712821,57
1684712852,57
1684712882,57
1684712912,57
1684712942,57
1684712972,57
1684713002,57
1684713032,57
1684713062,57
1684713092,57
1684713122,57
1684713152,57
1684713182,57
1684713212,57
1684713242,57
1684713272,57
1684713302,57
1684713332,57
1684713362,57
1684713392,57
1684713422,57
1684713452,57
1684713482,57
1684713512,57
1684713542,57
