t,value
1684699950,132
1684699980,132
1684700010,132
1684700040,132
1684700070,132
1684700100,132
1684700130,132
1684700160,132
1684700190,132
1684700220,132
1684700250,132
1684700280,132
1684700310,132
1684700340,132
1684700370,132
1684700400,132
1684700430,132
1684700460,132
1684700490,132
1684700520,132
1684700550,132
1684700580,132
1684700610,132
1684700640,132
1684700670,132
1684700700,132
1684700730,132
1684700760,132
1684700790,132
1684700820,132
1684700850,132
1684700880,132
1684700910,132
1684700940,132
1684700970,132
1684701000,132
1684701030,132
1684701060,132
1684701091,132
1684701121,132
1684701151,132
1684701181,132
1684701211,132
1684701241,132
1684701271,132
1684701301,132
1684701331,132
1684701361,132
1684701391,132
1684701421,132
1684701451,132
1684701481,132
1684701511,132
1684701541,132
1684701571,132
1684701601,132
1684701631,132
1684701661,132
1684701691,132
1684701721,132
1684701751,132
1684701781,132
1684701870,132
1684701900,132
1684701930,132
1684701960,132
1684701990,132
1684702020,132
1684702050,132
1684702080,132
1684702110,132
1684702140,132
1684702170,132
1684702200,132
1684703010,132
1684703040,132
1684703100,132
1684703130,132
1684703160,132
1684703190,132
1684703220,132
1684703250,132
1684703280,132
1684703310,132
1684703400,132
1684703430,142
1684703460,142
1684703490,142
1684703520,142
1684709640,142
1684709670,142
1684709700,142
1684709730,142
1684709760,142
1684709790,142
1684709820,142
1684709850,142
1684709880,142
1684709910,142
1684709940,142
1684709970,142
1684710000,142
1684710030,142
1684710060,142
1684710091,142
1684710121,142
1684710151,142
1684710181,142
1684710211,142
1684710241,142
1684710271,142
1684710301,142
1684710331,142
1684710361,142
1684710391,142
1684710421,142
1684710451,142
1684710481,142
1684710511,142
1684710541,142
1684710571,142
1684710601,142
1684710631,142
1684710661,142
1684710691,142
1684710721,142
1684710751,142
1684710781,142
1684710811,142
1684710841,142
1684710871,142
1684710901,142
1684710931,142
1684710961,142
1684710991,142
1684711021,142
1684711051,142
1684711081,142
1684711111,142
1684711141,142
1684711171,142
1684711201,142
1684711231,142
1684711261,142
1684711291,142
1684711321,142
1684711351,142
1684711381,142
1684711411,142
1684711441,142
1684711471,142
1684711501,142
1684711531,142
1684711561,142
1684711591,142
1684711621,142
1684711651,142
1684711681,142
1684711711,142
1684711741,142
1684711771,142
1684711801,142
1684711831,142
1684711861,142
1684711891,142
1684711921,142
1684711951,142
1684711981,142
1684712011,142
1684712041,142
1684712071,142
1684712101,142
1684712131,142
1684712161,142
1684712191,142
1684712221,142
1684712251,142
1684712281,142
1684712311,142
1684712341,142
1684712371,142
1684712401,142
1684712431,142
1684712461,142
1684712491,142
1684712521,142
1684712551,142
1684712581,142
1684712611,142
1684712641,142
1684712671,142
1684712701,142
1684712731,142
1684712761,142
1684712791,142
1684712821,142
1684712852,142
1684712882,142
1684712912,142
1684712942,142
1684712972,142
1684713002,142
1684713032,142
1684713062,142
1684713092,142
1684713122,142
1684713152,142
1684713182,142
1684713212,142
1684713242,142
1684713272,142
1684713302,142
1684713332,142
1684713362,142
1684713392,142
1684713422,142
1684713452,142
1684713482,142
1684713512,142
1684713542,142
1684713572,142
1684713602,142
1684713632,142
1684713662,142
1684713692,142
1684713722,142
1684713752,142
1684713782,142
1684713812,142
1684713842,142
1684713872,142
1684713902,142
1684713932,142
1684713962,142
1684713992,142
1684714022,142
1684714052,142
1684714082,142
1684714112,142
1684714142,142
1684714172,142
1684714202,142
1684714232,142
1684714262,142
1684714292,142
1684714322,142
1684714352,142
1684714382,142
1684714412,142
1684714442,142
1684714472,142
1684714502,142
1684714532,142
1684714562,142
1684714592,142
1684714622,142
1684714652,142
1684714682,142
1684714712,142
1684714742,142
1684714772,142
1684714802,142
1684714832,142
1684714862,142
1684714892,142
1684714922,142
1684714952,142
1684714982,142
1684715012,142
1684715042,142
1684715072,142
1684715102,142
1684715132,142
1684715162,142
1684715192,142
1684715222,142
1684715252,142
1684715282,142
1684715312,142
1684715342,142
1684715372,142
1684715402,142
1684715432,142
1684715462,142
1684715492,142
1684715522,142
1684715552,142
1684715582,142
1684715612,142
1684715642,142
1684715672,142
1684715702,142
1684715732,142
1684715762,142
1684715792,142
1684715823,142
1684715853,142
1684715883,142
1684715913,142
1684715943,142
1684715973,142
1684716003,142
1684716033,142
1684716063,142
1684716093,142
1684716123,142
1684716153,142
1684716183,142
1684716213,142
1684716243,142
1684716273,142
1684716303,142
1684716333,142
1684716363,142
1684716393,142
1684716423,142
1684716453,142
1684716483,142
1684716513,142
1684716543,142
1684716573,142
1684716603,142
1684716633,142
1684716663,142
1684716693,142
1684716723,142
1684716753,142
1684716783,142
1684716813,142
1684716843,142
1684716873,142
1684716903,142
1684716933,142
1684716963,142
1684716993,142
1684717023,142
1684717053,142
1684717083,142
1684717113,142
1684717143,142
1684717173,142
1684717203,142
1684717233,142
1684717263,142
1684717293,142
1684717323,142
1684717353,142
1684717383,142
1684717413,142
1684717443,142
1684717473,142
1684717503,142
1684717533,142
1684717563,142
1684717593,142
1684717623,142
1684717653,142
1684717683,142
1684717713,142
1684717743,142
1684717773,142
1684717803,142
1684717833,142
1684717863,142
1684717893,142
1684717923,142
1684717953,142
1684717983,142
1684718013,142
1684718043,142
1684718073,142
1684718103,142
1684718133,142
1684718163,142
1684718193,142
1684718223,142
1684718253,142
1684718283,142
1684718313,142
1684718343,142
1684718373,142
1684718403,142
1684718433,142
1684718463,142
1684718493,142
1684718524,142
1684718554,142
1684718584,142
1684718614,142
1684718644,142
1684718674,142
1684718704,142
1684718734,142
1684718764,142
1684718794,142
1684718824,142
1684718854,142
1684718884,142
1684718914,142
1684718944,142
1684718974,142
1684719004,142
1684719034,142
1684719064,142
1684719094,142
1684719124,142
1684719154,142
1684719184,142
1684719214,142
1684719244,142
1684719274,142
1684719304,142
1684719334,142
1684719364,142
1684719394,142
1684719424,142
1684719454,142
1684719484,142
1684719514,142
1684719544,142
1684719574,142
1684719604,142
1684719634,142
1684719664,142
1684719694,142
1684719724,142
1684719754,142
1684719784,142
1684719814,142
1684719844,142
1684719874,142
1684719904,142
1684719934,142
1684719964,142
1684719994,142
1684720024,142
1684720054,142
1684720084,142
1684720114,142
1684720144,142
1684720174,142
1684720204,142
1684720234,142
1684720264,142
1684720294,142
1684720324,142
1684720354,142
1684720384,142
1684720414,142
1684720444,142
1684720474,142
1684720504,142
1684720534,142
1684720564,142
1684720594,142
1684720624,142
