t,value
1684699950,115
1684699980,115
1684700010,115
1684700040,115
1684700070,115
1684700100,115
1684700130,115
1684700160,115
1684700190,115
1684700220,115
1684700250,115
1684700280,115
1684700310,115
1684700340,115
1684700370,115
1684700400,115
1684700430,115
1684700460,115
1684700490,115
1684700520,115
1684700550,115
1684700580,115
1684700610,115
1684700640,115
1684700670,115
1684700700,115
1684700730,115
1684700760,115
1684700790,115
1684700820,115
1684700850,115
1684700880,115
1684700910,115
1684700940,115
1684700970,115
1684701000,115
1684701030,115
1684701060,115
1684701091,115
1684701121,115
1684701151,115
1684701181,115
1684701211,115
1684701241,115
1684701271,115
1684701301,115
1684701331,115
1684701361,115
1684701391,115
1684701421,115
1684701451,115
1684701481,115
1684701511,115
1684701541,115
1684701571,115
1684701601,115
1684701631,115
1684701661,115
1684701691,115
1684701721,115
1684701751,115
1684701781,115
1684701870,115
1684701900,115
1684701930,115
1684701960,115
1684701990,115
1684702020,115
1684702050,115
1684702080,115
1684702110,115
1684702140,115
1684702170,115
1684702200,115
1684703010,115
1684703040,115
1684703100,115
1684703130,115
1684703160,115
1684703190,115
1684703220,115
1684703250,115
1684703280,115
1684703310,115
1684703400,115
1684703430,115
1684703460,115
1684703490,115
1684703520,115
1684709640,115
1684709670,115
1684709700,115
1684709730,115
1684709760,115
1684709790,115
1684709820,115
1684709850,115
1684709880,115
1684709910,115
1684709940,115
1684709970,115
1684710000,115
1684710030,115
1684710060,115
1684710091,115
1684710121,115
1684710151,115
1684710181,115
1684710211,115
1684710241,115
1684710271,115
1684710301,115
1684710331,115
1684710361,115
1684710391,115
1684710421,115
1684710451,115
1684710481,115
1684710511,115
1684710541,115
1684710571,115
1684710601,115
1684710631,115
1684710661,115
1684710691,115
1684710721,115
1684710751,115
1684710781,115
1684710811,115
1684710841,115
1684710871,115
1684710901,115
1684710931,115
1684710961,115
1684710991,115
1684711021,115
1684711051,115
1684711081,115
1684711111,115
1684711141,115
1684711171,115
1684711201,115
1684711231,115
1684711261,115
1684711291,115
1684711321,115
1684711351,115
1684711381,115
1684711411,115
1684711441,115
1684711471,115
1684711501,115
1684711531,115
1684711561,115
1684711591,115
1684711621,115
1684711651,115
1684711681,115
1684711711,115
1684711741,115
1684711771,115
1684711801,115
1684711831,115
1684711861,115
1684711891,115
1684711921,115
1684711951,115
1684711981,115
1684712011,115
1684712041,115
1684712071,115
1684712101,115
1684712131,115
1684712161,115
1684712191,115
1684712221,115
1684712251,115
1684712281,115
1684712311,115
1684712341,115
1684712371,115
1684712401,115
1684712431,115
1684712461,115
1684712491,115
1684712521,115
1684712551,115
1684712581,115
1684712611,115
1684712641,115
1684712671,115
1684712701,115
1684712731,115
1684712761,115
1684712791,115
1684712821,115
1684712852,115
1684712882,115
1684712912,115
1684712942,115
1684712972,115
1684713002,115
1684713032,115
1684713062,115
1684713092,115
1684713122,115
1684713152,115
1684713182,115
1684713212,115
1684713242,115
1684713272,115
1684713302,115
1684713332,115
1684713362,115
1684713392,115
1684713422,115
1684713452,115
1684713482,115
1684713512,115
1684713542,115
1684713572,115
1684713602,115
1684713632,115
1684713662,115
1684713692,115
1684713722,115
1684713752,115
1684713782,115
1684713812,115
1684713842,115
1684713872,115
1684713902,115
1684713932,115
1684713962,115
1684713992,115
1684714022,115
1684714052,115
1684714082,115
1684714112,115
1684714142,115
1684714172,115
1684714202,115
1684714232,115
1684714262,115
1684714292,115
1684714322,115
1684714352,115
1684714382,115
1684714412,115
1684714442,115
1684714472,115
1684714502,115
1684714532,115
1684714562,115
1684714592,115
1684714622,115
1684714652,115
1684714682,115
1684714712,115
1684714742,115
1684714772,115
1684714802,115
1684714832,115
1684714862,115
1684714892,115
1684714922,115
1684714952,115
1684714982,115
1684715012,115
1684715042,115
1684715072,115
1684715102,115
1684715132,115
1684715162,115
1684715192,115
1684715222,115
1684715252,115
1684715282,115
1684715312,115
1684715342,115
1684715372,115
1684715402,115
1684715432,115
1684715462,115
1684715492,115
1684715522,115
1684715552,115
1684715582,115
1684715612,115
1684715642,115
1684715672,115
1684715702,115
1684715732,115
1684715762,115
1684715792,115
1684715823,115
1684715853,115
1684715883,115
1684715913,115
1684715943,115
1684715973,115
1684716003,115
1684716033,115
1684716063,115
1684716093,115
1684716123,115
1684716153,115
1684716183,115
1684716213,115
1684716243,115
1684716273,115
1684716303,115
1684716333,115
1684716363,115
1684716393,115
1684716423,115
1684716453,115
1684716483,115
1684716513,115
1684716543,115
1684716573,115
1684716603,115
1684716633,115
1684716663,115
1684716693,115
1684716723,115
1684716753,115
