t,value
1684699950,8
1684699980,8
1684700010,8
1684700040,8
1684700070,8
1684700100,8
1684700130,8
1684700160,8
1684700190,8
1684700220,8
1684700250,8
1684700280,8
1684700310,8
1684700340,8
1684700370,8
1684700400,8
1684700430,8
1684700460,8
1684700490,8
1684700520,8
1684700550,8
1684700580,8
1684700610,8
1684700640,8
1684700670,8
1684700700,8
1684700730,8
1684700760,8
1684700790,8
1684700820,8
1684700850,8
1684700880,8
1684700910,8
1684700940,8
1684700970,8
1684701000,8
1684701030,8
1684701060,8
1684701091,8
1684701121,8
1684701151,8
1684701181,8
1684701211,8
1684701241,8
1684701271,8
1684701301,8
1684701331,8
1684701361,8
1684701391,8
1684701421,8
1684701451,8
1684701481,8
1684701511,8
1684701541,8
1684701571,8
1684701601,8
1684701631,8
1684701661,8
1684701691,8
1684701721,8
1684701751,8
1684701781,8
1684701870,8
1684701900,8
1684701930,8
1684701960,8
1684701990,8
1684702020,8
1684702050,8
1684702080,8
1684702110,8
1684702140,8
1684702170,8
1684702200,8
1684703010,8
1684703040,8
1684703100,8
1684703130,8
1684703160,8
1684703190,8
1684703220,8
1684703250,8
1684703280,8
1684703310,8
1684703400,8
1684703430,8
1684703460,8
1684703490,8
1684703520,8
1684709640,8
1684709670,8
1684709700,8
1684709730,8
1684709760,8
1684709790,8
1684709820,8
1684709850,8
1684709880,8
1684709910,8
1684709940,8
1684709970,8
1684710000,8
1684710030,8
1684710060,8
1684710091,8
1684710121,8
1684710151,8
1684710181,8
1684710211,8
1684710241,8
1684710271,8
1684710301,8
1684710331,8
1684710361,8
1684710391,8
1684710421,8
1684710451,8
1684710481,8
1684710511,8
1684710541,8
1684710571,8
1684710601,8
1684710631,8
1684710661,8
1684710691,8
1684710721,8
1684710751,8
1684710781,8
1684710811,8
1684710841,8
1684710871,8
1684710901,8
1684710931,8
1684710961,8
1684710991,8
1684711021,8
1684711051,8
1684711081,8
1684711111,8
1684711141,8
1684711171,8
1684711201,8
1684711231,8
1684711261,8
1684711291,8
1684711321,8
1684711351,8
1684711381,8
1684711411,8
1684711441,8
1684711471,8
1684711501,8
1684711531,8
1684711561,8
1684711591,8
1684711621,8
1684711651,8
1684711681,8
1684711711,8
1684711741,8
1684711771,8
1684711801,8
1684711831,8
1684711861,8
1684711891,8
1684711921,8
1684711951,8
1684711981,8
1684712011,8
1684712041,8
1684712071,8
1684712101,8
1684712131,8
1684712161,8
1684712191,8
1684712221,8
1684712251,8
1684712281,8
1684712311,8
1684712341,8
1684712371,8
1684712401,8
1684712431,8
1684712461,8
1684712491,8
1684712521,8
1684712551,8
1684712581,8
1684712611,8
1684712641,8
1684712671,8
1684712701,8
1684712731,8
1684712761,8
1684712791,8
1684712821,8
1684712852,8
1684712882,8
1684712912,8
1684712942,8
1684712972,8
1684713002,8
1684713032,8
1684713062,8
1684713092,8
1684713122,8
1684713152,8
1684713182,8
1684713212,8
1684713242,8
1684713272,8
1684713302,8
1684713332,8
1684713362,8
1684713392,8
1684713422,8
1684713452,8
1684713482,8
1684713512,8
1684713542,8
1684713572,8
1684713602,8
1684713632,8
1684713662,8
1684713692,8
1684713722,8
1684713752,8
1684713782,8
1684713812,8
1684713842,8
1684713872,8
1684713902,8
1684713932,8
1684713962,8
1684713992,8
1684714022,8
1684714052,8
1684714082,8
1684714112,8
1684714142,8
1684714172,8
1684714202,8
1684714232,8
1684714262,8
1684714292,8
1684714322,8
1684714352,8
1684714382,8
1684714412,8
1684714442,8
1684714472,8
1684714502,8
1684714532,8
1684714562,8
1684714592,8
1684714622,8
1684714652,8
1684714682,8
1684714712,8
1684714742,8
1684714772,8
1684714802,8
1684714832,8
1684714862,8
1684714892,8
1684714922,8
1684714952,8
1684714982,8
1684715012,8
1684715042,8
1684715072,8
1684715102,8
1684715132,8
1684715162,8
1684715192,8
1684715222,8
1684715252,8
1684715282,8
1684715312,8
1684715342,8
1684715372,8
1684715402,8
1684715432,8
1684715462,8
1684715492,8
1684715522,8
1684715552,8
1684715582,8
1684715612,8
1684715642,8
1684715672,8
1684715702,8
1684715732,8
1684715762,8
1684715792,8
1684715823,8
1684715853,8
1684715883,8
1684715913,8
1684715943,8
1684715973,8
1684716003,8
1684716033,8
1684716063,8
1684716093,8
1684716123,8
1684716153,8
1684716183,8
1684716213,8
1684716243,8
1684716273,8
1684716303,8
1684716333,8
1684716363,8
1684716393,8
1684716423,8
1684716453,8
1684716483,8
1684716513,8
1684716543,8
1684716573,8
1684716603,8
1684716633,8
1684716663,8
1684716693,8
1684716723,8
1684716753,8
1684716783,8
1684716813,8
1684716843,8
1684716873,8
1684716903,8
1684716933,8
1684716963,8
1684716993,8
1684717023,8
1684717053,8
1684717083,8
1684717113,8
1684717143,8
1684717173,8
1684717203,8
1684717233,8
1684717263,8
1684717293,8
1684717323,8
1684717353,8
1684717383,8
1684717413,8
1684717443,8
1684717473,8
1684717503,8
1684717533,8
1684717563,8
1684717593,8
1684717623,8
1684717653,8
1684717683,8
1684717713,8
1684717743,8
1684717773,8
1684717803,8
1684717833,8
1684717863,8
1684717893,8
1684717923,8
1684717953,8
1684717983,8
1684718013,8
1684718043,8
1684718073,8
1684718103,8
1684718133,8
1684718163,8
1684718193,8
1684718223,8
1684718253,8
1684718283,8
1684718313,8
1684718343,8
1684718373,8
1684718403,8
1684718433,8
1684718463,8
1684718493,8
1684718524,8
1684718554,8
1684718584,8
1684718614,8
1684718644,8
1684718674,8
1684718704,8
1684718734,8
1684718764,8
1684718794,8
1684718824,8
1684718854,8
1684718884,8
1684718914,8
1684718944,8
1684718974,8
