t,value
1684699950,73728
1684699980,73728
1684700010,73728
1684700040,73728
1684700070,73728
1684700100,73728
1684700130,73728
1684700160,73728
1684700190,73728
1684700220,73728
1684700250,73728
1684700280,73728
1684700310,73728
1684700340,73728
1684700370,73728
1684700400,73728
1684700430,73728
1684700460,73728
1684700490,73728
1684700520,73728
1684700550,484210
1684700580,484210
1684700610,484210
1684700640,484210
1684700670,484210
1684700700,484210
1684700730,484210
1684700760,484210
1684700790,484210
1684700820,484210
1684700850,484210
1684700880,484210
1684700910,484210
1684700940,484210
1684700970,484210
1684701000,484210
1684701030,484210
1684701060,484210
1684701091,484210
1684701121,484210
1684701151,484210
1684701181,484210
1684701211,484210
1684701241,484210
1684701271,484210
1684701301,484210
1684701331,484210
1684701361,484210
1684701391,484210
1684701421,484210
1684701451,484210
1684701481,484210
1684701511,484210
1684701541,484210
1684701571,484210
1684701601,484210
1684701631,484210
1684701661,484210
1684701691,484210
1684701721,484210
1684701751,1303410
1684701781,1303410
1684701870,1311602
1684701900,1311602
1684701930,1311602
1684701960,1311602
1684701990,1311602
1684702020,1311602
1684702050,1311602
1684702080,1311602
1684702110,1311602
1684702140,1311602
1684702170,1311602
1684702200,1311602
1684703010,1327986
1684703040,1327986
1684703100,1327986
1684703130,1327986
1684703160,1327986
1684703190,1327986
1684703220,1327986
1684703250,1327986
1684703280,1327986
1684703310,1327986
1684703400,1327986
1684703430,1327986
1684703460,1327986
1684703490,1327986
1684703520,1327986
1684709640,1336178
1684709670,1336178
1684709700,1336178
1684709730,1336178
1684709760,1336178
1684709790,1336178
1684709820,1336178
1684709850,1336178
1684709880,1336178
1684709910,1336178
1684709940,1336178
1684709970,1336178
1684710000,1336178
1684710030,1336178
1684710060,1336178
1684710091,1336178
1684710121,1336178
1684710151,1336178
1684710181,1336178
1684710211,1336178
1684710241,1336178
1684710271,1336178
1684710301,1336178
1684710331,1336178
1684710361,1336178
1684710391,1336178
1684710421,1336178
1684710451,1336178
1684710481,1336178
1684710511,1336178
1684710541,1336178
1684710571,1336178
1684710601,1336178
1684710631,1336178
1684710661,1336178
1684710691,1336178
1684710721,1336178
1684710751,1336178
1684710781,1336178
1684710811,1336178
1684710841,1336178
1684710871,1336178
1684710901,1336178
1684710931,1336178
1684710961,1336178
1684710991,1336178
1684711021,1336178
1684711051,1336178
1684711081,1336178
1684711111,1336178
1684711141,1336178
1684711171,1336178
1684711201,1336178
1684711231,1336178
1684711261,1336178
1684711291,1336178
1684711321,1336178
1684711351,1336178
1684711381,1336178
1684711411,1336178
1684711441,1336178
1684711471,1336178
1684711501,1336178
1684711531,1336178
1684711561,1336178
1684711591,1336178
1684711621,1336178
1684711651,1336178
1684711681,1336178
1684711711,1336178
1684711741,1336178
1684711771,1336178
1684711801,1336178
1684711831,1336178
1684711861,1336178
1684711891,1336178
1684711921,1336178
1684711951,1336178
1684711981,1336178
1684712011,1336178
1684712041,1336178
1684712071,1336178
1684712101,1336178
1684712131,1336178
1684712161,1336178
1684712191,1336178
1684712221,1336178
1684712251,1336178
1684712281,1336178
1684712311,1336178
1684712341,1336178
1684712371,1336178
1684712401,1336178
1684712431,1336178
1684712461,1336178
1684712491,1336178
1684712521,1336178
1684712551,1336178
1684712581,1336178
1684712611,1336178
1684712641,1336178
1684712671,1336178
1684712701,1336178
1684712731,1336178
1684712761,1336178
1684712791,1336178
1684712821,1336178
1684712852,1336178
1684712882,1336178
1684712912,1336178
1684712942,1336178
1684712972,1336178
1684713002,1336178
1684713032,1336178
1684713062,1336178
1684713092,1336178
1684713122,1336178
1684713152,1336178
1684713182,1336178
1684713212,1336178
1684713242,1336178
1684713272,1336178
1684713302,1336178
1684713332,1336178
1684713362,1336178
1684713392,1336178
1684713422,1336178
1684713452,1336178
1684713482,1336178
1684713512,1336178
1684713542,1336178
1684713572,1336178
1684713602,1336178
1684713632,1336178
1684713662,1336178
1684713692,1336178
1684713722,1336178
1684713752,1336178
1684713782,1336178
1684713812,1336178
1684713842,1336178
1684713872,1336178
1684713902,1336178
1684713932,1336178
1684713962,1336178
1684713992,1336178
1684714022,1336178
1684714052,1336178
1684714082,1336178
1684714112,1336178
1684714142,1336178
1684714172,1336178
1684714202,1336178
1684714232,1336178
1684714262,1336178
1684714292,1336178
1684714322,1336178
1684714352,1336178
1684714382,1336178
1684714412,1336178
1684714442,1336178
1684714472,1336178
1684714502,1336178
1684714532,1336178
1684714562,1336178
1684714592,1336178
1684714622,1336178
1684714652,1336178
1684714682,1336178
1684714712,1336178
1684714742,1336178
1684714772,1336178
1684714802,1336178
1684714832,1336178
1684714862,1336178
1684714892,1336178
1684714922,1336178
1684714952,1336178
1684714982,1336178
1684715012,1336178
1684715042,1336178
1684715072,1336178
1684715102,1336178
1684715132,1336178
1684715162,1336178
1684715192,1336178
1684715222,1336178
1684715252,1336178
1684715282,1336178
1684715312,1336178
1684715342,1336178
1684715372,1336178
1684715402,1336178
1684715432,1336178
1684715462,1336178
1684715492,1336178
1684715522,1336178
1684715552,1336178
1684715582,1336178
1684715612,1336178
1684715642,1336178
1684715672,1336178
1684715702,1336178
1684715732,1336178
1684715762,1336178
1684715792,1336178
1684715823,1336178
1684715853,1336178
1684715883,1336178
1684715913,1336178
1684715943,1336178
1684715973,1336178
1684716003,1336178
1684716033,1336178
1684716063,1336178
1684716093,1336178
1684716123,1336178
1684716153,1336178
1684716183,1336178
1684716213,1336178
1684716243,1336178
1684716273,1336178
1684716303,1336178
1684716333,1336178
1684716363,1336178
1684716393,1336178
1684716423,1336178
1684716453,1336178
1684716483,1336178
1684716513,1336178
1684716543,1336178
1684716573,1336178
1684716603,1336178
1684716633,1336178
1684716663,1336178
1684716693,1336178
1684716723,1336178
1684716753,1336178
1684716783,1336178
1684716813,1336178
1684716843,1336178
1684716873,1336178
1684716903,1336178
1684716933,1336178
1684716963,1336178
1684716993,1336178
1684717023,1336178
1684717053,1336178
1684717083,1336178
1684717113,1336178
1684717143,1336178
1684717173,1336178
1684717203,1336178
1684717233,1336178
1684717263,1336178
1684717293,1336178
1684717323,1336178
1684717353,1336178
1684717383,1336178
1684717413,1336178
1684717443,1336178
1684717473,1336178
1684717503,1336178
1684717533,1336178
1684717563,1336178
1684717593,1336178
1684717623,1336178
1684717653,1336178
1684717683,1336178
1684717713,1336178
1684717743,1336178
1684717773,1336178
1684717803,1336178
1684717833,1336178
1684717863,1336178
1684717893,1336178
1684717923,1336178
1684717953,1336178
1684717983,1336178
1684718013,1336178
1684718043,1336178
1684718073,1336178
1684718103,1336178
1684718133,1336178
1684718163,1336178
1684718193,1336178
1684718223,1336178
1684718253,1336178
1684718283,1336178
1684718313,1336178
