t,value
1684699950,73728
1684699980,73728
1684700010,73728
1684700040,73728
1684700070,73728
1684700100,73728
1684700130,73728
1684700160,73728
1684700190,73728
1684700220,73728
1684700250,73728
1684700280,73728
1684700310,73728
1684700340,73728
1684700370,73728
1684700400,73728
1684700430,73728
1684700460,73728
1684700490,73728
1684700520,73728
1684700550,537148
1684700580,537148
1684700610,537148
1684700640,537148
1684700670,537148
1684700700,537148
1684700730,537148
1684700760,537148
1684700790,537148
1684700820,537148
1684700850,537148
1684700880,537148
1684700910,537148
1684700940,537148
1684700970,537148
1684701000,537148
1684701030,537148
1684701060,537148
1684701091,537148
1684701121,537148
1684701151,537148
1684701181,537148
1684701211,537148
1684701241,537148
1684701271,537148
1684701301,537148
1684701331,537148
1684701361,537148
1684701391,537148
1684701421,537148
1684701451,537148
1684701481,537148
1684701511,537148
1684701541,537148
1684701571,537148
1684701601,537148
1684701631,537148
1684701661,537148
1684701691,537148
1684701721,537148
1684701751,1356580
1684701781,1356580
1684701870,1365004
1684701900,1365004
1684701930,1365004
1684701960,1365004
1684701990,1365004
1684702020,1365004
1684702050,1365004
1684702080,1365004
1684702110,1365004
1684702140,1365004
1684702170,1365004
1684702200,1365004
1684703010,1381620
1684703040,1381620
1684703100,1381852
1684703130,1381852
1684703160,1381852
1684703190,1381852
1684703220,1381852
1684703250,1381852
1684703280,1381852
1684703310,1381852
1684703400,1382084
1684703430,1382084
1684703460,1382084
1684703490,1382084
1684703520,1382084
1684709640,1392607
1684709670,1392607
1684709700,1392607
1684709730,1392607
1684709760,1392607
1684709790,1392607
1684709820,1392607
1684709850,1392607
1684709880,1392607
1684709910,1392607
1684709940,1392607
1684709970,1392607
1684710000,1392607
1684710030,1392607
1684710060,1392607
1684710091,1392607
1684710121,1392607
1684710151,1392607
1684710181,1392607
1684710211,1392607
1684710241,1392607
1684710271,1392607
1684710301,1392607
1684710331,1392607
1684710361,1392607
1684710391,1392607
1684710421,1392607
1684710451,1392607
1684710481,1392607
1684710511,1392607
1684710541,1392607
1684710571,1392607
1684710601,1392607
1684710631,1392607
1684710661,1392607
1684710691,1392607
1684710721,1392607
1684710751,1392607
1684710781,1392607
1684710811,1392607
1684710841,1392607
1684710871,1392607
1684710901,1392607
1684710931,1392607
1684710961,1392607
1684710991,1392607
1684711021,1392607
1684711051,1392607
1684711081,1392607
1684711111,1392607
1684711141,1392607
1684711171,1392607
1684711201,1392607
1684711231,1392607
1684711261,1392607
1684711291,1392607
1684711321,1392607
1684711351,1392607
1684711381,1392607
1684711411,1392607
1684711441,1392607
1684711471,1392607
1684711501,1392607
1684711531,1392607
1684711561,1392607
1684711591,1392607
1684711621,1392607
1684711651,1392607
1684711681,1392607
1684711711,1392607
1684711741,1392607
1684711771,1392607
1684711801,1392607
1684711831,1392607
1684711861,1392607
1684711891,1392607
1684711921,1392607
1684711951,1392607
1684711981,1392607
1684712011,1392607
1684712041,1392607
1684712071,1392607
1684712101,1392607
1684712131,1392607
1684712161,1392607
1684712191,1392607
1684712221,1392607
1684712251,1392607
1684712281,1392607
1684712311,1392607
1684712341,1392607
1684712371,1392607
1684712401,1392607
1684712431,1392607
1684712461,1392607
1684712491,1392607
1684712521,1392607
1684712551,1392607
1684712581,1392607
1684712611,1392607
1684712641,1392607
1684712671,1392607
1684712701,1392607
1684712731,1392607
1684712761,1392607
1684712791,1392607
1684712821,1392607
1684712852,1392607
1684712882,1392607
1684712912,1392607
1684712942,1392607
1684712972,1392607
1684713002,1392607
1684713032,1392607
1684713062,1392607
1684713092,1392607
1684713122,1392607
1684713152,1392607
1684713182,1392607
1684713212,1392607
1684713242,1392607
1684713272,1392607
1684713302,1392607
1684713332,1392607
1684713362,1392607
1684713392,1392607
1684713422,1392607
1684713452,1392607
1684713482,1392607
1684713512,1392607
1684713542,1392607
1684713572,1392607
1684713602,1392607
1684713632,1392607
1684713662,1392607
1684713692,1392607
1684713722,1392607
1684713752,1392607
1684713782,1392607
1684713812,1392607
1684713842,1392607
1684713872,1392607
1684713902,1392607
1684713932,1392607
1684713962,1392607
1684713992,1392607
1684714022,1392607
1684714052,1392607
1684714082,1392607
1684714112,1392607
1684714142,1392607
1684714172,1392607
1684714202,1392607
1684714232,1392607
1684714262,1392607
1684714292,1392607
1684714322,1392607
1684714352,1392607
1684714382,1392607
1684714412,1392607
1684714442,1392607
1684714472,1392607
1684714502,1392607
1684714532,1392607
1684714562,1392607
1684714592,1392607
1684714622,1392607
1684714652,1392607
1684714682,1392607
1684714712,1392607
1684714742,1392607
1684714772,1392607
1684714802,1392607
1684714832,1392607
1684714862,1392607
1684714892,1392607
1684714922,1392607
1684714952,1392607
1684714982,1392607
1684715012,1392607
1684715042,1392607
1684715072,1392607
1684715102,1392607
1684715132,1392607
1684715162,1392607
1684715192,1392607
1684715222,1392607
1684715252,1392607
1684715282,1392607
1684715312,1392607
1684715342,1392607
1684715372,1392607
1684715402,1392607
1684715432,1392607
1684715462,1392607
1684715492,1392607
1684715522,1392607
1684715552,1392607
1684715582,1392607
1684715612,1392607
1684715642,1392607
1684715672,1392607
1684715702,1392607
1684715732,1392607
1684715762,1392607
1684715792,1392607
1684715823,1392607
1684715853,1392607
1684715883,1392607
1684715913,1392607
1684715943,1392607
1684715973,1392607
1684716003,1392607
1684716033,1392607
1684716063,1392607
1684716093,1392607
1684716123,1392607
1684716153,1392607
1684716183,1392607
1684716213,1392607
1684716243,1392607
1684716273,1392607
1684716303,1392607
1684716333,1392607
1684716363,1392607
1684716393,1392607
1684716423,1392607
1684716453,1392607
1684716483,1392607
1684716513,1392607
1684716543,1392607
1684716573,1392607
1684716603,1392607
1684716633,1392607
1684716663,1392607
1684716693,1392607
1684716723,1392607
1684716753,1392607
1684716783,1392607
1684716813,1392607
1684716843,1392607
1684716873,1392607
1684716903,1392607
1684716933,1392607
1684716963,1392607
1684716993,1392607
1684717023,1392607
1684717053,1392607
1684717083,1392607
1684717113,1392607
1684717143,1392607
1684717173,1392607
1684717203,1392607
1684717233,1392607
1684717263,1392607
1684717293,1392607
1684717323,1392607
1684717353,1392607
1684717383,1392607
1684717413,1392607
1684717443,1392607
1684717473,1392607
1684717503,1392607
1684717533,1392607
1684717563,1392607
1684717593,1392607
1684717623,1392607
1684717653,1392607
1684717683,1392607
1684717713,1392607
1684717743,1392607
1684717773,1392607
1684717803,1392607
1684717833,1392607
1684717863,1392607
1684717893,1392607
1684717923,1392607
1684717953,1392607
1684717983,1392607
1684718013,1392607
1684718043,1392607
1684718073,1392607
1684718103,1392607
1684718133,1392607
1684718163,1392607
1684718193,1392607
1684718223,1392607
1684718253,1392607
1684718283,1392607
1684718313,1392607
