t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,12,2.396379,0.000000,0.000000,0.000000,events/second
1684699980,31,0.882921,0.000000,0.000000,0.000000,events/second
1684700010,39,0.598784,0.000000,0.000000,0.000000,events/second
1684700040,55,0.578065,0.000000,0.000000,0.000000,events/second
1684700070,63,0.503331,0.000000,0.000000,0.000000,events/second
1684700100,79,0.509089,0.000000,0.000000,0.000000,events/second
1684700130,87,0.469756,0.000000,0.000000,0.000000,events/second
1684700160,103,0.478596,0.000000,0.000000,0.000000,events/second
1684700190,119,0.485268,0.000000,0.000000,0.000000,events/second
1684700220,135,0.490485,0.000000,0.000000,0.000000,events/second
1684700250,143,0.468465,0.000000,0.000000,0.000000,events/second
1684700280,159,0.474255,0.000000,0.000000,0.000000,events/second
1684700310,167,0.457180,0.000000,0.000000,0.000000,events/second
1684700340,183,0.462938,0.000000,0.000000,0.000000,events/second
1684700370,207,0.486698,0.000000,0.000000,0.000000,events/second
1684700400,223,0.489768,0.000000,0.000000,0.000000,events/second
1684700430,231,0.475963,0.000000,0.000000,0.000000,events/second
1684700460,247,0.479288,0.000000,0.000000,0.000000,events/second
1684700490,272,0.498753,0.000000,0.000000,0.000000,events/second
1684700520,288,0.500539,0.000000,0.000000,0.000000,events/second
1684700550,306,0.505459,0.000000,0.000000,0.000000,events/second
1684700580,314,0.494176,0.000000,0.000000,0.000000,events/second
1684700610,338,0.507955,0.000000,0.000000,0.000000,events/second
1684700640,346,0.497541,0.000000,0.000000,0.000000,events/second
1684700670,362,0.499011,0.000000,0.000000,0.000000,events/second
1684700700,378,0.500363,0.000000,0.000000,0.000000,events/second
1684700730,394,0.501609,0.000000,0.000000,0.000000,events/second
1684700760,402,0.492948,0.000000,0.000000,0.000000,events/second
1684700790,418,0.494369,0.000000,0.000000,0.000000,events/second
1684700820,426,0.486562,0.000000,0.000000,0.000000,events/second
1684700850,442,0.488104,0.000000,0.000000,0.000000,events/second
1684700880,450,0.480997,0.000000,0.000000,0.000000,events/second
1684700910,466,0.482616,0.000000,0.000000,0.000000,events/second
1684700940,466,0.468063,0.000000,0.000000,0.000000,events/second
1684700970,466,0.454362,0.000000,0.000000,0.000000,events/second
1684701000,466,0.441438,0.000000,0.000000,0.000000,events/second
1684701030,466,0.429233,0.000000,0.000000,0.000000,events/second
1684701060,466,0.417681,0.000000,0.000000,0.000000,events/second
1684701091,466,0.406725,0.000000,0.000000,0.000000,events/second
1684701121,466,0.396338,0.000000,0.000000,0.000000,events/second
1684701151,466,0.386474,0.000000,0.000000,0.000000,events/second
1684701181,466,0.377089,0.000000,0.000000,0.000000,events/second
1684701211,466,0.368145,0.000000,0.000000,0.000000,events/second
1684701241,466,0.359619,0.000000,0.000000,0.000000,events/second
1684701271,466,0.351478,0.000000,0.000000,0.000000,events/second
1684701301,466,0.343696,0.000000,0.000000,0.000000,events/second
1684701331,466,0.336253,0.000000,0.000000,0.000000,events/second
1684701361,466,0.329120,0.000000,0.000000,0.000000,events/second
1684701391,466,0.322284,0.000000,0.000000,0.000000,events/second
1684701421,466,0.315732,0.000000,0.000000,0.000000,events/second
1684701451,466,0.309438,0.000000,0.000000,0.000000,events/second
1684701481,466,0.303392,0.000000,0.000000,0.000000,events/second
1684701511,466,0.297573,0.000000,0.000000,0.000000,events/second
1684701541,466,0.291976,0.000000,0.000000,0.000000,events/second
1684701571,466,0.286587,0.000000,0.000000,0.000000,events/second
1684701601,466,0.281392,0.000000,0.000000,0.000000,events/second
1684701631,466,0.276383,0.000000,0.000000,0.000000,events/second
1684701661,466,0.271550,0.000000,0.000000,0.000000,events/second
1684701691,466,0.266882,0.000000,0.000000,0.000000,events/second
1684701721,466,0.262371,0.000000,0.000000,0.000000,events/second
1684701751,466,0.258010,0.000000,0.000000,0.000000,events/second
1684701781,466,0.253792,0.000000,0.000000,0.000000,events/second
1684701870,32,1.249534,0.000000,0.000000,0.000000,events/second
1684701900,48,0.860458,0.000000,0.000000,0.000000,events/second
1684701930,56,0.652717,0.000000,0.000000,0.000000,events/second
1684701960,56,0.483549,0.000000,0.000000,0.000000,events/second
1684701990,56,0.384015,0.000000,0.000000,0.000000,events/second
1684702020,56,0.318454,0.000000,0.000000,0.000000,events/second
1684702050,56,0.272032,0.000000,0.000000,0.000000,events/second
1684702080,56,0.237415,0.000000,0.000000,0.000000,events/second
1684702110,56,0.210612,0.000000,0.000000,0.000000,events/second
1684702140,56,0.189249,0.000000,0.000000,0.000000,events/second
1684702170,77,0.236258,0.000000,0.000000,0.000000,events/second
1684702200,97,0.272527,0.000000,0.000000,0.000000,events/second
1684703010,16,1.011699,0.000000,0.000000,0.000000,events/second
1684703040,26,0.564260,0.000000,0.000000,0.000000,events/second
1684703100,37,1.522729,0.000000,0.000000,0.000000,events/second
1684703130,55,1.010387,0.000000,0.000000,0.000000,events/second
1684703160,79,0.935463,0.000000,0.000000,0.000000,events/second
1684703190,95,0.829914,0.000000,0.000000,0.000000,events/second
1684703220,103,0.712897,0.000000,0.000000,0.000000,events/second
1684703250,119,0.681942,0.000000,0.000000,0.000000,events/second
1684703280,127,0.620984,0.000000,0.000000,0.000000,events/second
1684703310,143,0.609736,0.000000,0.000000,0.000000,events/second
1684703400,16,2.120613,0.000000,0.000000,0.000000,events/second
1684703430,41,1.085623,0.000000,0.000000,0.000000,events/second
1684703460,57,0.840361,0.000000,0.000000,0.000000,events/second
1684703490,73,0.746060,0.000000,0.000000,0.000000,events/second
1684703520,89,0.696054,0.000000,0.000000,0.000000,events/second
1684709640,44,1.968065,0.000000,0.000000,0.000000,events/second
1684709670,92,1.749895,0.000000,0.000000,0.000000,events/second
1684709700,108,1.307532,0.000000,0.000000,0.000000,events/second
1684709730,140,1.243211,0.000000,0.000000,0.000000,events/second
1684709760,156,1.093693,0.000000,0.000000,0.000000,events/second
1684709790,188,1.088868,0.000000,0.000000,0.000000,events/second
1684709820,204,1.006586,0.000000,0.000000,0.000000,events/second
1684709850,236,1.014245,0.000000,0.000000,0.000000,events/second
1684709880,252,0.959255,0.000000,0.000000,0.000000,events/second
1684709910,284,0.970199,0.000000,0.000000,0.000000,events/second
1684709940,300,0.929553,0.000000,0.000000,0.000000,events/second
1684709970,332,0.941181,0.000000,0.000000,0.000000,events/second
1684710000,348,0.909189,0.000000,0.000000,0.000000,events/second
1684710030,380,0.920604,0.000000,0.000000,0.000000,events/second
1684710060,396,0.894340,0.000000,0.000000,0.000000,events/second
1684710091,428,0.905246,0.000000,0.000000,0.000000,events/second
1684710121,444,0.883038,0.000000,0.000000,0.000000,events/second
1684710151,476,0.893367,0.000000,0.000000,0.000000,events/second
1684710181,492,0.874168,0.000000,0.000000,0.000000,events/second
1684710211,524,0.883893,0.000000,0.000000,0.000000,events/second
1684710241,541,0.868598,0.000000,0.000000,0.000000,events/second
1684710271,573,0.877693,0.000000,0.000000,0.000000,events/second
1684710301,589,0.862546,0.000000,0.000000,0.000000,events/second
1684710331,621,0.871132,0.000000,0.000000,0.000000,events/second
1684710361,637,0.857483,0.000000,0.000000,0.000000,events/second
1684710391,669,0.865597,0.000000,0.000000,0.000000,events/second
1684710421,685,0.853178,0.000000,0.000000,0.000000,events/second
1684710451,717,0.860854,0.000000,0.000000,0.000000,events/second
1684710481,733,0.849456,0.000000,0.000000,0.000000,events/second
1684710511,765,0.856730,0.000000,0.000000,0.000000,events/second
1684710541,781,0.846207,0.000000,0.000000,0.000000,events/second
1684710571,813,0.853136,0.000000,0.000000,0.000000,events/second
1684710601,829,0.843357,0.000000,0.000000,0.000000,events/second
1684710631,861,0.849955,0.000000,0.000000,0.000000,events/second
1684710661,877,0.840830,0.000000,0.000000,0.000000,events/second
1684710691,909,0.847134,0.000000,0.000000,0.000000,events/second
1684710721,925,0.838588,0.000000,0.000000,0.000000,events/second
1684710751,957,0.844617,0.000000,0.000000,0.000000,events/second
1684710781,973,0.836579,0.000000,0.000000,0.000000,events/second
1684710811,1005,0.842349,0.000000,0.000000,0.000000,events/second
1684710841,1022,0.835584,0.000000,0.000000,0.000000,events/second
1684710871,1054,0.841109,0.000000,0.000000,0.000000,events/second
1684710901,1070,0.833909,0.000000,0.000000,0.000000,events/second
1684710931,1102,0.839222,0.000000,0.000000,0.000000,events/second
1684710961,1118,0.832387,0.000000,0.000000,0.000000,events/second
1684710991,1150,0.837495,0.000000,0.000000,0.000000,events/second
1684711021,1166,0.830985,0.000000,0.000000,0.000000,events/second
1684711051,1198,0.835915,0.000000,0.000000,0.000000,events/second
1684711081,1214,0.829702,0.000000,0.000000,0.000000,events/second
1684711111,1246,0.834454,0.000000,0.000000,0.000000,events/second
1684711141,1262,0.828515,0.000000,0.000000,0.000000,events/second
1684711171,1294,0.833112,0.000000,0.000000,0.000000,events/second
1684711201,1310,0.827428,0.000000,0.000000,0.000000,events/second
1684711231,1342,0.831874,0.000000,0.000000,0.000000,events/second
1684711261,1358,0.826417,0.000000,0.000000,0.000000,events/second
1684711291,1390,0.830717,0.000000,0.000000,0.000000,events/second
1684711321,1406,0.825472,0.000000,0.000000,0.000000,events/second
1684711351,1438,0.829644,0.000000,0.000000,0.000000,events/second
1684711381,1454,0.824596,0.000000,0.000000,0.000000,events/second
1684711411,1486,0.828639,0.000000,0.000000,0.000000,events/second
1684711441,1503,0.824320,0.000000,0.000000,0.000000,events/second
1684711471,1535,0.828236,0.000000,0.000000,0.000000,events/second
1684711501,1551,0.823534,0.000000,0.000000,0.000000,events/second
1684711531,1583,0.827339,0.000000,0.000000,0.000000,events/second
1684711561,1599,0.822794,0.000000,0.000000,0.000000,events/second
1684711591,1631,0.826500,0.000000,0.000000,0.000000,events/second
1684711621,1647,0.822102,0.000000,0.000000,0.000000,events/second
1684711651,1679,0.825706,0.000000,0.000000,0.000000,events/second
1684711681,1695,0.821450,0.000000,0.000000,0.000000,events/second
1684711711,1727,0.824959,0.000000,0.000000,0.000000,events/second
1684711741,1743,0.820837,0.000000,0.000000,0.000000,events/second
1684711771,1775,0.824255,0.000000,0.000000,0.000000,events/second
1684711801,1791,0.820253,0.000000,0.000000,0.000000,events/second
1684711831,1823,0.823590,0.000000,0.000000,0.000000,events/second
1684711861,1839,0.819703,0.000000,0.000000,0.000000,events/second
1684711891,1871,0.822961,0.000000,0.000000,0.000000,events/second
1684711921,1887,0.819185,0.000000,0.000000,0.000000,events/second
1684711951,1919,0.822363,0.000000,0.000000,0.000000,events/second
1684711981,1935,0.818692,0.000000,0.000000,0.000000,events/second
1684712011,1967,0.821795,0.000000,0.000000,0.000000,events/second
1684712041,1984,0.818632,0.000000,0.000000,0.000000,events/second
1684712071,2016,0.821662,0.000000,0.000000,0.000000,events/second
1684712101,2032,0.818174,0.000000,0.000000,0.000000,events/second
1684712131,2064,0.821136,0.000000,0.000000,0.000000,events/second
1684712161,2080,0.817738,0.000000,0.000000,0.000000,events/second
1684712191,2112,0.820637,0.000000,0.000000,0.000000,events/second
1684712221,2128,0.817324,0.000000,0.000000,0.000000,events/second
1684712251,2160,0.820162,0.000000,0.000000,0.000000,events/second
1684712281,2176,0.816927,0.000000,0.000000,0.000000,events/second
1684712311,2208,0.819707,0.000000,0.000000,0.000000,events/second
1684712341,2224,0.816552,0.000000,0.000000,0.000000,events/second
1684712371,2256,0.819273,0.000000,0.000000,0.000000,events/second
1684712401,2272,0.816188,0.000000,0.000000,0.000000,events/second
1684712431,2304,0.818855,0.000000,0.000000,0.000000,events/second
1684712461,2320,0.815823,0.000000,0.000000,0.000000,events/second
1684712491,2352,0.818440,0.000000,0.000000,0.000000,events/second
1684712521,2368,0.815491,0.000000,0.000000,0.000000,events/second
1684712551,2400,0.818056,0.000000,0.000000,0.000000,events/second
1684712581,2416,0.815173,0.000000,0.000000,0.000000,events/second
1684712611,2448,0.817691,0.000000,0.000000,0.000000,events/second
1684712641,2465,0.815199,0.000000,0.000000,0.000000,events/second
1684712671,2497,0.817664,0.000000,0.000000,0.000000,events/second
1684712701,2513,0.814895,0.000000,0.000000,0.000000,events/second
