t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,84,16.752856,0.000000,0.000000,0.000000,events/second
1684699980,84,2.392595,0.000000,0.000000,0.000000,events/second
1684700010,84,1.289731,0.000000,0.000000,0.000000,events/second
1684700040,84,0.882887,0.000000,0.000000,0.000000,events/second
1684700070,84,0.671122,0.000000,0.000000,0.000000,events/second
1684700100,84,0.541319,0.000000,0.000000,0.000000,events/second
1684700130,84,0.453563,0.000000,0.000000,0.000000,events/second
1684700160,84,0.390315,0.000000,0.000000,0.000000,events/second
1684700190,84,0.342546,0.000000,0.000000,0.000000,events/second
1684700220,84,0.305194,0.000000,0.000000,0.000000,events/second
1684700250,84,0.275184,0.000000,0.000000,0.000000,events/second
1684700280,84,0.250551,0.000000,0.000000,0.000000,events/second
1684700310,84,0.229961,0.000000,0.000000,0.000000,events/second
1684700340,84,0.212498,0.000000,0.000000,0.000000,events/second
1684700370,84,0.197502,0.000000,0.000000,0.000000,events/second
1684700400,84,0.184487,0.000000,0.000000,0.000000,events/second
1684700430,84,0.173079,0.000000,0.000000,0.000000,events/second
1684700460,84,0.162998,0.000000,0.000000,0.000000,events/second
1684700490,84,0.154027,0.000000,0.000000,0.000000,events/second
1684700520,84,0.145991,0.000000,0.000000,0.000000,events/second
1684700550,84,0.138754,0.000000,0.000000,0.000000,events/second
1684700580,84,0.132200,0.000000,0.000000,0.000000,events/second
1684700610,84,0.126238,0.000000,0.000000,0.000000,events/second
1684700640,84,0.120791,0.000000,0.000000,0.000000,events/second
1684700670,84,0.115793,0.000000,0.000000,0.000000,events/second
1684700700,84,0.111192,0.000000,0.000000,0.000000,events/second
1684700730,84,0.106942,0.000000,0.000000,0.000000,events/second
1684700760,84,0.103004,0.000000,0.000000,0.000000,events/second
1684700790,84,0.099347,0.000000,0.000000,0.000000,events/second
1684700820,84,0.095942,0.000000,0.000000,0.000000,events/second
1684700850,84,0.092762,0.000000,0.000000,0.000000,events/second
1684700880,84,0.089786,0.000000,0.000000,0.000000,events/second
1684700910,84,0.086995,0.000000,0.000000,0.000000,events/second
1684700940,84,0.084372,0.000000,0.000000,0.000000,events/second
1684700970,84,0.081902,0.000000,0.000000,0.000000,events/second
1684701000,84,0.079573,0.000000,0.000000,0.000000,events/second
1684701030,84,0.077373,0.000000,0.000000,0.000000,events/second
1684701060,84,0.075290,0.000000,0.000000,0.000000,events/second
