t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,2,0.398102,0.000000,0.000000,0.000000,events/second
1684699980,4,0.113917,0.000000,0.000000,0.000000,events/second
1684700010,5,0.076764,0.000000,0.000000,0.000000,events/second
1684700040,5,0.052550,0.000000,0.000000,0.000000,events/second
1684700070,5,0.039946,0.000000,0.000000,0.000000,events/second
1684700100,5,0.032220,0.000000,0.000000,0.000000,events/second
1684700130,5,0.026997,0.000000,0.000000,0.000000,events/second
1684700160,5,0.023233,0.000000,0.000000,0.000000,events/second
1684700190,5,0.020389,0.000000,0.000000,0.000000,events/second
1684700220,5,0.018166,0.000000,0.000000,0.000000,events/second
1684700250,5,0.016380,0.000000,0.000000,0.000000,events/second
1684700280,5,0.014914,0.000000,0.000000,0.000000,events/second
1684700310,5,0.013688,0.000000,0.000000,0.000000,events/second
1684700340,5,0.012649,0.000000,0.000000,0.000000,events/second
1684700370,5,0.011756,0.000000,0.000000,0.000000,events/second
1684700400,5,0.010981,0.000000,0.000000,0.000000,events/second
1684700430,5,0.010302,0.000000,0.000000,0.000000,events/second
1684700460,5,0.009702,0.000000,0.000000,0.000000,events/second
1684700490,5,0.009168,0.000000,0.000000,0.000000,events/second
1684700520,5,0.008690,0.000000,0.000000,0.000000,events/second
1684700550,5,0.008259,0.000000,0.000000,0.000000,events/second
1684700580,5,0.007869,0.000000,0.000000,0.000000,events/second
1684700610,5,0.007514,0.000000,0.000000,0.000000,events/second
1684700640,5,0.007190,0.000000,0.000000,0.000000,events/second
1684700670,5,0.006892,0.000000,0.000000,0.000000,events/second
1684700700,5,0.006619,0.000000,0.000000,0.000000,events/second
1684700730,5,0.006366,0.000000,0.000000,0.000000,events/second
1684700760,5,0.006131,0.000000,0.000000,0.000000,events/second
1684700790,5,0.005913,0.000000,0.000000,0.000000,events/second
1684700820,5,0.005711,0.000000,0.000000,0.000000,events/second
1684700850,5,0.005522,0.000000,0.000000,0.000000,events/second
1684700880,5,0.005344,0.000000,0.000000,0.000000,events/second
1684700910,5,0.005178,0.000000,0.000000,0.000000,events/second
1684700940,5,0.005022,0.000000,0.000000,0.000000,events/second
1684700970,5,0.004875,0.000000,0.000000,0.000000,events/second
1684701000,5,0.004736,0.000000,0.000000,0.000000,events/second
1684701030,5,0.004605,0.000000,0.000000,0.000000,events/second
1684701060,5,0.004482,0.000000,0.000000,0.000000,events/second
1684701091,5,0.004364,0.000000,0.000000,0.000000,events/second
1684701121,5,0.004253,0.000000,0.000000,0.000000,events/second
1684701151,5,0.004147,0.000000,0.000000,0.000000,events/second
1684701181,5,0.004046,0.000000,0.000000,0.000000,events/second
1684701211,5,0.003950,0.000000,0.000000,0.000000,events/second
1684701241,5,0.003859,0.000000,0.000000,0.000000,events/second
1684701271,5,0.003771,0.000000,0.000000,0.000000,events/second
1684701301,5,0.003688,0.000000,0.000000,0.000000,events/second
1684701331,5,0.003608,0.000000,0.000000,0.000000,events/second
1684701361,5,0.003531,0.000000,0.000000,0.000000,events/second
1684701391,5,0.003458,0.000000,0.000000,0.000000,events/second
1684701421,5,0.003388,0.000000,0.000000,0.000000,events/second
1684701451,5,0.003320,0.000000,0.000000,0.000000,events/second
1684701481,5,0.003255,0.000000,0.000000,0.000000,events/second
1684701511,5,0.003193,0.000000,0.000000,0.000000,events/second
1684701541,5,0.003133,0.000000,0.000000,0.000000,events/second
1684701571,5,0.003075,0.000000,0.000000,0.000000,events/second
1684701601,5,0.003019,0.000000,0.000000,0.000000,events/second
1684701631,5,0.002965,0.000000,0.000000,0.000000,events/second
1684701661,5,0.002914,0.000000,0.000000,0.000000,events/second
1684701691,5,0.002864,0.000000,0.000000,0.000000,events/second
1684701721,5,0.002815,0.000000,0.000000,0.000000,events/second
1684701751,5,0.002768,0.000000,0.000000,0.000000,events/second
1684701781,5,0.002723,0.000000,0.000000,0.000000,events/second
1684701870,5,0.195020,0.000000,0.000000,0.000000,events/second
1684701900,5,0.089626,0.000000,0.000000,0.000000,events/second
1684701930,5,0.058277,0.000000,0.000000,0.000000,events/second
1684701960,5,0.043173,0.000000,0.000000,0.000000,events/second
1684701990,5,0.034286,0.000000,0.000000,0.000000,events/second
1684702020,5,0.028433,0.000000,0.000000,0.000000,events/second
1684702050,5,0.024288,0.000000,0.000000,0.000000,events/second
1684702080,5,0.021198,0.000000,0.000000,0.000000,events/second
1684702110,5,0.018804,0.000000,0.000000,0.000000,events/second
1684702140,5,0.016897,0.000000,0.000000,0.000000,events/second
1684702170,5,0.015341,0.000000,0.000000,0.000000,events/second
1684702200,5,0.014048,0.000000,0.000000,0.000000,events/second
1684703010,2,0.126221,0.000000,0.000000,0.000000,events/second
