t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,173,34.393661,0.000000,0.000000,0.000000,events/second
1684699980,176,5.012767,0.000000,0.000000,0.000000,events/second
1684700010,176,2.702208,0.000000,0.000000,0.000000,events/second
1684700040,176,1.849822,0.000000,0.000000,0.000000,events/second
1684700070,176,1.406138,0.000000,0.000000,0.000000,events/second
1684700100,176,1.134178,0.000000,0.000000,0.000000,events/second
1684700130,176,0.950313,0.000000,0.000000,0.000000,events/second
1684700160,176,0.817795,0.000000,0.000000,0.000000,events/second
1684700190,176,0.717710,0.000000,0.000000,0.000000,events/second
1684700220,176,0.639449,0.000000,0.000000,0.000000,events/second
1684700250,177,0.579849,0.000000,0.000000,0.000000,events/second
1684700280,177,0.527945,0.000000,0.000000,0.000000,events/second
1684700310,177,0.484558,0.000000,0.000000,0.000000,events/second
1684700340,177,0.447761,0.000000,0.000000,0.000000,events/second
1684700370,177,0.416163,0.000000,0.000000,0.000000,events/second
1684700400,177,0.388739,0.000000,0.000000,0.000000,events/second
1684700430,177,0.364700,0.000000,0.000000,0.000000,events/second
1684700460,177,0.343458,0.000000,0.000000,0.000000,events/second
1684700490,178,0.326390,0.000000,0.000000,0.000000,events/second
1684700520,178,0.309361,0.000000,0.000000,0.000000,events/second
1684700550,179,0.295678,0.000000,0.000000,0.000000,events/second
1684700580,179,0.281712,0.000000,0.000000,0.000000,events/second
1684700610,179,0.269006,0.000000,0.000000,0.000000,events/second
1684700640,179,0.257399,0.000000,0.000000,0.000000,events/second
1684700670,179,0.246749,0.000000,0.000000,0.000000,events/second
1684700700,179,0.236945,0.000000,0.000000,0.000000,events/second
1684700730,179,0.227889,0.000000,0.000000,0.000000,events/second
1684700760,179,0.219497,0.000000,0.000000,0.000000,events/second
1684700790,179,0.211704,0.000000,0.000000,0.000000,events/second
1684700820,179,0.204448,0.000000,0.000000,0.000000,events/second
1684700850,180,0.198776,0.000000,0.000000,0.000000,events/second
1684700880,180,0.192399,0.000000,0.000000,0.000000,events/second
1684700910,180,0.186419,0.000000,0.000000,0.000000,events/second
1684700940,180,0.180797,0.000000,0.000000,0.000000,events/second
1684700970,180,0.175505,0.000000,0.000000,0.000000,events/second
1684701000,180,0.170513,0.000000,0.000000,0.000000,events/second
1684701030,180,0.165798,0.000000,0.000000,0.000000,events/second
1684701060,180,0.161336,0.000000,0.000000,0.000000,events/second
1684701091,180,0.157104,0.000000,0.000000,0.000000,events/second
1684701121,180,0.153092,0.000000,0.000000,0.000000,events/second
1684701151,181,0.150111,0.000000,0.000000,0.000000,events/second
1684701181,181,0.146466,0.000000,0.000000,0.000000,events/second
1684701211,181,0.142992,0.000000,0.000000,0.000000,events/second
1684701241,181,0.139680,0.000000,0.000000,0.000000,events/second
1684701271,181,0.136518,0.000000,0.000000,0.000000,events/second
1684701301,181,0.133496,0.000000,0.000000,0.000000,events/second
1684701331,181,0.130605,0.000000,0.000000,0.000000,events/second
1684701361,181,0.127834,0.000000,0.000000,0.000000,events/second
1684701391,181,0.125179,0.000000,0.000000,0.000000,events/second
1684701421,181,0.122634,0.000000,0.000000,0.000000,events/second
1684701451,182,0.120854,0.000000,0.000000,0.000000,events/second
