t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1684703430,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1684703460,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1684703490,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1684703520,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1684709640,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709670,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709700,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709730,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709760,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709790,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709820,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709850,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709880,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709910,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709940,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684709970,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684710000,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684710030,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
1684710060,6,125,58.833333,28,39.014954,40.000000,97.250000,125.000000,125.000000,125.000000,125.000000
