t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684703430,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703460,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703490,0,0.000000,0.000000,0.000000,0.000000,events/second
1684703520,0,0.000000,0.000000,0.000000,0.000000,events/second
1684709640,6,0.272566,0.081217,0.019184,0.006575,events/second
1684709670,6,0.115038,0.049261,0.017358,0.006359,events/second
1684709700,6,0.073010,0.029878,0.015707,0.006151,events/second
1684709730,6,0.053478,0.018122,0.014212,0.005949,events/second
1684709760,6,0.042189,0.010992,0.012859,0.005754,events/second
1684709790,6,0.034835,0.006667,0.011636,0.005565,events/second
1684709820,6,0.029667,0.004044,0.010528,0.005383,events/second
1684709850,6,0.025832,0.002453,0.009526,0.005206,events/second
1684709880,6,0.022876,0.001488,0.008620,0.005036,events/second
1684709910,6,0.020526,0.000902,0.007800,0.004871,events/second
1684709940,6,0.018615,0.000547,0.007057,0.004711,events/second
1684709970,6,0.017029,0.000332,0.006386,0.004557,events/second
1684710000,6,0.015693,0.000201,0.005778,0.004407,events/second
1684710030,6,0.014551,0.000122,0.005228,0.004263,events/second
1684710060,6,0.013563,0.000074,0.004731,0.004123,events/second
1684710091,6,0.012702,0.000045,0.004281,0.003988,events/second
1684710121,6,0.011943,0.000027,0.003873,0.003857,events/second
1684710151,6,0.011270,0.000017,0.003505,0.003731,events/second
1684710181,6,0.010669,0.000010,0.003171,0.003608,events/second
1684710211,6,0.010128,0.000006,0.002869,0.003490,events/second
1684710241,6,0.009640,0.000004,0.002596,0.003376,events/second
1684710271,6,0.009196,0.000002,0.002349,0.003265,events/second
1684710301,6,0.008792,0.000001,0.002126,0.003158,events/second
1684710331,6,0.008422,0.000001,0.001923,0.003054,events/second
1684710361,6,0.008081,0.000000,0.001740,0.002954,events/second
1684710391,6,0.007767,0.000000,0.001575,0.002857,events/second
1684710421,6,0.007477,0.000000,0.001425,0.002764,events/second
1684710451,6,0.007207,0.000000,0.001289,0.002673,events/second
1684710481,6,0.006957,0.000000,0.001167,0.002585,events/second
1684710511,6,0.006723,0.000000,0.001056,0.002501,events/second
1684710541,6,0.006504,0.000000,0.000955,0.002419,events/second
