t,value
1684703430,73728
1684703460,73728
1684703490,73728
1684703520,73728
1684709640,872888
1684709670,872888
1684709700,872888
1684709730,872888
1684709760,872888
1684709790,872888
1684709820,872888
1684709850,872888
1684709880,872888
1684709910,872888
1684709940,872888
1684709970,872888
1684710000,872888
1684710030,872888
1684710060,872888
1684710091,872888
1684710121,872888
1684710151,872888
1684710181,872888
1684710211,872888
1684710241,872888
1684710271,872888
1684710301,872888
1684710331,872888
1684710361,872888
1684710391,872888
1684710421,872888
1684710451,872888
1684710481,872888
1684710511,872888
1684710541,872888
1684710571,872888
1684710601,872888
1684710631,872888
1684710661,872888
1684710691,872888
1684710721,872888
1684710751,872888
1684710781,872888
1684710811,872888
1684710841,872888
1684710871,872888
1684710901,872888
1684710931,872888
1684710961,872888
1684710991,872888
1684711021,872888
1684711051,872888
1684711081,872888
1684711111,872888
1684711141,872888
1684711171,872888
1684711201,872888
1684711231,872888
1684711261,872888
1684711291,872888
1684711321,872888
1684711351,872888
1684711381,872888
1684711411,872888
1684711441,872888
1684711471,872888
1684711501,872888
1684711531,872888
1684711561,872888
1684711591,872888
1684711621,872888
1684711651,872888
1684711681,872888
1684711711,872888
1684711741,872888
1684711771,872888
1684711801,872888
1684711831,872888
1684711861,872888
1684711891,872888
1684711921,872888
1684711951,872888
1684711981,872888
1684712011,872888
1684712041,872888
1684712071,872888
1684712101,872888
1684712131,872888
1684712161,872888
1684712191,872888
1684712221,872888
1684712251,872888
1684712281,872888
1684712311,872888
1684712341,872888
1684712371,872888
1684712401,872888
1684712431,872888
1684712461,872888
1684712491,872888
1684712521,872888
1684712551,872888
1684712581,872888
1684712611,872888
1684712641,872888
1684712671,872888
1684712701,872888
1684712731,872888
1684712761,872888
1684712791,872888
1684712821,872888
1684712852,872888
1684712882,872888
1684712912,872888
1684712942,872888
1684712972,872888
1684713002,872888
1684713032,872888
1684713062,872888
1684713092,872888
1684713122,872888
1684713152,872888
1684713182,872888
1684713212,872888
1684713242,872888
1684713272,872888
1684713302,872888
1684713332,872888
1684713362,872888
1684713392,872888
1684713422,872888
1684713452,872888
1684713482,872888
1684713512,872888
1684713542,872888
1684713572,872888
1684713602,872888
1684713632,872888
1684713662,872888
1684713692,872888
1684713722,872888
1684713752,872888
1684713782,872888
1684713812,872888
1684713842,872888
1684713872,872888
1684713902,872888
1684713932,872888
1684713962,872888
1684713992,872888
1684714022,872888
1684714052,872888
1684714082,872888
1684714112,872888
1684714142,872888
1684714172,872888
1684714202,872888
1684714232,872888
1684714262,872888
1684714292,872888
1684714322,872888
1684714352,872888
1684714382,872888
1684714412,872888
1684714442,872888
1684714472,872888
1684714502,872888
1684714532,872888
1684714562,872888
1684714592,872888
1684714622,872888
1684714652,872888
1684714682,872888
1684714712,872888
1684714742,872888
1684714772,872888
1684714802,872888
1684714832,872888
1684714862,872888
1684714892,872888
1684714922,872888
1684714952,872888
1684714982,872888
1684715012,872888
1684715042,872888
1684715072,872888
1684715102,872888
1684715132,872888
1684715162,872888
1684715192,872888
1684715222,872888
1684715252,872888
1684715282,872888
1684715312,872888
1684715342,872888
1684715372,872888
1684715402,872888
1684715432,872888
1684715462,872888
1684715492,872888
1684715522,872888
1684715552,872888
1684715582,872888
1684715612,872888
1684715642,872888
1684715672,872888
1684715702,872888
1684715732,872888
1684715762,872888
1684715792,872888
1684715823,872888
1684715853,872888
1684715883,872888
1684715913,872888
1684715943,872888
1684715973,872888
1684716003,872888
1684716033,872888
1684716063,872888
1684716093,872888
1684716123,872888
1684716153,872888
1684716183,872888
1684716213,872888
1684716243,872888
1684716273,872888
1684716303,872888
1684716333,872888
1684716363,872888
1684716393,872888
1684716423,872888
1684716453,872888
1684716483,872888
1684716513,872888
1684716543,872888
1684716573,872888
1684716603,872888
1684716633,872888
1684716663,872888
1684716693,872888
1684716723,872888
1684716753,872888
1684716783,872888
1684716813,872888
1684716843,872888
1684716873,872888
1684716903,872888
1684716933,872888
1684716963,872888
1684716993,872888
1684717023,872888
1684717053,872888
1684717083,872888
1684717113,872888
1684717143,872888
1684717173,872888
1684717203,872888
1684717233,872888
1684717263,872888
1684717293,872888
1684717323,872888
1684717353,872888
1684717383,872888
1684717413,872888
1684717443,872888
1684717473,872888
1684717503,872888
1684717533,872888
1684717563,872888
1684717593,872888
1684717623,872888
1684717653,872888
1684717683,872888
1684717713,872888
1684717743,872888
1684717773,872888
1684717803,872888
1684717833,872888
1684717863,872888
