t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,2,0.725074,0.000000,0.000000,0.000000,events/second
1684699980,17,0.517806,0.000000,0.000000,0.000000,events/second
1684700010,21,0.334116,0.000000,0.000000,0.000000,events/second
1684700040,29,0.312282,0.000000,0.000000,0.000000,events/second
1684700070,33,0.268542,0.000000,0.000000,0.000000,events/second
1684700100,41,0.268151,0.000000,0.000000,0.000000,events/second
1684700130,45,0.246006,0.000000,0.000000,0.000000,events/second
1684700160,53,0.248904,0.000000,0.000000,0.000000,events/second
1684700190,61,0.251086,0.000000,0.000000,0.000000,events/second
1684700220,69,0.252787,0.000000,0.000000,0.000000,events/second
1684700250,73,0.240946,0.000000,0.000000,0.000000,events/second
1684700280,81,0.243256,0.000000,0.000000,0.000000,events/second
1684700310,85,0.234158,0.000000,0.000000,0.000000,events/second
1684700340,93,0.236629,0.000000,0.000000,0.000000,events/second
1684700370,105,0.248207,0.000000,0.000000,0.000000,events/second
1684700400,113,0.249427,0.000000,0.000000,0.000000,events/second
1684700430,117,0.242211,0.000000,0.000000,0.000000,events/second
1684700460,129,0.251429,0.000000,0.000000,0.000000,events/second
1684700490,146,0.268837,0.000000,0.000000,0.000000,events/second
1684700520,154,0.268714,0.000000,0.000000,0.000000,events/second
1684700550,162,0.268608,0.000000,0.000000,0.000000,events/second
1684700580,166,0.262193,0.000000,0.000000,0.000000,events/second
1684700610,178,0.268423,0.000000,0.000000,0.000000,events/second
1684700640,182,0.262573,0.000000,0.000000,0.000000,events/second
1684700670,190,0.262738,0.000000,0.000000,0.000000,events/second
1684700700,198,0.262889,0.000000,0.000000,0.000000,events/second
1684700730,206,0.263026,0.000000,0.000000,0.000000,events/second
1684700760,210,0.258232,0.000000,0.000000,0.000000,events/second
1684700790,218,0.258526,0.000000,0.000000,0.000000,events/second
1684700820,222,0.254223,0.000000,0.000000,0.000000,events/second
1684700850,230,0.254632,0.000000,0.000000,0.000000,events/second
1684700880,234,0.250729,0.000000,0.000000,0.000000,events/second
1684700910,242,0.251223,0.000000,0.000000,0.000000,events/second
1684700940,246,0.247657,0.000000,0.000000,0.000000,events/second
1684700970,246,0.240391,0.000000,0.000000,0.000000,events/second
1684701000,246,0.233538,0.000000,0.000000,0.000000,events/second
1684701030,246,0.227068,0.000000,0.000000,0.000000,events/second
1684701060,246,0.220944,0.000000,0.000000,0.000000,events/second
1684701091,246,0.215137,0.000000,0.000000,0.000000,events/second
1684701121,246,0.209632,0.000000,0.000000,0.000000,events/second
1684701151,246,0.204405,0.000000,0.000000,0.000000,events/second
1684701181,246,0.199432,0.000000,0.000000,0.000000,events/second
1684701211,246,0.194693,0.000000,0.000000,0.000000,events/second
1684701241,246,0.190176,0.000000,0.000000,0.000000,events/second
1684701271,246,0.185864,0.000000,0.000000,0.000000,events/second
1684701301,246,0.181742,0.000000,0.000000,0.000000,events/second
1684701331,246,0.177799,0.000000,0.000000,0.000000,events/second
1684701361,246,0.174022,0.000000,0.000000,0.000000,events/second
1684701391,246,0.170402,0.000000,0.000000,0.000000,events/second
1684701421,246,0.166932,0.000000,0.000000,0.000000,events/second
1684701451,246,0.163599,0.000000,0.000000,0.000000,events/second
1684701481,246,0.160398,0.000000,0.000000,0.000000,events/second
1684701511,246,0.157317,0.000000,0.000000,0.000000,events/second
1684701541,246,0.154354,0.000000,0.000000,0.000000,events/second
1684701571,246,0.151501,0.000000,0.000000,0.000000,events/second
1684701601,246,0.148751,0.000000,0.000000,0.000000,events/second
1684701631,246,0.146099,0.000000,0.000000,0.000000,events/second
1684701661,246,0.143541,0.000000,0.000000,0.000000,events/second
1684701691,246,0.141071,0.000000,0.000000,0.000000,events/second
1684701721,246,0.138683,0.000000,0.000000,0.000000,events/second
1684701751,246,0.136375,0.000000,0.000000,0.000000,events/second
1684701781,246,0.134143,0.000000,0.000000,0.000000,events/second
