t,value
1684699950,-2
1684699980,2
1684700010,2
1684700040,2
1684700070,2
1684700100,2
1684700130,2
1684700160,2
1684700190,2
1684700220,2
1684700250,2
1684700280,2
1684700310,2
1684700340,2
1684700370,2
1684700400,2
1684700430,2
1684700460,-2
1684700490,2
1684700520,2
1684700550,2
1684700580,2
1684700610,2
1684700640,2
1684700670,2
1684700700,2
1684700730,2
1684700760,2
1684700790,2
1684700820,2
1684700850,2
1684700880,2
1684700910,2
1684700940,-2
1684700970,-2
1684701000,-2
1684701030,-2
1684701060,-2
1684701091,-2
1684701121,-2
1684701151,-2
1684701181,-2
1684701211,-2
1684701241,-2
1684701271,-2
1684701301,-2
1684701331,-2
1684701361,-2
1684701391,-2
1684701421,-2
1684701451,-2
1684701481,-2
1684701511,-2
1684701541,-2
1684701571,-2
1684701601,-2
1684701631,-2
1684701661,-2
1684701691,-2
1684701721,-2
1684701751,-2
1684701781,-2
1684701870,3
1684701900,3
1684701930,-2
1684701960,-2
1684701990,-2
1684702020,-2
1684702050,-2
1684702080,-2
1684702110,-2
1684702140,-2
1684702170,2
1684702200,-2
1684703010,-2
1684703040,-2
1684703100,2
1684703130,2
1684703160,2
1684703190,2
1684703220,2
1684703250,2
1684703280,2
1684703310,2
1684703340,-3
1684703400,-2
1684703430,2
1684703460,2
1684703490,2
1684703520,2
1684703550,-2
1684709640,4
1684709670,4
1684709700,4
1684709730,4
1684709760,4
1684709790,4
1684709820,4
1684709850,4
1684709880,4
1684709910,4
1684709940,4
1684709970,4
1684710000,4
1684710030,4
1684710060,4
1684710091,4
1684710121,4
1684710151,4
1684710181,4
1684710211,4
1684710241,4
1684710271,4
1684710301,4
1684710331,4
1684710361,4
1684710391,4
1684710421,4
1684710451,4
1684710481,4
1684710511,4
1684710541,4
1684710571,4
1684710601,4
1684710631,4
1684710661,4
1684710691,4
1684710721,4
1684710751,4
1684710781,4
1684710811,4
1684710841,4
1684710871,4
1684710901,4
1684710931,4
1684710961,4
1684710991,4
1684711021,4
1684711051,4
1684711081,4
1684711111,4
1684711141,4
1684711171,4
1684711201,4
1684711231,4
1684711261,4
1684711291,4
1684711321,4
1684711351,4
1684711381,4
1684711411,4
1684711441,4
1684711471,4
1684711501,4
1684711531,4
1684711561,4
1684711591,4
1684711621,4
1684711651,4
1684711681,4
1684711711,4
1684711741,4
1684711771,4
1684711801,4
1684711831,4
1684711861,4
1684711891,4
1684711921,4
1684711951,4
1684711981,4
1684712011,4
1684712041,4
1684712071,4
1684712101,4
1684712131,4
1684712161,4
1684712191,4
1684712221,4
1684712251,4
1684712281,4
1684712311,4
1684712341,4
1684712371,4
1684712401,4
1684712431,4
1684712461,4
1684712491,4
1684712521,4
1684712551,4
1684712581,4
1684712611,4
1684712641,4
1684712671,4
1684712701,4
1684712731,4
1684712761,4
1684712791,4
1684712821,4
1684712852,4
1684712882,4
1684712912,4
1684712942,4
1684712972,4
1684713002,4
1684713032,4
1684713062,4
1684713092,4
1684713122,4
1684713152,4
1684713182,4
1684713212,4
1684713242,6
1684713272,6
1684713302,6
1684713332,6
1684713362,6
1684713392,6
1684713422,6
1684713452,5
1684713482,6
1684713512,6
1684713542,6
1684713572,6
1684713602,6
1684713632,6
1684713662,6
1684713692,6
1684713722,6
1684713752,6
1684713782,6
1684713812,6
1684713842,6
1684713872,4
1684713902,6
1684713932,6
1684713962,6
1684713992,6
1684714022,6
1684714052,6
1684714082,6
1684714112,6
1684714142,6
1684714172,6
1684714202,6
1684714232,6
1684714262,6
1684714292,6
1684714322,6
1684714352,6
1684714382,6
1684714412,6
1684714442,6
1684714472,6
1684714502,6
1684714532,6
1684714562,6
1684714592,6
1684714622,6
1684714652,6
1684714682,6
1684714712,6
1684714742,6
1684714772,6
1684714802,6
1684714832,6
1684714862,6
1684714892,6
1684714922,6
1684714952,6
1684714982,6
1684715012,6
1684715042,6
1684715072,6
1684715102,6
1684715132,6
1684715162,6
1684715192,6
1684715222,6
1684715252,6
1684715282,6
1684715312,6
1684715342,6
1684715372,6
1684715402,6
1684715432,6
1684715462,6
1684715492,6
1684715522,6
1684715552,6
1684715582,6
1684715612,6
1684715642,6
1684715672,6
1684715702,6
1684715732,6
1684715762,6
1684715792,6
1684715823,6
1684715853,6
1684715883,6
1684715913,6
1684715943,6
1684715973,6
1684716003,6
1684716033,6
1684716063,6
1684716093,6
1684716123,6
1684716153,6
1684716183,6
1684716213,6
1684716243,6
1684716273,6
1684716303,6
1684716333,6
1684716363,6
1684716393,6
1684716423,6
1684716453,6
1684716483,6
1684716513,6
1684716543,6
1684716573,6
1684716603,6
1684716633,6
1684716663,6
1684716693,6
1684716723,6
1684716753,6
1684716783,6
1684716813,6
1684716843,6
1684716873,6
1684716903,6
1684716933,6
1684716963,6
1684716993,6
1684717023,6
1684717053,6
1684717083,6
1684717113,6
1684717143,6
1684717173,6
1684717203,6
1684717233,6
1684717263,6
1684717293,6
1684717323,6
1684717353,6
1684717383,6
1684717413,6
1684717443,6
1684717473,6
1684717503,6
1684717533,6
1684717563,6
1684717593,6
1684717623,6
1684717653,6
1684717683,6
1684717713,6
1684717743,6
1684717773,6
1684717803,6
1684717833,6
1684717863,6
1684717893,6
1684717923,6
1684717953,6
1684717983,6
1684718013,6
1684718043,6
1684718073,6
1684718103,6
1684718133,6
1684718163,6
1684718193,6
1684718223,6
1684718253,6
1684718283,6
1684718313,6
1684718343,6
1684718373,6
1684718403,6
1684718433,6
1684718463,6
1684718493,6
1684718524,6
1684718554,6
1684718584,6
1684718614,6
1684718644,6
1684718674,6
1684718704,6
1684718734,6
1684718764,6
1684718794,6
1684718824,6
1684718854,6
1684718884,6
1684718914,6
1684718944,6
1684718974,6
1684719004,6
1684719034,6
1684719064,6
1684719094,6
1684719124,6
1684719154,6
1684719184,6
1684719214,6
1684719244,6
1684719274,6
1684719304,6
1684719334,6
1684719364,6
1684719394,6
1684719424,6
1684719454,6
1684719484,6
1684719514,6
1684719544,6
1684719574,6
1684719604,6
1684719634,6
1684719664,6
1684719694,6
1684719724,6
1684719754,6
1684719784,6
1684719814,6
1684719844,6
1684719874,6
1684719904,6
1684719934,6
1684719964,6
1684719994,6
1684720024,6
1684720054,6
1684720084,6
1684720114,6
1684720144,6
1684720174,6
1684720204,6
1684720234,6
1684720264,6
1684720294,6
1684720324,6
1684720354,6
1684720384,6
1684720414,6
1684720444,7
1684720474,7
1684720504,7
1684720534,7
1684720564,7
1684720594,7
1684720624,7
1684720654,7
1684720684,7
1684720714,7
1684720744,7
1684720774,7
1684720804,7
1684720834,7
1684720864,7
1684720894,7
1684720924,7
1684720954,7
1684720984,7
1684721014,7
1684721044,7
1684721074,7
1684721104,7
1684721134,7
1684721164,7
1684721194,7
1684721224,7
1684721254,7
1684721285,7
1684721315,7
1684721345,7
1684721375,7
1684721405,7
1684721435,7
1684721465,7
1684721495,7
1684721525,7
1684721555,7
1684721585,7
1684721615,7
1684721645,7
1684721675,7
1684721705,7
1684721735,7
1684721765,7
1684721795,7
1684721825,7
1684721855,7
1684721885,7
1684721915,7
1684721945,7
1684721975,7
1684722005,7
1684722035,7
1684722065,7
1684722095,7
1684722125,7
1684722155,7
1684722185,7
1684722215,7
1684722245,7
1684722275,7
1684722305,7
1684722335,7
1684722365,7
1684722395,7
1684722425,7
1684722455,7
1684722485,7
1684722515,7
1684722545,7
1684722575,7
1684722605,6
1684722635,7
1684722665,7
1684722695,7
1684722725,7
1684722755,7
1684722785,7
1684722815,7
1684722845,7
1684722875,7
1684722905,7
1684722935,7
1684722965,5
1684722995,7
1684723025,7
1684723055,7
1684723085,7
1684723115,7
1684723145,7
1684723175,7
1684723205,7
1684723235,7
1684723265,7
1684723295,7
1684723325,7
1684723355,7
1684723385,7
1684723415,7
1684723445,7
1684723475,7
1684723505,7
1684723535,7
1684723565,7
1684723595,7
1684723625,7
1684723655,7
1684723686,7
1684723716,7
1684723746,7
1684723776,7
1684723806,7
1684723836,7
1684723866,7
1684723896,7
1684723926,7
1684723956,7
1684723986,7
1684724016,7
1684724046,7
1684724076,7
