t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,1,0.361751,0.000000,0.000000,0.000000,events/second
1684699980,19,0.578718,0.000000,0.000000,0.000000,events/second
1684700010,23,0.365935,0.000000,0.000000,0.000000,events/second
1684700040,31,0.333818,0.000000,0.000000,0.000000,events/second
1684700070,35,0.284816,0.000000,0.000000,0.000000,events/second
1684700100,43,0.281231,0.000000,0.000000,0.000000,events/second
1684700130,47,0.256939,0.000000,0.000000,0.000000,events/second
1684700160,55,0.258296,0.000000,0.000000,0.000000,events/second
1684700190,63,0.259318,0.000000,0.000000,0.000000,events/second
1684700220,71,0.260114,0.000000,0.000000,0.000000,events/second
1684700250,75,0.247547,0.000000,0.000000,0.000000,events/second
1684700280,83,0.249262,0.000000,0.000000,0.000000,events/second
1684700310,87,0.239668,0.000000,0.000000,0.000000,events/second
1684700340,95,0.241718,0.000000,0.000000,0.000000,events/second
1684700370,107,0.252934,0.000000,0.000000,0.000000,events/second
1684700400,115,0.253841,0.000000,0.000000,0.000000,events/second
1684700430,119,0.246351,0.000000,0.000000,0.000000,events/second
1684700460,127,0.247531,0.000000,0.000000,0.000000,events/second
1684700490,148,0.272520,0.000000,0.000000,0.000000,events/second
1684700520,156,0.272204,0.000000,0.000000,0.000000,events/second
1684700550,164,0.271924,0.000000,0.000000,0.000000,events/second
1684700580,168,0.265352,0.000000,0.000000,0.000000,events/second
1684700610,180,0.271439,0.000000,0.000000,0.000000,events/second
1684700640,184,0.265459,0.000000,0.000000,0.000000,events/second
1684700670,192,0.265503,0.000000,0.000000,0.000000,events/second
1684700700,200,0.265544,0.000000,0.000000,0.000000,events/second
1684700730,208,0.265580,0.000000,0.000000,0.000000,events/second
1684700760,212,0.260692,0.000000,0.000000,0.000000,events/second
1684700790,220,0.260898,0.000000,0.000000,0.000000,events/second
1684700820,224,0.256513,0.000000,0.000000,0.000000,events/second
1684700850,232,0.256846,0.000000,0.000000,0.000000,events/second
1684700880,236,0.252872,0.000000,0.000000,0.000000,events/second
1684700910,244,0.253299,0.000000,0.000000,0.000000,events/second
1684700940,244,0.245643,0.000000,0.000000,0.000000,events/second
1684700970,244,0.238437,0.000000,0.000000,0.000000,events/second
1684701000,244,0.231640,0.000000,0.000000,0.000000,events/second
1684701030,244,0.225222,0.000000,0.000000,0.000000,events/second
1684701060,244,0.219148,0.000000,0.000000,0.000000,events/second
1684701091,244,0.213388,0.000000,0.000000,0.000000,events/second
1684701121,244,0.207928,0.000000,0.000000,0.000000,events/second
1684701151,244,0.202743,0.000000,0.000000,0.000000,events/second
1684701181,244,0.197811,0.000000,0.000000,0.000000,events/second
1684701211,244,0.193110,0.000000,0.000000,0.000000,events/second
1684701241,244,0.188630,0.000000,0.000000,0.000000,events/second
1684701271,244,0.184353,0.000000,0.000000,0.000000,events/second
1684701301,244,0.180264,0.000000,0.000000,0.000000,events/second
1684701331,244,0.176354,0.000000,0.000000,0.000000,events/second
1684701361,244,0.172607,0.000000,0.000000,0.000000,events/second
1684701391,244,0.169016,0.000000,0.000000,0.000000,events/second
1684701421,244,0.165575,0.000000,0.000000,0.000000,events/second
1684701451,244,0.162269,0.000000,0.000000,0.000000,events/second
1684701481,244,0.159094,0.000000,0.000000,0.000000,events/second
1684701511,244,0.156038,0.000000,0.000000,0.000000,events/second
1684701541,244,0.153099,0.000000,0.000000,0.000000,events/second
1684701571,244,0.150269,0.000000,0.000000,0.000000,events/second
1684701601,244,0.147542,0.000000,0.000000,0.000000,events/second
1684701631,244,0.144912,0.000000,0.000000,0.000000,events/second
1684701661,244,0.142374,0.000000,0.000000,0.000000,events/second
1684701691,244,0.139924,0.000000,0.000000,0.000000,events/second
1684701721,244,0.137555,0.000000,0.000000,0.000000,events/second
1684701751,244,0.135266,0.000000,0.000000,0.000000,events/second
1684701781,244,0.133052,0.000000,0.000000,0.000000,events/second
