t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,2,0.721237,0.000000,0.000000,0.000000,events/second
1684699980,89,2.710891,0.000000,0.000000,0.000000,events/second
1684700010,117,1.861517,0.000000,0.000000,0.000000,events/second
1684700040,173,1.862936,0.000000,0.000000,0.000000,events/second
1684700070,201,1.635670,0.000000,0.000000,0.000000,events/second
1684700100,257,1.680852,0.000000,0.000000,0.000000,events/second
1684700130,285,1.558042,0.000000,0.000000,0.000000,events/second
1684700160,345,1.620226,0.000000,0.000000,0.000000,events/second
1684700190,417,1.716445,0.000000,0.000000,0.000000,events/second
1684700220,473,1.732876,0.000000,0.000000,0.000000,events/second
1684700250,501,1.653621,0.000000,0.000000,0.000000,events/second
1684700280,557,1.672763,0.000000,0.000000,0.000000,events/second
1684700310,585,1.611563,0.000000,0.000000,0.000000,events/second
1684700340,641,1.630961,0.000000,0.000000,0.000000,events/second
1684700370,741,1.751633,0.000000,0.000000,0.000000,events/second
1684700400,797,1.759235,0.000000,0.000000,0.000000,events/second
1684700430,825,1.707897,0.000000,0.000000,0.000000,events/second
1684700460,881,1.717127,0.000000,0.000000,0.000000,events/second
1684700490,979,1.802683,0.000000,0.000000,0.000000,events/second
1684700520,1043,1.819931,0.000000,0.000000,0.000000,events/second
1684700550,1111,1.842122,0.000000,0.000000,0.000000,events/second
1684700580,1151,1.817980,0.000000,0.000000,0.000000,events/second
1684700610,1247,1.880470,0.000000,0.000000,0.000000,events/second
1684700640,1275,1.839458,0.000000,0.000000,0.000000,events/second
1684700670,1331,1.840548,0.000000,0.000000,0.000000,events/second
1684700700,1395,1.852172,0.000000,0.000000,0.000000,events/second
1684700730,1451,1.852678,0.000000,0.000000,0.000000,events/second
1684700760,1479,1.818696,0.000000,0.000000,0.000000,events/second
1684700790,1535,1.820357,0.000000,0.000000,0.000000,events/second
1684700820,1563,1.789867,0.000000,0.000000,0.000000,events/second
1684700850,1619,1.792391,0.000000,0.000000,0.000000,events/second
1684700880,1647,1.764751,0.000000,0.000000,0.000000,events/second
1684700910,1703,1.767902,0.000000,0.000000,0.000000,events/second
1684700940,1703,1.714469,0.000000,0.000000,0.000000,events/second
1684700970,1703,1.664171,0.000000,0.000000,0.000000,events/second
1684701000,1703,1.616733,0.000000,0.000000,0.000000,events/second
1684701030,1703,1.571938,0.000000,0.000000,0.000000,events/second
1684701060,1703,1.529544,0.000000,0.000000,0.000000,events/second
1684701091,1703,1.489343,0.000000,0.000000,0.000000,events/second
1684701121,1703,1.451234,0.000000,0.000000,0.000000,events/second
1684701151,1703,1.415049,0.000000,0.000000,0.000000,events/second
1684701181,1703,1.380623,0.000000,0.000000,0.000000,events/second
1684701211,1703,1.347816,0.000000,0.000000,0.000000,events/second
1684701241,1703,1.316546,0.000000,0.000000,0.000000,events/second
1684701271,1703,1.286693,0.000000,0.000000,0.000000,events/second
1684701301,1703,1.258157,0.000000,0.000000,0.000000,events/second
1684701331,1703,1.230863,0.000000,0.000000,0.000000,events/second
1684701361,1703,1.204713,0.000000,0.000000,0.000000,events/second
1684701391,1703,1.179650,0.000000,0.000000,0.000000,events/second
1684701421,1703,1.155632,0.000000,0.000000,0.000000,events/second
1684701451,1703,1.132559,0.000000,0.000000,0.000000,events/second
1684701481,1703,1.110395,0.000000,0.000000,0.000000,events/second
1684701511,1703,1.089069,0.000000,0.000000,0.000000,events/second
1684701541,1703,1.068556,0.000000,0.000000,0.000000,events/second
1684701571,1703,1.048806,0.000000,0.000000,0.000000,events/second
