t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,2587,926.994506,0.000000,0.000000,0.000000,events/second
1684699980,2952,89.884217,0.000000,0.000000,0.000000,events/second
1684700010,3261,51.874181,0.000000,0.000000,0.000000,events/second
1684700040,3515,37.846238,0.000000,0.000000,0.000000,events/second
1684700070,3824,31.115459,0.000000,0.000000,0.000000,events/second
1684700100,4078,26.669248,0.000000,0.000000,0.000000,events/second
1684700130,4387,23.981322,0.000000,0.000000,0.000000,events/second
1684700160,4642,21.799048,0.000000,0.000000,0.000000,events/second
1684700190,5079,20.905061,0.000000,0.000000,0.000000,events/second
1684700220,5333,19.537075,0.000000,0.000000,0.000000,events/second
1684700250,5646,18.634704,0.000000,0.000000,0.000000,events/second
1684700280,5900,17.718063,0.000000,0.000000,0.000000,events/second
1684700310,6209,17.104060,0.000000,0.000000,0.000000,events/second
1684700340,6463,16.443981,0.000000,0.000000,0.000000,events/second
1684700370,7027,16.610513,0.000000,0.000000,0.000000,events/second
1684700400,7281,16.071095,0.000000,0.000000,0.000000,events/second
1684700430,7590,15.712280,0.000000,0.000000,0.000000,events/second
1684700460,7844,15.288126,0.000000,0.000000,0.000000,events/second
1684700490,8490,15.632744,0.000000,0.000000,0.000000,events/second
1684700520,8744,15.257099,0.000000,0.000000,0.000000,events/second
1684700550,9192,15.240736,0.000000,0.000000,0.000000,events/second
1684700580,9321,14.722049,0.000000,0.000000,0.000000,events/second
1684700610,9884,14.904763,0.000000,0.000000,0.000000,events/second
1684700640,10011,14.442747,0.000000,0.000000,0.000000,events/second
1684700670,10447,14.446203,0.000000,0.000000,0.000000,events/second
1684700700,10702,14.209064,0.000000,0.000000,0.000000,events/second
1684700730,11138,14.221101,0.000000,0.000000,0.000000,events/second
1684700760,11265,13.852142,0.000000,0.000000,0.000000,events/second
1684700790,11701,13.876031,0.000000,0.000000,0.000000,events/second
1684700820,11828,13.544633,0.000000,0.000000,0.000000,events/second
1684700850,12268,13.581699,0.000000,0.000000,0.000000,events/second
1684700880,12395,13.281006,0.000000,0.000000,0.000000,events/second
1684700910,12831,13.319832,0.000000,0.000000,0.000000,events/second
1684700940,12831,12.917261,0.000000,0.000000,0.000000,events/second
1684700970,13013,12.716158,0.000000,0.000000,0.000000,events/second
1684701000,13013,12.353678,0.000000,0.000000,0.000000,events/second
1684701030,13195,12.179384,0.000000,0.000000,0.000000,events/second
1684701060,13195,11.850923,0.000000,0.000000,0.000000,events/second
1684701091,13377,11.698618,0.000000,0.000000,0.000000,events/second
1684701121,13377,11.399274,0.000000,0.000000,0.000000,events/second
1684701151,13563,11.269599,0.000000,0.000000,0.000000,events/second
1684701181,13563,10.995430,0.000000,0.000000,0.000000,events/second
1684701211,13745,10.878194,0.000000,0.000000,0.000000,events/second
1684701241,13745,10.625817,0.000000,0.000000,0.000000,events/second
1684701271,13927,10.522377,0.000000,0.000000,0.000000,events/second
1684701301,13927,10.289018,0.000000,0.000000,0.000000,events/second
1684701331,14109,10.197362,0.000000,0.000000,0.000000,events/second
1684701361,14109,9.980710,0.000000,0.000000,0.000000,events/second
1684701391,14291,9.899148,0.000000,0.000000,0.000000,events/second
1684701421,14341,9.731525,0.000000,0.000000,0.000000,events/second
1684701451,14561,9.683535,0.000000,0.000000,0.000000,events/second
1684701481,14561,9.494037,0.000000,0.000000,0.000000,events/second
1684701511,14777,9.449823,0.000000,0.000000,0.000000,events/second
1684701541,14777,9.271840,0.000000,0.000000,0.000000,events/second
1684701571,14993,9.233493,0.000000,0.000000,0.000000,events/second
1684701601,14993,9.065893,0.000000,0.000000,0.000000,events/second
1684701631,15209,9.032562,0.000000,0.000000,0.000000,events/second
1684701661,15209,8.874400,0.000000,0.000000,0.000000,events/second
1684701691,15425,8.845526,0.000000,0.000000,0.000000,events/second
1684701721,15507,8.742048,0.000000,0.000000,0.000000,events/second
1684701751,15770,8.742342,0.000000,0.000000,0.000000,events/second
1684701781,15770,8.599255,0.000000,0.000000,0.000000,events/second
1684701870,8847,351.487239,0.000000,0.000000,0.000000,events/second
1684701900,9101,164.743197,0.000000,0.000000,0.000000,events/second
1684701930,9491,111.329069,0.000000,0.000000,0.000000,events/second
1684701960,9491,82.339217,0.000000,0.000000,0.000000,events/second
1684701990,9754,67.137255,0.000000,0.000000,0.000000,events/second
1684702020,9754,55.639893,0.000000,0.000000,0.000000,events/second
1684702050,10017,48.788499,0.000000,0.000000,0.000000,events/second
1684702080,10017,42.565708,0.000000,0.000000,0.000000,events/second
1684702110,10280,38.741610,0.000000,0.000000,0.000000,events/second
1684702140,10280,34.804532,0.000000,0.000000,0.000000,events/second
1684702170,10969,33.712201,0.000000,0.000000,0.000000,events/second
1684702200,11180,31.458872,0.000000,0.000000,0.000000,events/second
1684703010,1196,78.128968,0.000000,0.000000,0.000000,events/second
1684703040,1283,28.212377,0.000000,0.000000,0.000000,events/second
1684703100,8938,374.759215,0.000000,0.000000,0.000000,events/second
1684703130,9192,170.538572,0.000000,0.000000,0.000000,events/second
1684703160,9837,117.225343,0.000000,0.000000,0.000000,events/second
1684703190,10091,88.567979,0.000000,0.000000,0.000000,events/second
1684703220,10481,72.811872,0.000000,0.000000,0.000000,events/second
1684703250,10735,61.707220,0.000000,0.000000,0.000000,events/second
1684703280,11125,54.539840,0.000000,0.000000,0.000000,events/second
1684703310,11379,48.629654,0.000000,0.000000,0.000000,events/second
1684703340,12120,45.909721,0.000000,0.000000,0.000000,events/second
1684703400,1196,167.338907,0.000000,0.000000,0.000000,events/second
1684703430,9007,241.369349,0.000000,0.000000,0.000000,events/second
1684703460,9537,141.657211,0.000000,0.000000,0.000000,events/second
1684703490,9871,101.404088,0.000000,0.000000,0.000000,events/second
1684703520,10401,81.666603,0.000000,0.000000,0.000000,events/second
1684703550,11185,71.071828,0.000000,0.000000,0.000000,events/second
1684709640,16700,765.444018,0.000000,0.000000,0.000000,events/second
1684709670,17496,337.233733,0.000000,0.000000,0.000000,events/second
1684709700,18128,221.330161,0.000000,0.000000,0.000000,events/second
1684709730,18660,166.724124,0.000000,0.000000,0.000000,events/second
1684709760,19292,135.914856,0.000000,0.000000,0.000000,events/second
1684709790,19824,115.281065,0.000000,0.000000,0.000000,events/second
1684709820,20456,101.281822,0.000000,0.000000,0.000000,events/second
1684709850,20988,90.469037,0.000000,0.000000,0.000000,events/second
1684709880,21620,82.516011,0.000000,0.000000,0.000000,events/second
1684709910,22152,75.855484,0.000000,0.000000,0.000000,events/second
1684709940,22788,70.761101,0.000000,0.000000,0.000000,events/second
1684709970,23320,66.239819,0.000000,0.000000,0.000000,events/second
1684710000,23952,62.691037,0.000000,0.000000,0.000000,events/second
1684710030,24484,59.415635,0.000000,0.000000,0.000000,events/second
1684710060,25116,56.811944,0.000000,0.000000,0.000000,events/second
1684710091,25648,54.326864,0.000000,0.000000,0.000000,events/second
1684710121,26280,52.338548,0.000000,0.000000,0.000000,events/second
1684710151,26812,50.387013,0.000000,0.000000,0.000000,events/second
1684710181,27444,48.821759,0.000000,0.000000,0.000000,events/second
1684710211,27976,47.245763,0.000000,0.000000,0.000000,events/second
1684710241,28616,45.995475,0.000000,0.000000,0.000000,events/second
1684710271,29148,44.695001,0.000000,0.000000,0.000000,events/second
1684710301,29780,43.654948,0.000000,0.000000,0.000000,events/second
1684710331,30312,42.562779,0.000000,0.000000,0.000000,events/second
1684710361,30944,41.693529,0.000000,0.000000,0.000000,events/second
1684710391,31474,40.759781,0.000000,0.000000,0.000000,events/second
1684710421,32106,40.023037,0.000000,0.000000,0.000000,events/second
1684710451,32638,39.218930,0.000000,0.000000,0.000000,events/second
1684710481,33270,38.586820,0.000000,0.000000,0.000000,events/second
1684710511,33802,37.884608,0.000000,0.000000,0.000000,events/second
1684710541,34438,37.341341,0.000000,0.000000,0.000000,events/second
1684710571,34970,36.723139,0.000000,0.000000,0.000000,events/second
1684710601,35602,36.244178,0.000000,0.000000,0.000000,events/second
1684710631,36134,35.694913,0.000000,0.000000,0.000000,events/second
1684710661,36766,35.273125,0.000000,0.000000,0.000000,events/second
1684710691,37298,34.782019,0.000000,0.000000,0.000000,events/second
1684710721,37930,34.408281,0.000000,0.000000,0.000000,events/second
1684710751,38462,33.966138,0.000000,0.000000,0.000000,events/second
1684710781,39094,33.632844,0.000000,0.000000,0.000000,events/second
1684710811,39626,33.232184,0.000000,0.000000,0.000000,events/second
1684710841,40266,32.940052,0.000000,0.000000,0.000000,events/second
1684710871,40798,32.575522,0.000000,0.000000,0.000000,events/second
1684710901,41430,32.306131,0.000000,0.000000,0.000000,events/second
1684710931,41962,31.972841,0.000000,0.000000,0.000000,events/second
1684710961,42594,31.729007,0.000000,0.000000,0.000000,events/second
1684710991,43126,31.422685,0.000000,0.000000,0.000000,events/second
1684711021,43758,31.200902,0.000000,0.000000,0.000000,events/second
1684711051,44290,30.918710,0.000000,0.000000,0.000000,events/second
1684711081,44922,30.716282,0.000000,0.000000,0.000000,events/second
1684711111,45454,30.454995,0.000000,0.000000,0.000000,events/second
1684711141,46090,30.272341,0.000000,0.000000,0.000000,events/second
1684711171,46622,30.029925,0.000000,0.000000,0.000000,events/second
1684711201,47254,29.859852,0.000000,0.000000,0.000000,events/second
1684711231,47786,29.634150,0.000000,0.000000,0.000000,events/second
1684711261,48418,29.477425,0.000000,0.000000,0.000000,events/second
1684711291,48950,29.266541,0.000000,0.000000,0.000000,events/second
1684711321,49582,29.121792,0.000000,0.000000,0.000000,events/second
1684711351,50114,28.924513,0.000000,0.000000,0.000000,events/second
1684711381,50746,28.790541,0.000000,0.000000,0.000000,events/second
1684711411,51278,28.605224,0.000000,0.000000,0.000000,events/second
1684711441,51918,28.485202,0.000000,0.000000,0.000000,events/second
1684711471,52450,28.310926,0.000000,0.000000,0.000000,events/second
1684711501,53082,28.195327,0.000000,0.000000,0.000000,events/second
1684711531,53614,28.030999,0.000000,0.000000,0.000000,events/second
1684711561,54246,27.923235,0.000000,0.000000,0.000000,events/second
1684711591,54778,27.768196,0.000000,0.000000,0.000000,events/second
1684711621,55410,27.667537,0.000000,0.000000,0.000000,events/second
1684711651,55942,27.520796,0.000000,0.000000,0.000000,events/second
1684711681,56574,27.426740,0.000000,0.000000,0.000000,events/second
1684711711,57106,27.287612,0.000000,0.000000,0.000000,events/second
1684711741,57742,27.201534,0.000000,0.000000,0.000000,events/second
1684711771,58274,27.069354,0.000000,0.000000,0.000000,events/second
1684711801,58906,26.986720,0.000000,0.000000,0.000000,events/second
1684711831,59438,26.861153,0.000000,0.000000,0.000000,events/second
1684711861,60070,26.783472,0.000000,0.000000,0.000000,events/second
1684711891,60602,26.663975,0.000000,0.000000,0.000000,events/second
1684711921,61234,26.590933,0.000000,0.000000,0.000000,events/second
1684711951,61766,26.476898,0.000000,0.000000,0.000000,events/second
1684711981,62398,26.408148,0.000000,0.000000,0.000000,events/second
1684712011,62930,26.299233,0.000000,0.000000,0.000000,events/second
1684712041,63570,26.237564,0.000000,0.000000,0.000000,events/second
1684712071,64102,26.133481,0.000000,0.000000,0.000000,events/second
1684712101,64734,26.072089,0.000000,0.000000,0.000000,events/second
1684712131,65266,25.972412,0.000000,0.000000,0.000000,events/second
1684712161,65898,25.914419,0.000000,0.000000,0.000000,events/second
1684712191,66430,25.818947,0.000000,0.000000,0.000000,events/second
