t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,242,86.529502,0.000000,0.000000,0.000000,events/second
1684699980,242,7.368246,0.000000,0.000000,0.000000,events/second
1684700010,242,3.849527,0.000000,0.000000,0.000000,events/second
1684700040,242,2.605597,0.000000,0.000000,0.000000,events/second
1684700070,242,1.969107,0.000000,0.000000,0.000000,events/second
1684700100,242,1.582616,0.000000,0.000000,0.000000,events/second
1684700130,242,1.322872,0.000000,0.000000,0.000000,events/second
1684700160,242,1.136436,0.000000,0.000000,0.000000,events/second
1684700190,242,0.996062,0.000000,0.000000,0.000000,events/second
1684700220,242,0.886547,0.000000,0.000000,0.000000,events/second
1684700250,242,0.798721,0.000000,0.000000,0.000000,events/second
1684700280,242,0.726738,0.000000,0.000000,0.000000,events/second
1684700310,242,0.666640,0.000000,0.000000,0.000000,events/second
1684700340,242,0.615725,0.000000,0.000000,0.000000,events/second
1684700370,242,0.572041,0.000000,0.000000,0.000000,events/second
1684700400,242,0.534157,0.000000,0.000000,0.000000,events/second
1684700430,242,0.500970,0.000000,0.000000,0.000000,events/second
1684700460,242,0.471662,0.000000,0.000000,0.000000,events/second
1684700490,242,0.445597,0.000000,0.000000,0.000000,events/second
1684700520,242,0.422256,0.000000,0.000000,0.000000,events/second
1684700550,242,0.401246,0.000000,0.000000,0.000000,events/second
1684700580,242,0.382226,0.000000,0.000000,0.000000,events/second
1684700610,242,0.364928,0.000000,0.000000,0.000000,events/second
1684700640,242,0.349130,0.000000,0.000000,0.000000,events/second
1684700670,242,0.334639,0.000000,0.000000,0.000000,events/second
1684700700,242,0.321303,0.000000,0.000000,0.000000,events/second
1684700730,242,0.308987,0.000000,0.000000,0.000000,events/second
1684700760,242,0.297578,0.000000,0.000000,0.000000,events/second
1684700790,242,0.286984,0.000000,0.000000,0.000000,events/second
1684700820,242,0.277122,0.000000,0.000000,0.000000,events/second
1684700850,242,0.267914,0.000000,0.000000,0.000000,events/second
1684700880,242,0.259298,0.000000,0.000000,0.000000,events/second
1684700910,242,0.251219,0.000000,0.000000,0.000000,events/second
1684700940,242,0.243627,0.000000,0.000000,0.000000,events/second
1684700970,242,0.236479,0.000000,0.000000,0.000000,events/second
1684701000,242,0.229738,0.000000,0.000000,0.000000,events/second
1684701030,242,0.223373,0.000000,0.000000,0.000000,events/second
1684701060,242,0.217349,0.000000,0.000000,0.000000,events/second
1684701091,242,0.211637,0.000000,0.000000,0.000000,events/second
1684701121,242,0.206221,0.000000,0.000000,0.000000,events/second
1684701151,242,0.201079,0.000000,0.000000,0.000000,events/second
1684701181,242,0.196188,0.000000,0.000000,0.000000,events/second
1684701211,242,0.191526,0.000000,0.000000,0.000000,events/second
1684701241,242,0.187082,0.000000,0.000000,0.000000,events/second
1684701271,242,0.182840,0.000000,0.000000,0.000000,events/second
1684701301,242,0.178785,0.000000,0.000000,0.000000,events/second
1684701331,242,0.174907,0.000000,0.000000,0.000000,events/second
1684701361,242,0.171191,0.000000,0.000000,0.000000,events/second
1684701391,242,0.167629,0.000000,0.000000,0.000000,events/second
1684701421,276,0.187288,0.000000,0.000000,0.000000,events/second
1684701451,276,0.183549,0.000000,0.000000,0.000000,events/second
1684701481,276,0.179957,0.000000,0.000000,0.000000,events/second
1684701511,276,0.176501,0.000000,0.000000,0.000000,events/second
1684701541,276,0.173176,0.000000,0.000000,0.000000,events/second
1684701571,276,0.169975,0.000000,0.000000,0.000000,events/second
1684701601,276,0.166890,0.000000,0.000000,0.000000,events/second
1684701631,276,0.163915,0.000000,0.000000,0.000000,events/second
1684701661,276,0.161045,0.000000,0.000000,0.000000,events/second
1684701691,276,0.158273,0.000000,0.000000,0.000000,events/second
1684701721,319,0.179836,0.000000,0.000000,0.000000,events/second
1684701751,319,0.176842,0.000000,0.000000,0.000000,events/second
1684701781,319,0.173948,0.000000,0.000000,0.000000,events/second
1684701870,311,12.348472,0.000000,0.000000,0.000000,events/second
1684701900,311,5.629451,0.000000,0.000000,0.000000,events/second
1684701930,311,3.647952,0.000000,0.000000,0.000000,events/second
1684701960,311,2.698045,0.000000,0.000000,0.000000,events/second
1684701990,311,2.140605,0.000000,0.000000,0.000000,events/second
1684702020,311,1.774027,0.000000,0.000000,0.000000,events/second
1684702050,311,1.514736,0.000000,0.000000,0.000000,events/second
1684702080,311,1.321538,0.000000,0.000000,0.000000,events/second
1684702110,311,1.172040,0.000000,0.000000,0.000000,events/second
1684702140,311,1.052933,0.000000,0.000000,0.000000,events/second
1684702170,311,0.955825,0.000000,0.000000,0.000000,events/second
1684702200,311,0.875104,0.000000,0.000000,0.000000,events/second
1684703010,311,20.302152,0.000000,0.000000,0.000000,events/second
1684703040,311,6.838356,0.000000,0.000000,0.000000,events/second
1684703100,311,13.034540,0.000000,0.000000,0.000000,events/second
1684703130,311,5.769761,0.000000,0.000000,0.000000,events/second
1684703160,311,3.706036,0.000000,0.000000,0.000000,events/second
1684703190,311,2.729579,0.000000,0.000000,0.000000,events/second
