t,value
1684699950,9223372036854774631
1684699980,9223372036854770207
1684700010,9223372036854769503
1684700040,9223372036854767903
1684700070,9223372036854767071
1684700100,9223372036854765535
1684700130,9223372036854764703
1684700160,9223372036854763039
1684700190,9223372036854761055
1684700220,9223372036854759519
1684700250,9223372036854758687
1684700280,9223372036854757151
1684700310,9223372036854756383
1684700340,9223372036854754783
1684700370,9223372036854751967
1684700400,9223372036854750367
1684700430,9223372036854749599
1684700460,9223372036854775807
1684700490,9223372036854769503
1684700520,9223372036854767647
1684700550,9223372036854765791
1684700580,9223372036854764639
1684700610,9223372036854761951
1684700640,9223372036854761183
1684700670,9223372036854759583
1684700700,9223372036854757791
1684700730,9223372036854756191
1684700760,9223372036854755487
1684700790,9223372036854753887
1684700820,9223372036854753055
1684700850,9223372036854751519
1684700880,9223372036854750751
1684700910,9223372036854749215
1684700940,9223372036854775807
1684700970,9223372036854775807
1684701000,9223372036854775807
1684701030,9223372036854775807
1684701060,9223372036854775807
1684701091,9223372036854775807
1684701121,9223372036854775807
1684701151,9223372036854775807
1684701181,9223372036854775807
1684701211,9223372036854775807
1684701241,9223372036854775807
1684701271,9223372036854775807
1684701301,9223372036854775807
1684701331,9223372036854775807
1684701361,9223372036854775807
1684701391,9223372036854775807
1684701421,9223372036854775807
1684701451,9223372036854775807
1684701481,9223372036854775807
1684701511,9223372036854775807
1684701541,9223372036854775807
1684701571,9223372036854775807
1684701601,9223372036854775807
1684701631,9223372036854775807
1684701661,9223372036854775807
1684701691,9223372036854775807
1684701721,9223372036854775807
1684701751,9223372036854775807
1684701781,9223372036854775807
1684701870,9223372036854768903
1684701900,9223372036854767367
1684701930,9223372036854775807
1684701960,9223372036854775807
1684701990,9223372036854775807
1684702020,9223372036854775807
1684702050,9223372036854775807
1684702080,9223372036854775807
1684702110,9223372036854775807
1684702140,9223372036854775807
1684702170,9223372036854769503
1684702200,9223372036854774823
1684703010,9223372036854775807
1684703040,9223372036854774823
1684703100,9223372036854769887
1684703130,9223372036854767647
1684703160,9223372036854764767
1684703190,9223372036854763167
1684703220,9223372036854762399
1684703250,9223372036854760799
1684703280,9223372036854759967
1684703310,9223372036854758495
1684703340,9223372036854775807
1684703400,9223372036854775807
1684703430,9223372036854770207
1684703460,9223372036854768223
1684703490,9223372036854766623
1684703520,9223372036854764895
1684703550,9223372036854774823
1684709640,9223372036854767023
1684709670,9223372036854762287
1684709700,9223372036854760815
1684709730,9223372036854757615
1684709760,9223372036854756079
1684709790,9223372036854752879
1684709820,9223372036854751407
1684709850,9223372036854748143
1684709880,9223372036854746607
1684709910,9223372036854743535
1684709940,9223372036854741935
1684709970,9223372036854738799
1684710000,9223372036854737199
1684710030,9223372036854734063
1684710060,9223372036854732527
1684710091,9223372036854729391
1684710121,9223372036854727791
1684710151,9223372036854724655
1684710181,9223372036854723055
1684710211,9223372036854719919
1684710241,9223372036854718383
1684710271,9223372036854715247
1684710301,9223372036854713647
1684710331,9223372036854710575
1684710361,9223372036854708975
1684710391,9223372036854705967
1684710421,9223372036854704303
1684710451,9223372036854701231
1684710481,9223372036854699695
1684710511,9223372036854696559
1684710541,9223372036854694895
1684710571,9223372036854691823
1684710601,9223372036854690223
1684710631,9223372036854687151
1684710661,9223372036854685551
1684710691,9223372036854682415
1684710721,9223372036854680815
1684710751,9223372036854677679
1684710781,9223372036854676143
1684710811,9223372036854673007
1684710841,9223372036854671471
1684710871,9223372036854668335
1684710901,9223372036854666799
1684710931,9223372036854663663
1684710961,9223372036854662063
1684710991,9223372036854658991
1684711021,9223372036854657391
1684711051,9223372036854654191
1684711081,9223372036854652719
1684711111,9223372036854649583
1684711141,9223372036854647919
1684711171,9223372036854644847
1684711201,9223372036854643311
1684711231,9223372036854640175
1684711261,9223372036854638511
1684711291,9223372036854635439
1684711321,9223372036854633903
1684711351,9223372036854630703
1684711381,9223372036854629167
1684711411,9223372036854626031
1684711441,9223372036854624431
1684711471,9223372036854621295
1684711501,9223372036854619695
1684711531,9223372036854616559
1684711561,9223372036854615023
1684711591,9223372036854611823
1684711621,9223372036854610287
1684711651,9223372036854607215
1684711681,9223372036854605615
1684711711,9223372036854602479
1684711741,9223372036854600879
1684711771,9223372036854597743
1684711801,9223372036854596207
