t,value
1684699950,12584088
1684699980,67114464
1684700010,67115168
1684700040,67116768
1684700070,67117600
1684700100,67119136
1684700130,67119968
1684700160,67121632
1684700190,67123616
1684700220,67125152
1684700250,67125984
1684700280,67127520
1684700310,67128288
1684700340,67129888
1684700370,67132704
1684700400,67134304
1684700430,67135072
1684700460,67108864
1684700490,67115168
1684700520,67117024
1684700550,67118880
1684700580,67120032
1684700610,67122720
1684700640,67123488
1684700670,67125088
1684700700,67126880
1684700730,67128480
1684700760,67129184
1684700790,67130784
1684700820,67131616
1684700850,67133152
1684700880,67133920
1684700910,67135456
1684700940,67108864
1684700970,67108864
1684701000,67108864
1684701030,67108864
1684701060,67108864
1684701091,67108864
1684701121,67108864
1684701151,67108864
1684701181,67108864
1684701211,67108864
1684701241,67108864
1684701271,67108864
1684701301,67108864
1684701331,67108864
1684701361,67108864
1684701391,67108864
1684701421,67108864
1684701451,67108864
1684701481,67108864
1684701511,67108864
1684701541,67108864
1684701571,67108864
1684701601,67108864
1684701631,67108864
1684701661,67108864
1684701691,67108864
1684701721,67108864
1684701751,67108864
1684701781,67108864
1684701870,67115768
1684701900,67117304
1684701930,67108864
1684701960,67108864
1684701990,67108864
1684702020,67108864
1684702050,67108864
1684702080,67108864
1684702110,67108864
1684702140,67108864
1684702170,67115168
1684702200,67109848
1684703010,25165824
1684703040,41944024
1684703100,67114784
1684703130,67117024
1684703160,67119904
1684703190,67121504
1684703220,67122272
1684703250,67123872
1684703280,67124704
1684703310,67126176
1684703340,67108864
1684703400,25165824
1684703430,67114464
1684703460,67116448
1684703490,67118048
1684703520,67119776
1684703550,67109848
1684709640,67117648
1684709670,67122384
1684709700,67123856
1684709730,67127056
1684709760,67128592
1684709790,67131792
1684709820,67133264
1684709850,67136528
1684709880,67138064
1684709910,67141136
1684709940,67142736
1684709970,67145872
1684710000,67147472
1684710030,67150608
1684710060,67152144
1684710091,67155280
1684710121,67156880
1684710151,67160016
1684710181,67161616
1684710211,67164752
1684710241,67166288
1684710271,67169424
1684710301,67171024
1684710331,67174096
1684710361,67175696
1684710391,67178704
1684710421,67180368
1684710451,67183440
1684710481,67184976
1684710511,67188112
1684710541,67189776
1684710571,67192848
1684710601,67194448
1684710631,67197520
1684710661,67199120
1684710691,67202256
1684710721,67203856
1684710751,67206992
1684710781,67208528
1684710811,67211664
1684710841,67213200
1684710871,67216336
1684710901,67217872
1684710931,67221008
1684710961,67222608
1684710991,67225680
1684711021,67227280
1684711051,67230480
1684711081,67231952
1684711111,67235088
1684711141,67236752
1684711171,67239824
1684711201,67241360
1684711231,67244496
1684711261,67246160
1684711291,67249232
1684711321,67250768
1684711351,67253968
1684711381,67255504
1684711411,67258640
1684711441,67260240
1684711471,67263376
1684711501,67264976
1684711531,67268112
1684711561,67269648
1684711591,67272848
1684711621,67274384
1684711651,67277456
1684711681,67279056
1684711711,67282192
1684711741,67283792
1684711771,67286928
1684711801,67288464
1684711831,67291600
1684711861,67293200
1684711891,67296272
1684711921,67297808
1684711951,67301008
1684711981,67302544
1684712011,67305680
1684712041,67307280
1684712071,67310352
1684712101,67311952
1684712131,67315152
1684712161,67316688
1684712191,67319760
1684712221,67321360
1684712251,67324560
1684712281,67326032
1684712311,67329296
1684712341,67330768
1684712371,67333904
1684712401,67335504
1684712431,67338704
1684712461,67340176
1684712491,67343376
1684712521,67344848
1684712551,67347984
1684712581,67349648
1684712611,67352720
1684712641,67354320
1684712671,67357392
1684712701,67358992
1684712731,67362192
1684712761,67363664
1684712791,67366800
1684712821,67368400
1684712852,67371472
