t,value
1684699950,1176
1684699980,5600
1684700010,6304
1684700040,7904
1684700070,8736
1684700100,10272
1684700130,11104
1684700160,12768
1684700190,14752
1684700220,16288
1684700250,17120
1684700280,18656
1684700310,19424
1684700340,21024
1684700370,23840
1684700400,25440
1684700430,26208
1684700460,0
1684700490,6304
1684700520,8160
1684700550,10016
1684700580,11168
1684700610,13856
1684700640,14624
1684700670,16224
1684700700,18016
1684700730,19616
1684700760,20320
1684700790,21920
1684700820,22752
1684700850,24288
1684700880,25056
1684700910,26592
1684700940,0
1684700970,0
1684701000,0
1684701030,0
1684701060,0
1684701091,0
1684701121,0
1684701151,0
1684701181,0
1684701211,0
1684701241,0
1684701271,0
1684701301,0
1684701331,0
1684701361,0
1684701391,0
1684701421,0
1684701451,0
1684701481,0
1684701511,0
1684701541,0
1684701571,0
1684701601,0
1684701631,0
1684701661,0
1684701691,0
1684701721,0
1684701751,0
1684701781,0
1684701870,6904
1684701900,8440
1684701930,0
1684701960,0
1684701990,0
1684702020,0
1684702050,0
1684702080,0
1684702110,0
1684702140,0
1684702170,6304
1684702200,984
1684703010,0
1684703040,984
1684703100,5920
1684703130,8160
1684703160,11040
1684703190,12640
1684703220,13408
1684703250,15008
1684703280,15840
1684703310,17312
1684703340,0
1684703400,0
1684703430,5600
1684703460,7584
1684703490,9184
1684703520,10912
1684703550,984
1684709640,8784
1684709670,13520
1684709700,14992
1684709730,18192
1684709760,19728
1684709790,22928
1684709820,24400
1684709850,27664
1684709880,29200
1684709910,32272
1684709940,33872
1684709970,37008
1684710000,38608
1684710030,41744
1684710060,43280
1684710091,46416
1684710121,48016
1684710151,51152
1684710181,52752
1684710211,55888
1684710241,57424
1684710271,60560
1684710301,62160
1684710331,65232
1684710361,66832
1684710391,69840
1684710421,71504
1684710451,74576
1684710481,76112
1684710511,79248
1684710541,80912
1684710571,83984
1684710601,85584
1684710631,88656
1684710661,90256
1684710691,93392
1684710721,94992
1684710751,98128
1684710781,99664
1684710811,102800
1684710841,104336
1684710871,107472
1684710901,109008
1684710931,112144
1684710961,113744
1684710991,116816
1684711021,118416
1684711051,121616
1684711081,123088
1684711111,126224
1684711141,127888
1684711171,130960
1684711201,132496
1684711231,135632
1684711261,137296
1684711291,140368
1684711321,141904
1684711351,145104
1684711381,146640
1684711411,149776
1684711441,151376
1684711471,154512
1684711501,156112
1684711531,159248
1684711561,160784
1684711591,163984
1684711621,165520
1684711651,168592
1684711681,170192
1684711711,173328
1684711741,174928
1684711771,178064
1684711801,179600
1684711831,182736
1684711861,184336
1684711891,187408
1684711921,188944
1684711951,192144
1684711981,193680
1684712011,196816
1684712041,198416
1684712071,201488
1684712101,203088
1684712131,206288
1684712161,207824
1684712191,210896
1684712221,212496
1684712251,215696
1684712281,217168
1684712311,220432
1684712341,221904
1684712371,225040
1684712401,226640
1684712431,229840
1684712461,231312
1684712491,234512
1684712521,235984
1684712551,239120
1684712581,240784
1684712611,243856
1684712641,245456
1684712671,248528
1684712701,250128
1684712731,253328
1684712761,254800
1684712791,257936
1684712821,259536
1684712852,262608
1684712882,264208
1684712912,267472
1684712942,269008
1684712972,272144
1684713002,273744
1684713032,276816
1684713062,278416
1684713092,281488
1684713122,283024
1684713152,286224
1684713182,287760
1684713212,290896
1684713242,10048
1684713272,12800
1684713302,14400
1684713332,17472
1684713362,19072
1684713392,22208
1684713422,23808
1684713452,26944
1684713482,28608
1684713512,32424
1684713542,33216
1684713572,35968
1684713602,37952
1684713632,40640
1684713662,42624
1684713692,45376
1684713722,47296
1684713752,49984
1684713782,52096
1684713812,54720
1684713842,56768
1684713872,58880
1684713902,61504
1684713932,63232
1684713962,66176
1684713992,68032
1684714022,70848
1684714052,72704
1684714082,75584
1684714112,77376
1684714142,80256
1684714172,81984
1684714202,84928
1684714232,86528
1684714262,89664
1684714292,91264
1684714322,94336
1684714352,96000
1684714382,99136
1684714412,100672
1684714442,103808
1684714472,105344
1684714502,108480
1684714532,110080
1684714562,113216
1684714592,114816
1684714622,117888
1684714652,119488
1684714682,122560
1684714712,124160
1684714742,127360
1684714772,128960
1684714802,132032
1684714832,133632
1684714862,136768
1684714892,138304
1684714922,141440
1684714952,142976
1684714982,146112
1684715012,147648
1684715042,150848
1684715072,152448
1684715102,155520
1684715132,157056
1684715162,160192
1684715192,161792
1684715222,164992
1684715252,166592
1684715282,169600
1684715312,171200
1684715342,174336
1684715372,175872
1684715402,179072
1684715432,180608
1684715462,183744
1684715492,185344
1684715522,188416
