t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684699950,49,17.495888,0.000000,0.000000,0.000000,events/second
1684699980,360,10.962438,0.000000,0.000000,0.000000,events/second
1684700010,360,5.726962,0.000000,0.000000,0.000000,events/second
1684700040,360,3.876277,0.000000,0.000000,0.000000,events/second
1684700070,360,2.929355,0.000000,0.000000,0.000000,events/second
1684700100,360,2.354365,0.000000,0.000000,0.000000,events/second
1684700130,360,1.967956,0.000000,0.000000,0.000000,events/second
1684700160,388,1.822091,0.000000,0.000000,0.000000,events/second
1684700190,388,1.597022,0.000000,0.000000,0.000000,events/second
1684700220,388,1.421429,0.000000,0.000000,0.000000,events/second
1684700250,388,1.280614,0.000000,0.000000,0.000000,events/second
1684700280,388,1.165200,0.000000,0.000000,0.000000,events/second
1684700310,388,1.068841,0.000000,0.000000,0.000000,events/second
1684700340,388,0.987207,0.000000,0.000000,0.000000,events/second
1684700370,388,0.917167,0.000000,0.000000,0.000000,events/second
1684700400,388,0.856425,0.000000,0.000000,0.000000,events/second
1684700430,388,0.803216,0.000000,0.000000,0.000000,events/second
1684700460,388,0.756225,0.000000,0.000000,0.000000,events/second
1684700490,388,0.714434,0.000000,0.000000,0.000000,events/second
1684700520,388,0.677012,0.000000,0.000000,0.000000,events/second
1684700550,388,0.643324,0.000000,0.000000,0.000000,events/second
1684700580,397,0.627045,0.000000,0.000000,0.000000,events/second
1684700610,397,0.598667,0.000000,0.000000,0.000000,events/second
1684700640,397,0.572750,0.000000,0.000000,0.000000,events/second
1684700670,397,0.548978,0.000000,0.000000,0.000000,events/second
1684700700,397,0.527100,0.000000,0.000000,0.000000,events/second
1684700730,397,0.506895,0.000000,0.000000,0.000000,events/second
1684700760,397,0.488178,0.000000,0.000000,0.000000,events/second
1684700790,397,0.470798,0.000000,0.000000,0.000000,events/second
1684700820,397,0.454620,0.000000,0.000000,0.000000,events/second
1684700850,397,0.439514,0.000000,0.000000,0.000000,events/second
1684700880,397,0.425379,0.000000,0.000000,0.000000,events/second
1684700910,397,0.412126,0.000000,0.000000,0.000000,events/second
1684700940,397,0.399670,0.000000,0.000000,0.000000,events/second
1684700970,397,0.387945,0.000000,0.000000,0.000000,events/second
1684701000,397,0.376887,0.000000,0.000000,0.000000,events/second
1684701030,397,0.366444,0.000000,0.000000,0.000000,events/second
1684701060,397,0.356562,0.000000,0.000000,0.000000,events/second
1684701091,397,0.347190,0.000000,0.000000,0.000000,events/second
1684701121,397,0.338306,0.000000,0.000000,0.000000,events/second
1684701151,397,0.329871,0.000000,0.000000,0.000000,events/second
1684701181,397,0.321846,0.000000,0.000000,0.000000,events/second
1684701211,397,0.314198,0.000000,0.000000,0.000000,events/second
1684701241,397,0.306909,0.000000,0.000000,0.000000,events/second
1684701271,397,0.299949,0.000000,0.000000,0.000000,events/second
1684701301,397,0.293297,0.000000,0.000000,0.000000,events/second
1684701331,397,0.286935,0.000000,0.000000,0.000000,events/second
1684701361,397,0.280839,0.000000,0.000000,0.000000,events/second
1684701391,397,0.274996,0.000000,0.000000,0.000000,events/second
1684701421,397,0.269397,0.000000,0.000000,0.000000,events/second
1684701451,397,0.264018,0.000000,0.000000,0.000000,events/second
1684701481,397,0.258852,0.000000,0.000000,0.000000,events/second
1684701511,397,0.253880,0.000000,0.000000,0.000000,events/second
1684701541,397,0.249098,0.000000,0.000000,0.000000,events/second
1684701571,397,0.244494,0.000000,0.000000,0.000000,events/second
1684701601,397,0.240056,0.000000,0.000000,0.000000,events/second
1684701631,397,0.235777,0.000000,0.000000,0.000000,events/second
1684701661,397,0.231649,0.000000,0.000000,0.000000,events/second
1684701691,397,0.227662,0.000000,0.000000,0.000000,events/second
1684701721,597,0.336558,0.000000,0.000000,0.000000,events/second
1684701751,597,0.330957,0.000000,0.000000,0.000000,events/second
1684701781,597,0.325540,0.000000,0.000000,0.000000,events/second
1684701870,210,8.335326,0.000000,0.000000,0.000000,events/second
1684701900,210,3.801666,0.000000,0.000000,0.000000,events/second
1684701930,210,2.463433,0.000000,0.000000,0.000000,events/second
