t,value
1684699950,74448896
1684699980,74448896
1684700010,74448896
1684700040,74448896
1684700070,74448896
1684700100,74448896
1684700130,74448896
1684700160,74448896
1684700190,74448896
1684700220,74448896
1684700250,74448896
1684700280,74448896
1684700310,74448896
1684700340,74448896
1684700370,74448896
1684700400,74448896
1684700430,74448896
1684700460,74448896
1684700490,74448896
1684700520,74448896
1684700550,74448896
1684700580,74448896
1684700610,74448896
1684700640,74448896
1684700670,74448896
1684700700,74448896
1684700730,74448896
1684700760,74448896
1684700790,74448896
1684700820,74448896
1684700850,74448896
1684700880,74448896
1684700910,74448896
1684700940,74448896
1684700970,74448896
1684701000,74448896
1684701030,74448896
1684701060,74448896
1684701091,74448896
1684701121,74448896
1684701151,74448896
1684701181,74448896
1684701211,74448896
1684701241,74448896
1684701271,74448896
1684701301,74448896
1684701331,74448896
1684701361,74448896
1684701391,74448896
1684701421,74448896
1684701451,74448896
1684701481,74448896
1684701511,74448896
1684701541,74448896
1684701571,74448896
1684701601,74448896
1684701631,74448896
1684701661,74448896
1684701691,74448896
1684701721,74448896
1684701751,74448896
1684701781,74448896
1684701870,285866680
1684701900,285866680
1684701930,285866680
1684701960,285866680
1684701990,285866680
1684702020,285866680
1684702050,285866680
1684702080,285866680
1684702110,285866680
1684702140,285866680
1684702170,285866680
1684702200,285866680
1684703010,284357600
1684703040,284357600
1684703100,280825344
1684703130,280825344
1684703160,280825344
1684703190,280825344
1684703220,280825344
1684703250,280825344
1684703280,280825344
1684703310,280825344
1684703340,280825344
1684703400,241371080
1684703430,241371080
1684703460,241371080
1684703490,241371080
1684703520,241371080
1684703550,241371080
1684709640,289741448
1684709670,289741448
1684709700,289741448
1684709730,289741448
1684709760,289741448
1684709790,289741448
1684709820,289741448
1684709850,289741448
1684709880,289741448
1684709910,289741448
1684709940,289741448
1684709970,289741448
1684710000,289741448
1684710030,289741448
1684710060,289741448
1684710091,289741448
1684710121,289741448
1684710151,289741448
1684710181,289741448
1684710211,289741448
1684710241,289741448
1684710271,289741448
1684710301,289741448
1684710331,289741448
1684710361,289741448
1684710391,289741448
1684710421,289741448
1684710451,289741448
1684710481,289741448
1684710511,289741448
1684710541,289741448
1684710571,289741448
1684710601,289741448
1684710631,289741448
1684710661,289741448
1684710691,289741448
1684710721,289741448
1684710751,289741448
1684710781,289741448
1684710811,289741448
1684710841,289741448
1684710871,289741448
1684710901,289741448
1684710931,289741448
1684710961,289741448
1684710991,289741448
1684711021,289741448
1684711051,289741448
1684711081,289741448
1684711111,289741448
1684711141,289741448
1684711171,289741448
1684711201,289741448
1684711231,289741448
1684711261,289741448
1684711291,289741448
1684711321,289741448
1684711351,289741448
1684711381,289741448
1684711411,289741448
1684711441,289741448
1684711471,289741448
1684711501,289741448
1684711531,289741448
1684711561,289741448
1684711591,289741448
1684711621,289741448
1684711651,289741448
1684711681,289741448
1684711711,289741448
1684711741,289741448
1684711771,289741448
1684711801,289741448
1684711831,289741448
1684711861,289741448
1684711891,289741448
1684711921,289741448
1684711951,289741448
1684711981,289741448
1684712011,289741448
1684712041,289741448
1684712071,289741448
1684712101,289741448
1684712131,289741448
1684712161,289741448
1684712191,289741448
1684712221,289741448
1684712251,289741448
1684712281,289741448
1684712311,289741448
1684712341,289741448
1684712371,289741448
1684712401,289741448
1684712431,289741448
1684712461,289741448
1684712491,289741448
1684712521,289741448
1684712551,289741448
1684712581,289741448
1684712611,289741448
1684712641,289741448
1684712671,289741448
1684712701,289741448
1684712731,289741448
1684712761,289741448
1684712791,289741448
1684712821,289741448
1684712852,289741448
1684712882,289741448
1684712912,289741448
1684712942,289741448
1684712972,289741448
1684713002,289741448
1684713032,289741448
1684713062,289741448
1684713092,289741448
1684713122,289741448
1684713152,289741448
1684713182,289741448
1684713212,289741448
1684713242,289741448
1684713272,289741448
1684713302,289741448
1684713332,289741448
1684713362,289741448
1684713392,289741448
1684713422,289741448
1684713452,289741448
1684713482,289741448
1684713512,289741448
1684713542,289741448
1684713572,289741448
1684713602,289741448
1684713632,289741448
1684713662,289741448
1684713692,289741448
1684713722,289741448
1684713752,289741448
1684713782,289741448
1684713812,289741448
1684713842,289741448
1684713872,289741448
1684713902,289741448
1684713932,289741448
1684713962,289741448
1684713992,289741448
1684714022,289741448
1684714052,289741448
1684714082,289741448
