t,value
1684699950,724
1684699980,724
1684700010,596
1684700040,596
1684700070,596
1684700100,596
1684700130,596
1684700160,596
1684700190,596
1684700220,596
1684700250,596
1684700280,596
1684700310,596
1684700340,596
1684700370,596
1684700400,596
1684700430,596
1684700460,596
1684700490,596
1684700520,596
1684700550,596
1684700580,596
1684700610,596
1684700640,596
1684700670,596
1684700700,596
1684700730,596
1684700760,596
1684700790,596
1684700820,596
1684700850,596
1684700880,596
1684700910,596
1684700940,596
1684700970,596
1684701000,596
1684701030,596
1684701060,596
1684701091,596
1684701121,596
1684701151,596
1684701181,596
1684701211,596
1684701241,596
1684701271,596
1684701301,596
1684701331,596
1684701361,596
1684701391,596
1684701421,596
1684701451,596
1684701481,596
1684701511,596
1684701541,596
1684701571,596
1684701601,596
1684701631,596
1684701661,596
1684701691,596
1684701721,596
1684701751,596
1684701781,596
1684701870,725
1684701900,725
1684701930,596
1684701960,596
1684701990,596
1684702020,596
1684702050,596
1684702080,596
1684702110,596
1684702140,596
1684702170,596
1684702200,17
1684703010,725
1684703040,146
1684703100,725
1684703130,725
1684703160,596
1684703190,596
1684703220,596
1684703250,596
1684703280,596
1684703310,596
1684703340,1
1684703400,725
1684703430,725
1684703460,725
1684703490,596
1684703520,596
1684703550,17
1684709640,854
1684709670,854
1684709700,596
1684709730,596
1684709760,596
1684709790,596
1684709820,596
1684709850,596
1684709880,596
1684709910,596
1684709940,596
1684709970,596
1684710000,596
1684710030,596
1684710060,596
1684710091,596
1684710121,596
1684710151,596
1684710181,596
1684710211,596
1684710241,596
1684710271,596
1684710301,596
1684710331,596
1684710361,596
1684710391,596
1684710421,596
1684710451,596
1684710481,596
1684710511,596
1684710541,596
1684710571,596
1684710601,596
1684710631,596
1684710661,596
1684710691,596
1684710721,596
1684710751,596
1684710781,596
1684710811,596
1684710841,596
1684710871,596
1684710901,596
1684710931,596
1684710961,596
1684710991,596
1684711021,596
1684711051,596
1684711081,596
1684711111,596
1684711141,596
1684711171,596
1684711201,596
1684711231,596
1684711261,596
1684711291,596
1684711321,596
1684711351,596
1684711381,596
1684711411,596
1684711441,596
1684711471,596
1684711501,596
1684711531,596
1684711561,596
