t,value
1684699950,153092096
1684699980,154140672
1684700010,174063616
1684700040,189792256
1684700070,202375168
1684700100,248512512
1684700130,267386880
1684700160,4194304
1684700190,70254592
1684700220,83886080
1684700250,96468992
1684700280,110100480
1684700310,121634816
1684700340,136314880
1684700370,184549376
1684700400,198180864
1684700430,209715200
1684700460,223346688
1684700490,245366784
1684700520,260046848
1684700550,281018368
1684700580,16777216
1684700610,48234496
1684700640,55574528
1684700670,73400320
1684700700,110100480
1684700730,127926272
1684700760,135266304
1684700790,154140672
1684700820,161480704
1684700850,178257920
1684700880,185597952
1684700910,203423744
1684700940,204472320
1684700970,209715200
1684701000,211812352
1684701030,217055232
1684701060,218103808
1684701091,223346688
1684701121,224395264
1684701151,230686720
1684701181,232783872
1684701211,238026752
1684701241,239075328
1684701271,244318208
1684701301,245366784
1684701331,250609664
1684701361,251658240
1684701391,256901120
1684701421,266338304
1684701451,271581184
1684701481,272629760
1684701511,277872640
1684701541,278921216
1684701571,284164096
1684701601,286261248
1684701631,291504128
1684701661,293601280
1684701691,297795584
1684701721,0
1684701751,7340032
1684701781,8388608
1684701870,187695104
1684701900,209715200
1684701930,235929600
1684701960,236978176
1684701990,243269632
1684702020,244318208
1684702050,250609664
1684702080,251658240
1684702110,256901120
1684702140,258998272
1684702170,2097152
1684702200,46137344
1684703010,0
1684703040,36700160
1684703100,101711872
1684703130,131072000
1684703160,225443840
1684703190,243269632
1684703220,257949696
1684703250,291504128
1684703280,3145728
1684703310,18874368
1684703340,93323264
1684703400,1048576
1684703430,253755392
1684703460,3145728
1684703490,26214400
1684703520,106954752
1684703550,207618048
1684709640,139460608
1684709670,219152384
1684709700,269484032
1684709730,24117248
1684709760,47185920
1684709790,74448896
1684709820,94371840
1684709850,120586240
1684709880,141557760
1684709910,167772160
1684709940,187695104
1684709970,213909504
1684710000,233832448
1684710030,260046848
1684710060,278921216
1684710091,6291456
1684710121,27262976
1684710151,53477376
1684710181,73400320
1684710211,99614720
1684710241,120586240
1684710271,146800640
1684710301,166723584
1684710331,191889408
1684710361,210763776
1684710391,235929600
1684710421,255852544
1684710451,283115520
1684710481,3145728
1684710511,29360128
1684710541,50331648
1684710571,76546048
1684710601,95420416
1684710631,121634816
1684710661,139460608
1684710691,165675008
1684710721,184549376
1684710751,210763776
1684710781,229638144
1684710811,255852544
1684710841,275775488
1684710871,2097152
1684710901,22020096
1684710931,48234496
1684710961,67108864
1684710991,93323264
1684711021,112197632
1684711051,138412032
1684711081,155189248
1684711111,181403648
1684711141,200278016
1684711171,226492416
1684711201,244318208
1684711231,270532608
1684711261,289406976
1684711291,17825792
1684711321,37748736
1684711351,62914560
1684711381,82837504
1684711411,108003328
1684711441,126877696
1684711471,153092096
1684711501,173015040
1684711531,198180864
1684711561,216006656
1684711591,242221056
1684711621,260046848
1684711651,286261248
1684711681,3145728
1684711711,30408704
1684711741,48234496
1684711771,74448896
1684711801,93323264
1684711831,119537664
1684711861,137363456
1684711891,163577856
1684711921,183500800
1684711951,208666624
1684711981,227540992
1684712011,252706816
1684712041,271581184
1684712071,297795584
1684712101,15728640
1684712131,41943040
1684712161,60817408
1684712191,85983232
1684712221,105906176
1684712251,131072000
1684712281,149946368
1684712311,175112192
1684712341,192937984
1684712371,219152384
1684712401,238026752
1684712431,263192576
1684712461,283115520
1684712491,7340032
1684712521,27262976
1684712551,51380224
1684712581,71303168
1684712611,96468992
1684712641,115343360
1684712671,141557760
1684712701,160432128
1684712731,186646528
1684712761,205520896
1684712791,230686720
1684712821,248512512
1684712852,274726912
1684712882,292552704
1684712912,19922944
1684712942,38797312
1684712972,63963136
1684713002,82837504
1684713032,108003328
1684713062,126877696
1684713092,153092096
1684713122,171966464
1684713152,197132288
1684713182,214958080
1684713212,241172480
1684713242,263192576
1684713272,288358400
1684713302,5242880
1684713332,31457280
1684713362,49283072
1684713392,75497472
1684713422,93323264
1684713452,119537664
1684713482,139460608
1684713512,164626432
1684713542,183500800
1684713572,206569472
1684713602,227540992
1684713632,250609664
1684713662,271581184
1684713692,294649856
1684713722,17825792
1684713752,40894464
1684713782,60817408
1684713812,84934656
1684713842,106954752
1684713872,124780544
1684713902,150994944
1684713932,165675008
1684713962,195035136
1684713992,209715200
1684714022,239075328
1684714052,253755392
1684714082,285212672
1684714112,297795584
1684714142,22020096
1684714172,35651584
1684714202,66060288
1684714232,79691776
1684714262,110100480
1684714292,123731968
1684714322,155189248
1684714352,168820736
1684714382,199229440
1684714412,211812352
1684714442,244318208
1684714472,257949696
1684714502,288358400
1684714532,300941312
1684714562,23068672
1684714592,36700160
1684714622,67108864
1684714652,80740352
1684714682,111149056
1684714712,124780544
1684714742,157286400
1684714772,169869312
1684714802,200278016
1684714832,213909504
1684714862,244318208
1684714892,257949696
1684714922,288358400
1684714952,303038464
1684714982,23068672
1684715012,36700160
1684715042,68157440
1684715072,80740352
1684715102,112197632
1684715132,125829120
1684715162,156237824
1684715192,169869312
1684715222,200278016
1684715252,213909504
1684715282,244318208
1684715312,257949696
1684715342,289406976
1684715372,303038464
1684715402,23068672
1684715432,36700160
1684715462,67108864
1684715492,81788928
1684715522,111149056
1684715552,125829120
1684715582,156237824
1684715612,169869312
1684715642,201326592
1684715672,214958080
1684715702,244318208
1684715732,258998272
1684715762,289406976
1684715792,303038464
1684715823,23068672
1684715853,36700160
1684715883,67108864
1684715913,80740352
1684715943,111149056
1684715973,125829120
1684716003,156237824
1684716033,169869312
1684716063,200278016
1684716093,212860928
1684716123,243269632
1684716153,257949696
1684716183,288358400
1684716213,301989888
1684716243,17825792
1684716273,31457280
1684716303,61865984
1684716333,75497472
1684716363,105906176
1684716393,119537664
1684716423,149946368
1684716453,164626432
1684716483,195035136
1684716513,207618048
1684716543,238026752
1684716573,252706816
1684716603,282066944
1684716633,296747008
1684716663,8388608
1684716693,23068672
1684716723,53477376
1684716753,67108864
1684716783,97517568
1684716813,111149056
1684716843,142606336
1684716873,157286400
1684716903,187695104
1684716933,200278016
1684716963,232783872
1684716993,246415360
1684717023,275775488
1684717053,289406976
1684717083,2097152
1684717113,15728640
1684717143,47185920
1684717173,59768832
1684717203,91226112
1684717233,104857600
1684717263,136314880
1684717293,149946368
1684717323,179306496
1684717353,192937984
1684717383,224395264
1684717413,238026752
1684717443,269484032
1684717473,282066944
1684717503,313524224
1684717533,9437184
1684717563,39845888
1684717593,53477376
1684717623,84934656
1684717653,97517568
1684717683,127926272
1684717713,141557760
1684717743,171966464
1684717773,185597952
1684717803,217055232
1684717833,230686720
1684717863,261095424
1684717893,274726912
1684717923,304087040
1684717953,0
1684717983,31457280
