t,value
1684699950,17825792
1684699980,65659392
1684700010,65659392
1684700040,65659392
1684700070,65659392
1684700100,65659392
1684700130,65659392
1684700160,65659392
1684700190,65659392
1684700220,65659392
1684700250,65659392
1684700280,65659392
1684700310,65659392
1684700340,65659392
1684700370,65659392
1684700400,65659392
1684700430,65659392
1684700460,65659392
1684700490,65659392
1684700520,65659392
1684700550,65659392
1684700580,65659392
1684700610,65659392
1684700640,65659392
1684700670,65659392
1684700700,65659392
1684700730,65659392
1684700760,65659392
1684700790,65659392
1684700820,65659392
1684700850,65659392
1684700880,65659392
1684700910,65659392
1684700940,65659392
1684700970,65659392
1684701000,65659392
1684701030,65659392
1684701060,65659392
1684701091,65659392
1684701121,65659392
1684701151,65659392
1684701181,65659392
1684701211,65659392
1684701241,65659392
1684701271,65659392
1684701301,65659392
1684701331,65659392
1684701361,65659392
1684701391,65659392
1684701421,65659392
1684701451,65659392
1684701481,65659392
1684701511,65659392
1684701541,65659392
1684701571,65659392
1684701601,65659392
1684701631,65659392
1684701661,65659392
1684701691,65659392
1684701721,65659392
1684701751,65659392
1684701781,65659392
1684701870,74448896
1684701900,74448896
1684701930,74448896
1684701960,74448896
1684701990,74448896
1684702020,74448896
1684702050,74448896
1684702080,74448896
1684702110,74448896
1684702140,74448896
1684702170,74448896
1684702200,74448896
1684703010,37757440
1684703040,37757440
1684703100,54414336
1684703130,54414336
1684703160,54414336
1684703190,54414336
1684703220,54414336
1684703250,54414336
1684703280,54414336
1684703310,54414336
1684703340,54414336
1684703400,56465920
1684703430,64965632
1684703460,64965632
1684703490,64965632
1684703520,64965632
1684703550,64965632
1684709640,56896512
1684709670,56896512
1684709700,56896512
1684709730,61065728
1684709760,61065728
1684709790,61065728
1684709820,61065728
1684709850,61065728
1684709880,61065728
1684709910,61065728
1684709940,61065728
1684709970,61065728
1684710000,61065728
1684710030,61065728
1684710060,61065728
1684710091,61065728
1684710121,61065728
1684710151,61065728
1684710181,61065728
1684710211,61065728
1684710241,61065728
1684710271,61065728
1684710301,61065728
1684710331,61065728
1684710361,61065728
1684710391,61065728
1684710421,61065728
1684710451,61065728
1684710481,61065728
1684710511,61065728
1684710541,61065728
1684710571,61065728
1684710601,61065728
1684710631,61065728
1684710661,61065728
1684710691,61065728
1684710721,61065728
1684710751,61065728
1684710781,61065728
1684710811,61065728
1684710841,61065728
1684710871,61065728
1684710901,61065728
1684710931,61065728
1684710961,61065728
1684710991,61065728
1684711021,61065728
1684711051,61065728
1684711081,61065728
1684711111,61065728
1684711141,61065728
1684711171,61065728
1684711201,61065728
1684711231,61065728
1684711261,61065728
1684711291,61065728
1684711321,61065728
1684711351,61065728
1684711381,61065728
1684711411,61065728
1684711441,61065728
1684711471,61065728
1684711501,61065728
1684711531,61065728
1684711561,61065728
1684711591,61065728
1684711621,61065728
1684711651,61065728
1684711681,61065728
1684711711,61065728
1684711741,61065728
1684711771,61065728
1684711801,61065728
1684711831,61065728
1684711861,61065728
1684711891,61065728
1684711921,61065728
1684711951,61065728
1684711981,61065728
1684712011,61065728
1684712041,61065728
1684712071,61065728
1684712101,61065728
1684712131,61065728
1684712161,61065728
1684712191,61065728
1684712221,61065728
1684712251,61065728
1684712281,61065728
1684712311,61065728
1684712341,61065728
1684712371,61065728
1684712401,61065728
1684712431,61065728
1684712461,61065728
1684712491,61065728
1684712521,61065728
1684712551,61065728
1684712581,61065728
1684712611,61065728
1684712641,61065728
1684712671,61065728
1684712701,61065728
1684712731,61065728
1684712761,61065728
1684712791,61065728
1684712821,61065728
1684712852,61065728
1684712882,61065728
1684712912,61065728
1684712942,61065728
1684712972,61065728
1684713002,61065728
1684713032,61065728
1684713062,61065728
1684713092,61065728
1684713122,61065728
1684713152,61065728
1684713182,61065728
1684713212,61065728
1684713242,61065728
1684713272,61065728
1684713302,61065728
1684713332,61065728
1684713362,61065728
1684713392,61065728
1684713422,61065728
1684713452,61065728
1684713482,61065728
1684713512,61065728
1684713542,61065728
1684713572,61065728
1684713602,61065728
1684713632,61065728
1684713662,61065728
1684713692,61065728
1684713722,67999744
1684713752,67999744
1684713782,67999744
1684713812,67999744
1684713842,67999744
1684713872,67999744
1684713902,67999744
1684713932,67999744
1684713962,67999744
1684713992,67999744
1684714022,67999744
1684714052,67999744
1684714082,67999744
1684714112,67999744
1684714142,71034368
1684714172,71034368
1684714202,71034368
1684714232,71034368
1684714262,71034368
1684714292,71034368
1684714322,71034368
1684714352,71034368
1684714382,71034368
1684714412,71034368
1684714442,71034368
1684714472,71034368
1684714502,71034368
1684714532,71034368
1684714562,71841280
1684714592,71841280
1684714622,71841280
1684714652,71841280
1684714682,71841280
1684714712,71841280
1684714742,71841280
1684714772,71841280
1684714802,71841280
1684714832,71841280
1684714862,71841280
1684714892,71841280
1684714922,71841280
1684714952,71841280
1684714982,72511488
1684715012,72511488
1684715042,72511488
1684715072,72511488
1684715102,72511488
1684715132,72511488
1684715162,72511488
1684715192,72511488
1684715222,72511488
1684715252,72511488
1684715282,72511488
1684715312,72511488
1684715342,72511488
1684715372,72511488
1684715402,72907776
1684715432,72907776
1684715462,72907776
1684715492,72907776
1684715522,72907776
1684715552,72907776
1684715582,72907776
1684715612,72907776
1684715642,72907776
1684715672,72907776
1684715702,72907776
1684715732,72907776
1684715762,72907776
1684715792,72907776
1684715823,78661632
1684715853,78661632
1684715883,78661632
1684715913,78661632
1684715943,78661632
1684715973,78661632
1684716003,78661632
1684716033,78661632
1684716063,78661632
1684716093,78661632
1684716123,78661632
1684716153,78661632
1684716183,78661632
1684716213,78661632
1684716243,79444992
1684716273,79444992
1684716303,79444992
1684716333,79444992
1684716363,79444992
1684716393,79444992
1684716423,79444992
1684716453,79444992
1684716483,79444992
1684716513,79444992
1684716543,79444992
1684716573,79444992
1684716603,79444992
1684716633,79444992
1684716663,79686144
1684716693,79686144
1684716723,79686144
1684716753,79686144
1684716783,79686144
1684716813,79686144
1684716843,79686144
1684716873,79686144
1684716903,79686144
1684716933,79686144
1684716963,79686144
1684716993,79686144
1684717023,79686144
1684717053,79686144
1684717083,79780352
1684717113,79780352
1684717143,79780352
1684717173,79780352
1684717203,79780352
1684717233,79780352
1684717263,79780352
1684717293,79780352
1684717323,79780352
1684717353,79780352
1684717383,79780352
1684717413,79780352
1684717443,79780352
1684717473,79780352
1684717503,79780352
1684717533,79819264
1684717563,79819264
1684717593,79819264
1684717623,79819264
1684717653,79819264
1684717683,79819264
1684717713,79819264
1684717743,79819264
1684717773,79819264
1684717803,79819264
1684717833,79819264
1684717863,79819264
1684717893,79819264
1684717923,79819264
1684717953,79846400
1684717983,79846400
1684718013,79846400
1684718043,79846400
1684718073,79846400
1684718103,79846400
1684718133,79846400
1684718163,79846400
1684718193,79846400
1684718223,79846400
1684718253,79846400
1684718283,79846400
1684718313,79846400
1684718343,79846400
1684718373,79846400
1684718403,79874048
1684718433,79874048
1684718463,79874048
1684718493,79874048
1684718524,79874048
1684718554,79874048
1684718584,79874048
1684718614,79874048
1684718644,79874048
1684718674,79874048
1684718704,79874048
1684718734,79874048
1684718764,79874048
1684718794,79874048
1684718824,79895040
1684718854,79895040
1684718884,79895040
1684718914,79895040
1684718944,79895040
1684718974,79895040
1684719004,79895040
1684719034,79895040
1684719064,79895040
1684719094,79895040
1684719124,79895040
1684719154,79895040
1684719184,79895040
1684719214,79895040
1684719244,79913984
1684719274,79913984
1684719304,79913984
1684719334,79913984
1684719364,79913984
