t,value
1684699950,123
1684699980,144
1684700010,108
1684700040,100
1684700070,99
1684700100,99
1684700130,99
1684700160,99
1684700190,99
1684700220,99
1684700250,99
1684700280,99
1684700310,98
1684700340,98
1684700370,99
1684700400,99
1684700430,98
1684700460,98
1684700490,98
1684700520,98
1684700550,101
1684700580,101
1684700610,100
1684700640,100
1684700670,99
1684700700,100
1684700730,100
1684700760,99
1684700790,99
1684700820,99
1684700850,100
1684700880,100
1684700910,99
1684700940,99
1684700970,98
1684701000,98
1684701030,97
1684701060,97
1684701091,97
1684701121,97
1684701151,98
1684701181,98
1684701211,97
1684701241,97
1684701271,97
1684701301,97
1684701331,97
1684701361,97
1684701391,97
1684701421,97
1684701451,98
1684701481,98
1684701511,97
1684701541,97
1684701571,97
1684701601,97
1684701631,97
1684701661,97
1684701691,97
1684701721,97
1684701751,98
1684701781,98
1684701870,149
1684701900,150
1684701930,102
1684701960,102
1684701990,99
1684702020,99
1684702050,98
1684702080,98
1684702110,98
1684702140,98
1684702170,101
1684702200,88
1684703010,137
1684703040,128
1684703100,149
1684703130,149
1684703160,102
1684703190,102
1684703220,101
1684703250,101
1684703280,101
1684703310,100
1684703340,107
1684703400,135
1684703430,153
1684703460,133
1684703490,102
1684703520,102
1684703550,91
1684709640,150
1684709670,150
1684709700,101
1684709730,101
1684709760,100
1684709790,99
1684709820,101
1684709850,101
1684709880,101
1684709910,100
1684709940,101
1684709970,100
1684710000,99
1684710030,99
1684710060,99
1684710091,99
1684710121,101
1684710151,101
1684710181,99
1684710211,99
1684710241,100
1684710271,100
1684710301,99
1684710331,99
1684710361,99
1684710391,99
1684710421,99
1684710451,99
1684710481,99
1684710511,99
1684710541,100
1684710571,100
1684710601,99
1684710631,99
1684710661,99
1684710691,99
1684710721,99
1684710751,99
1684710781,99
1684710811,99
1684710841,100
1684710871,100
1684710901,99
1684710931,99
1684710961,99
1684710991,99
1684711021,99
1684711051,99
1684711081,99
1684711111,99
1684711141,100
1684711171,100
1684711201,99
1684711231,99
1684711261,99
1684711291,99
1684711321,99
1684711351,99
1684711381,99
1684711411,99
1684711441,100
1684711471,100
1684711501,99
1684711531,99
1684711561,99
1684711591,99
1684711621,99
1684711651,99
1684711681,99
1684711711,99
1684711741,100
1684711771,100
1684711801,99
1684711831,99
1684711861,99
1684711891,99
1684711921,99
1684711951,99
1684711981,99
1684712011,99
1684712041,100
1684712071,100
1684712101,99
1684712131,99
1684712161,99
1684712191,99
1684712221,99
1684712251,99
1684712281,99
1684712311,99
1684712341,100
1684712371,100
1684712401,99
1684712431,99
1684712461,99
1684712491,99
1684712521,99
1684712551,99
1684712581,99
1684712611,99
1684712641,100
1684712671,100
1684712701,99
1684712731,99
1684712761,99
1684712791,99
1684712821,99
1684712852,99
1684712882,99
1684712912,99
1684712942,100
1684712972,100
1684713002,99
1684713032,99
1684713062,99
1684713092,99
1684713122,99
1684713152,99
1684713182,99
1684713212,99
1684713242,100
1684713272,100
1684713302,99
1684713332,99
1684713362,99
1684713392,99
1684713422,99
1684713452,99
1684713482,99
1684713512,99
1684713542,100
1684713572,100
1684713602,99
1684713632,99
1684713662,99
1684713692,99
1684713722,99
1684713752,99
1684713782,99
1684713812,99
1684713842,100
1684713872,100
1684713902,99
1684713932,99
1684713962,99
1684713992,99
1684714022,99
1684714052,99
1684714082,99
1684714112,99
1684714142,100
1684714172,100
1684714202,99
1684714232,99
1684714262,99
1684714292,99
1684714322,99
1684714352,99
1684714382,99
1684714412,99
1684714442,100
1684714472,100
1684714502,99
1684714532,99
1684714562,99
1684714592,99
1684714622,99
1684714652,99
1684714682,99
1684714712,99
1684714742,100
1684714772,100
1684714802,99
1684714832,99
1684714862,99
1684714892,99
1684714922,99
1684714952,99
1684714982,99
1684715012,99
1684715042,100
1684715072,100
1684715102,99
1684715132,99
1684715162,99
1684715192,99
1684715222,99
1684715252,99
1684715282,99
1684715312,99
1684715342,100
1684715372,100
1684715402,99
1684715432,99
1684715462,99
1684715492,99
1684715522,99
1684715552,99
1684715582,99
1684715612,99
1684715642,100
1684715672,100
1684715702,99
1684715732,99
1684715762,99
1684715792,99
1684715823,99
1684715853,99
1684715883,99
1684715913,99
1684715943,100
1684715973,100
1684716003,99
1684716033,99
1684716063,99
1684716093,99
1684716123,99
1684716153,99
1684716183,99
1684716213,99
1684716243,100
1684716273,100
1684716303,99
1684716333,99
1684716363,99
1684716393,99
1684716423,99
1684716453,99
1684716483,99
1684716513,99
1684716543,100
1684716573,100
1684716603,99
1684716633,99
1684716663,99
1684716693,99
1684716723,99
1684716753,99
1684716783,99
1684716813,99
1684716843,100
1684716873,100
1684716903,99
1684716933,99
1684716963,99
1684716993,99
1684717023,99
1684717053,99
1684717083,99
1684717113,99
1684717143,100
1684717173,100
1684717203,99
1684717233,99
1684717263,99
1684717293,99
1684717323,99
1684717353,99
1684717383,99
1684717413,99
1684717443,100
1684717473,100
1684717503,99
1684717533,99
1684717563,99
1684717593,99
1684717623,99
1684717653,99
1684717683,99
1684717713,99
1684717743,100
1684717773,100
1684717803,99
1684717833,99
1684717863,99
1684717893,99
1684717923,99
1684717953,99
1684717983,99
1684718013,99
1684718043,100
1684718073,100
1684718103,99
1684718133,99
1684718163,99
1684718193,99
1684718223,99
1684718253,99
1684718283,99
1684718313,99
1684718343,100
1684718373,100
1684718403,99
1684718433,99
1684718463,99
1684718493,99
1684718524,99
1684718554,99
1684718584,99
1684718614,99
1684718644,100
1684718674,100
1684718704,99
1684718734,99
1684718764,99
1684718794,99
1684718824,99
1684718854,99
1684718884,99
1684718914,99
1684718944,100
1684718974,100
1684719004,99
1684719034,99
1684719064,99
1684719094,99
1684719124,99
1684719154,99
1684719184,99
1684719214,99
1684719244,100
1684719274,100
1684719304,99
1684719334,99
1684719364,99
1684719394,99
1684719424,99
1684719454,99
1684719484,99
1684719514,99
1684719544,100
1684719574,100
1684719604,99
1684719634,99
1684719664,99
1684719694,99
1684719724,99
1684719754,99
1684719784,99
1684719814,99
1684719844,101
1684719874,101
1684719904,100
1684719934,100
1684719964,100
1684719994,100
1684720024,100
1684720054,100
1684720084,100
1684720114,100
1684720144,101
1684720174,101
1684720204,100
1684720234,100
1684720264,100
1684720294,100
1684720324,100
1684720354,100
1684720384,100
1684720414,100
1684720444,102
1684720474,102
1684720504,100
1684720534,100
1684720564,100
1684720594,100
1684720624,100
1684720654,100
1684720684,100
1684720714,100
1684720744,101
1684720774,101
1684720804,100
1684720834,100
1684720864,100
1684720894,100
1684720924,100
1684720954,100
1684720984,100
1684721014,100
1684721044,101
1684721074,101
1684721104,100
1684721134,100
1684721164,100
1684721194,100
1684721224,100
1684721254,100
1684721285,100
1684721315,100
1684721345,101
1684721375,101
1684721405,100
1684721435,100
1684721465,100
1684721495,100
1684721525,100
1684721555,100
1684721585,100
1684721615,100
1684721645,101
1684721675,101
1684721705,100
1684721735,100
1684721765,100
1684721795,100
1684721825,100
1684721855,100
1684721885,100
1684721915,100
1684721945,101
1684721975,101
1684722005,100
1684722035,100
1684722065,100
1684722095,100
1684722125,100
1684722155,100
1684722185,100
1684722215,100
1684722245,101
1684722275,101
1684722305,100
1684722335,100
1684722365,100
1684722395,100
1684722425,100
1684722455,100
1684722485,100
1684722515,100
1684722545,101
1684722575,101
1684722605,100
1684722635,100
1684722665,100
1684722695,100
1684722725,100
1684722755,100
1684722785,100
1684722815,100
1684722845,101
1684722875,101
1684722905,100
1684722935,100
1684722965,100
1684722995,100
1684723025,100
1684723055,100
1684723085,100
1684723115,100
1684723145,101
1684723175,101
1684723205,100
1684723235,100
1684723265,100
1684723295,100
1684723325,100
1684723355,100
1684723385,100
1684723415,100
1684723445,101
1684723475,101
1684723505,100
1684723535,100
1684723565,100
1684723595,100
1684723625,100
1684723655,100
1684723686,100
1684723716,100
1684723746,101
1684723776,101
1684723806,100
1684723836,100
1684723866,100
1684723896,100
1684723926,100
